test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
1,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1.0,0.75,0.35,0.1,0.01,0.57,4.68,1.19,0.04,6.22,2.04,4.665277668,47141572290,3.766,57018565161,1.22,12518.79,2.683,47051098024,3.758,249,22749874083,286667692,12519.59,2.684,660.0,9341518419,29218407,0.31%,0,11844190906,188856,188847,8,861784703,526439962,61.087,13788910268,422067931,3.06%,18005588,10653017,59.17%,9545153,14160387606,5833565,0.04%,34296,165122,481.46%,0,0,15.064,1.5064000000000002,5.272399999999999,0.15064,8.58648
2,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1.0,0.76,0.35,0.08,0.01,0.58,4.89,1.23,0.04,6.06,2.04,4.609998056,44620153356,3.62,55066837821,1.2,12325.65,2.674,44945138585,3.646,265,22033195032,277339398,12326.38,2.674,625.0,8998597306,27524183,0.31%,0,11644517740,189764,189754,8,808601956,503804526,62.306,13743105469,419699606,3.05%,20375432,11393345,55.92%,14010401,13941372240,5972562,0.04%,68594,171409,249.89%,0,0,14.48,1.1584,5.068,0.1448,8.3984
3,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0.99,0.76,0.34,0.1,0.01,0.57,4.66,1.2,0.02,6.34,2.04,4.701404413,47804422361,3.758,58084378316,1.22,12721.45,2.706,48046832976,3.777,253,23585967230,296729081,12722.14,2.706,549.0,9483601184,27817933,0.29%,0,12107000019,190403,190393,8,818227903,512432695,62.627,13927639096,428004315,3.07%,21986657,12238298,55.66%,9134808,14253086441,6317637,0.04%,31650,167794,530.15%,0,4,15.032,1.5032,5.110880000000001,0.15032,8.56824
4,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1.0,0.75,0.34,0.1,0.01,0.57,4.86,1.22,0.04,6.23,2.03,4.763624859,45633989728,3.597,55163813630,1.18,12686.69,2.663,45952221701,3.622,260,22513351025,286042986,12687.41,2.663,473.0,9198036928,29789979,0.32%,0,11535742425,188534,188524,8,845495016,512032934,60.56,13978668622,428348502,3.06%,19564500,11103504,56.75%,9570944,14502858440,5651061,0.04%,27935,89710,321.14%,0,220,14.388,1.4388,4.891920000000001,0.14388,8.20116
5,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0.99,0.75,0.35,0.08,0.01,0.58,4.97,1.2,0.03,6.11,2.02,4.749548518,44924153053,3.553,53936935411,1.16,12643.03,2.662,45308598399,3.584,248,22504611428,285152633,12643.85,2.662,432.0,9133901481,27627961,0.30%,0,11571733451,192860,192850,8,812484826,502423718,61.838,13666736592,418223060,3.06%,22871774,14129486,61.78%,10520414,14366444000,5851382,0.04%,29042,127976,440.66%,0,52,14.212,1.13696,4.9742,0.14212,8.24296
6,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0.99,0.75,0.35,0.1,0.01,0.57,4.86,1.21,0.03,5.69,2.0,4.928814715,44890878641,3.489,53962346845,1.16,12865.07,2.61,45281278094,3.52,235,22766133754,289473558,12865.76,2.61,436.0,9218360824,29020913,0.31%,0,11759476878,191854,191844,8,844224869,529442656,62.713,14029052152,438592401,3.13%,21367406,12310038,57.61%,9124353,14505455168,5776229,0.04%,59821,164262,274.59%,0,4,13.956,1.3956,4.8846,0.13956,7.954919999999999
7,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0.99,0.74,0.35,0.08,0.01,0.58,4.91,1.19,0.04,5.89,2.01,4.822522393,45477185770,3.567,54149855646,1.16,12747.95,2.643,45877322232,3.599,271,22825531519,287085502,12748.79,2.644,342.0,9095444685,28650851,0.32%,0,11571101670,192319,192304,13,833065312,514779036,61.793,13695359837,423290559,3.09%,19378136,10456406,53.96%,11691587,14275592635,5768641,0.04%,36212,105840,292.28%,0,3,14.268,1.14144,4.9938,0.14268,8.27544
8,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0.99,0.75,0.35,0.1,0.01,0.56,4.73,1.21,0.04,6.18,2.01,4.902132942,48065019731,3.707,57926063792,1.22,12967.23,2.645,48265262016,3.722,263,23722120199,298378467,12968.16,2.645,345.0,9410517663,30315683,0.32%,0,11788172843,197308,197298,8,818844553,502484392,61.365,13611911822,417198624,3.06%,18843965,10706355,56.82%,9396665,14528667533,5965295,0.04%,34059,115587,339.37%,0,2,14.828,1.4828000000000001,5.189799999999999,0.14828,8.30368
9,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0.99,0.75,0.35,0.1,0.01,0.56,4.65,1.2,0.03,5.92,1.97,5.029035236,47211118727,3.622,56863250817,1.21,13035.83,2.592,46658833967,3.579,255,23679490033,292811610,13036.67,2.592,418.0,9116460010,25901260,0.28%,0,11755648740,188199,188188,8,835368137,517452513,61.943,13697908400,423611346,3.09%,19255960,10707769,55.61%,10810732,14033829192,6451461,0.05%,93712,281951,300.87%,0,24,14.488,1.4488,5.070799999999999,0.14488,8.113280000000001
10,2023-07-18,binaryTrees_21_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0.99,0.77,0.34,0.1,0.01,0.56,4.68,1.18,0.03,5.92,2.0,4.949915459,47492750118,3.667,57274310893,1.22,12952.08,2.617,47272280139,3.65,262,23745511235,291807627,12952.82,2.617,401.0,9131686901,25638139,0.28%,0,12277392758,190397,190382,13,861565408,527242612,61.196,14189010699,429031471,3.02%,18124430,11261552,62.13%,6239561,14503676517,6099956,0.04%,68607,262996,383.34%,0,359,14.668,1.4668,4.98712,0.14668,8.214080000000001
