version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1.8.0_382,binarytrees.java 21,0.99,1.05,0.25,0.09,0.01,0.66,3.37,0.90,0.04,10.18,1.89,3022162572.10,64844393701.40,3.38,58977754151.50,0.91,19199.99,6.35,65055603639.00,3.39,392.00,34468272302.40,435477544.00,19200.90,6.35,427.20,10034247071.80,37145306.70,0.37,0.00,12175416138.10,288362.10,288203.90,8.90,866709968.40,629679004.00,72.81,14771100709.40,466589546.70,3.16,29410323.70,19343270.80,65.80,11544446.90,14835113173.30,6595735.00,0.04,130799.90,221675.80,295.81,0.00,31.20
9.0.4,binarytrees.java 21,0.99,0.73,0.36,0.09,0.01,0.55,3.86,1.35,0.07,13.12,1.86,2212506642.50,39192383520.70,3.19,53006706090.10,1.34,12317.43,5.57,39365822475.60,3.20,247.70,21262399742.50,268128169.90,12318.17,5.57,808.30,8621120292.10,20201460.30,0.23,4.40,11586980450.20,588646.70,588590.70,8.40,834049435.70,584885983.90,70.13,14535955144.80,469324552.60,3.23,26918522.10,13576723.80,50.34,22672550.60,14371379718.50,12124478.80,0.08,571739.40,383207.40,130.20,0.00,9.80
10.0.2,binarytrees.java 21,0.99,0.72,0.36,0.09,0.01,0.54,3.88,1.37,0.07,13.57,1.85,2215279337.20,39211583774.60,3.20,54217960937.20,1.38,12274.40,5.54,39340252803.60,3.21,263.10,21185314556.10,267155467.10,12275.15,5.54,817.40,8526135442.20,17995696.30,0.21,1.20,11501766932.30,572923.50,572765.30,8.40,818366659.00,571100535.30,69.81,15758252151.20,468538490.30,2.97,26946760.60,12742177.60,47.30,23355478.80,15565698591.00,11346744.40,0.07,627372.00,425293.90,91.86,0.00,37.70
11.0.20.1,binarytrees.java 21,0.99,0.86,0.30,0.06,0.02,0.61,4.02,1.18,0.09,14.44,1.93,1979856617.40,36454159649.70,3.37,42870743292.70,1.19,10825.32,5.47,36718840709.60,3.39,244.20,18949303915.00,238590609.00,10826.15,5.47,613.00,6337489168.00,14204618.80,0.22,0.00,9380103686.80,610712.60,610533.70,8.40,818833730.30,581736718.90,71.09,11513921710.00,463130069.30,4.02,30244109.70,13990810.90,46.17,29670821.20,11244296156.20,11020551.20,0.10,718625.80,688051.70,127.04,0.00,0.00
12.0.2,binarytrees.java 21,0.99,0.86,0.30,0.07,0.01,0.60,3.91,1.15,0.10,14.05,1.92,1978042633.70,35845260323.30,3.29,41990159780.70,1.16,10912.77,5.52,36178636730.50,3.32,214.80,18868391783.20,236711258.00,10913.58,5.52,609.40,6337402875.40,11224345.20,0.18,0.00,9219413268.60,592955.60,592795.00,8.00,763605918.60,577777886.40,75.68,11496189851.50,456619093.00,3.97,29456566.90,15077796.90,51.20,26047099.30,11436879627.40,10411503.60,0.09,779678.60,663410.40,91.96,0.00,0.70
13.0.2,binarytrees.java 21,0.99,0.86,0.30,0.07,0.02,0.60,3.95,1.17,0.10,14.32,1.92,1936485713.70,35501095287.70,3.30,42074627605.30,1.19,10762.11,5.56,35728724411.60,3.32,185.30,18638289440.50,234152830.70,10762.87,5.56,610.80,6260154858.40,10891303.70,0.17,0.00,9182282990.70,585539.60,585409.30,8.40,763322299.20,574453217.10,75.31,11327740773.40,446320788.70,3.94,28029815.70,14166073.30,50.61,24667155.30,11258646186.00,10256979.80,0.09,495975.30,591196.60,134.68,0.00,0.80
14.0.2,binarytrees.java 21,0.99,0.84,0.31,0.07,0.01,0.60,3.91,1.18,0.09,14.11,1.91,1926384051.50,35345171477.80,3.29,42289659212.80,1.19,10749.12,5.58,35621212707.00,3.32,157.10,18670716610.50,234386635.50,10749.84,5.58,635.50,6186465465.70,10675916.80,0.17,0.00,9226462627.60,565277.00,565215.30,8.50,771043191.10,577386738.50,74.93,11376635166.20,452972813.20,3.98,28523465.40,14774770.80,51.91,25700680.90,11306959086.60,10711997.10,0.09,558138.30,659300.90,149.00,0.00,1.70
15.0.2,binarytrees.java 21,0.99,0.88,0.30,0.06,0.01,0.62,3.88,1.15,0.08,14.11,1.94,1945648741.90,35982495038.30,3.37,41741256109.00,1.17,10698.11,5.50,36239480265.90,3.39,195.90,18692092588.70,235571675.90,10698.81,5.50,644.70,6317669963.30,10990321.30,0.17,0.00,8948354678.60,564298.90,564227.60,8.70,776893631.10,572181664.70,73.69,10224589542.20,443373941.30,4.34,24609575.60,12451872.30,50.71,18554196.20,10175994737.60,10247271.00,0.10,474883.20,706418.60,178.61,0.00,40.80
16.0.2,binarytrees.java 21,0.99,0.90,0.29,0.07,0.01,0.62,3.82,1.12,0.07,13.89,1.93,1904556579.30,34995566900.40,3.32,39723928427.90,1.14,10536.73,5.53,35370114476.50,3.36,171.30,18347164723.80,230917507.70,10537.43,5.53,658.90,6931706363.50,11326896.20,0.16,0.00,8741894768.90,448042.80,448033.40,8.40,762098897.50,574367218.90,75.38,9308004779.10,441451273.70,4.75,24380265.30,12945722.80,53.07,14590846.30,9228621169.00,8871936.60,0.09,559951.50,899958.80,184.37,0.00,2.90
17.0.8.1,binarytrees.java 21,0.99,0.89,0.29,0.08,0.01,0.61,3.82,1.12,0.07,14.00,1.93,1893759390.70,35454612134.50,3.34,40051023501.50,1.14,10619.43,5.61,35526137138.80,3.35,170.10,18507722628.50,231812032.90,10620.09,5.61,655.40,6885519485.50,10181575.60,0.15,0.00,8778460388.60,442817.70,442808.10,8.60,758838960.10,574872816.40,75.76,9410646961.70,433698208.50,4.61,23205735.50,12477886.90,53.69,16317474.10,9240996169.20,8833043.50,0.10,394441.30,648885.90,188.78,0.00,24.40
