test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.12.0b1,nbody.py 50000,0.480333,6370,1686323701.909726,-,-,575,21.66,2658,1893,0.62,2744,0,10,1167,965,573,1882,0,934,0,0,0.01,4.35,3.43,2.42,28.14,0.00,40.03,0.00,0.00,26.90,1.71,24.02,25.71,74,74,69.95,300,300,152.14,99.73,28.69,28.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,3.50,0.11,0.51,0.00,0.00
2,Python 3.12.0b1,nbody.py 50000,0.457356,1507,1686323702.406391,-,-,728,26.39,2761,1896,0.62,2401,0,57,647,1374,816,1455,3,748,0,0,0.03,2.14,3.82,3.85,20.32,0.01,43.60,0.00,0.00,24.65,2.78,15.24,30.94,72,73,99.05,300,300,177.23,99.68,0.65,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,4.21,0.00,0.40,0.00,0.00
3,Python 3.12.0b1,nbody.py 50000,0.482472,1381,1686323702.929353,-,-,623,23.04,2703,1896,0.57,2958,0,32,1567,1636,1373,2047,0,748,0,0,0.01,2.15,4.96,6.70,24.03,0.00,39.33,0.00,0.00,25.70,6.10,15.99,29.17,73,73,88.30,300,300,158.32,99.78,11.14,11.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,3.78,0.05,0.43,0.00,0.00
4,Python 3.12.0b1,nbody.py 50000,0.427203,1357,1686323703.399838,-,-,441,15.42,2859,1896,0.81,1947,0,3,56,130,151,1263,0,934,0,0,0.00,0.29,0.95,1.01,22.92,0.00,59.51,0.00,0.00,18.62,2.44,18.93,44.60,78,78,99.48,300,300,118.83,99.69,0.30,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,3.06,0.00,0.31,0.00,0.00
5,Python 3.12.0b1,nbody.py 50000,0.428803,1340,1686323703.869628,-,-,589,20.45,2881,1896,0.67,2335,0,14,3433,1577,231,893,0,776,0,0,0.01,4.81,2.60,1.00,17.62,0.00,53.73,0.00,0.00,21.18,0.67,13.78,43.92,77,77,99.58,300,300,140.10,99.77,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.74,3.57,0.00,0.36,0.00,0.00
6,Python 3.12.0b1,nbody.py 50000,0.404821,1408,1686323704.312951,-,-,517,17.28,2989,1896,0.76,1932,0,3,486,363,285,1271,0,846,0,0,0.00,0.93,1.33,2.36,23.49,0.00,54.71,0.00,0.00,19.68,3.61,19.26,40.17,75,75,99.55,300,300,128.85,99.65,0.42,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.53,3.43,0.00,0.30,0.00,0.00
7,Python 3.12.0b1,nbody.py 50000,0.398769,1322,1686323704.747690,-,-,466,15.17,3072,1896,0.77,1779,0,0,89,103,105,1057,0,834,0,0,0.00,0.91,0.49,0.76,22.09,0.00,60.67,0.00,0.00,17.98,1.86,18.90,46.10,79,79,99.56,300,300,115.33,99.68,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.39,3.30,0.00,0.28,0.00,0.00
8,Python 3.12.0b1,nbody.py 50000,0.431459,1323,1686323705.218756,-,-,614,20.84,2946,1896,0.65,2352,0,17,3143,1589,227,842,0,825,0,0,0.01,4.12,3.35,0.78,17.28,0.00,53.80,0.00,0.00,22.22,0.41,14.42,42.11,77,77,99.43,300,300,142.88,99.77,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.83,0.00,0.37,0.00,0.00
9,Python 3.12.0b1,nbody.py 50000,0.401101,1310,1686323705.659484,-,-,446,14.69,3035,1896,0.79,1775,0,0,17,115,137,1053,0,865,0,0,0.00,0.14,0.87,0.96,20.53,0.00,62.88,0.00,0.00,18.14,2.60,17.38,47.19,78,78,98.73,300,300,114.44,99.64,0.92,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,3.20,0.00,0.28,0.00,0.00
10,Python 3.12.0b1,nbody.py 50000,0.390814,1287,1686323706.085530,-,-,450,14.41,3123,1896,0.80,1700,0,2,22,91,126,1042,0,820,0,0,0.00,0.12,0.59,0.83,21.07,0.00,63.06,0.00,0.00,17.81,1.34,19.34,47.09,78,78,99.28,300,300,113.83,99.66,0.46,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.42,3.36,0.00,0.27,0.00,0.00
