test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.6.15,nbody.py 50000,0.492952,1099,1686323655.080062,-,-,566,14.52,3896,1896,0.79,2827,0,1,50,126,170,1623,0,1297,0,0,0.00,0.09,0.40,1.03,26.18,0.00,57.21,0.00,0.00,18.51,1.87,22.07,43.03,94,94,93.52,300,300,112.40,96.61,6.08,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.18,7.78,0.03,0.38,0.00,0.00
2,Python 3.6.15,nbody.py 50000,0.537455,1141,1686323655.660545,-,-,618,22.51,2747,1896,0.70,3413,0,36,872,1287,674,2169,0,1093,0,0,0.01,1.70,3.44,3.35,28.38,0.00,40.29,0.00,0.00,22.05,2.49,24.24,28.71,93,96,95.82,300,300,144.20,97.50,3.93,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.77,8.30,0.02,0.44,0.00,0.00
3,Python 3.6.15,nbody.py 50000,0.541235,1052,1686323656.294238,-,-,829,25.88,3205,1896,0.56,3698,0,19,1477,849,495,1762,0,1167,0,0,0.01,2.50,2.05,1.88,25.05,0.00,42.06,0.00,0.00,23.23,1.10,22.61,27.19,92,95,75.38,450,300,168.85,97.02,23.16,22.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.67,9.93,0.19,0.71,0.00,0.00
4,Python 3.6.15,nbody.py 50000,0.515735,1150,1686323656.941271,-,-,631,17.91,3520,1896,0.75,3439,0,15,1074,1202,505,2085,0,1188,0,0,0.01,2.33,3.55,2.58,28.66,0.00,44.45,0.00,0.00,24.26,1.98,24.41,31.43,92,94,93.85,1050,300,127.60,96.93,5.75,5.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.87,8.45,0.05,0.43,0.00,0.00
5,Python 3.6.15,nbody.py 50000,0.487786,1267,1686323657.510649,-,-,661,17.05,3879,1895,0.71,2521,0,9,1747,927,270,1134,0,1010,0,0,0.00,3.12,1.76,1.17,20.29,0.00,56.15,0.00,0.00,21.04,0.77,16.19,44.95,96,96,93.07,300,300,125.42,97.26,6.31,6.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.56,8.23,0.03,0.42,0.00,0.00
6,Python 3.6.15,nbody.py 50000,0.491052,1088,1686323658.131463,-,-,641,16.56,3873,1896,0.73,3420,0,9,2346,1128,300,1410,0,1145,0,0,0.00,3.17,2.25,1.52,21.56,0.00,54.59,0.00,0.00,21.90,0.98,18.68,41.88,92,95,97.14,300,300,122.21,97.31,2.87,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.43,8.13,0.02,0.39,0.00,0.00
7,Python 3.6.15,nbody.py 50000,0.516419,1238,1686323658.750637,-,-,671,17.33,3863,1899,0.70,2861,0,17,1836,775,333,1372,0,1160,0,0,0.01,3.33,2.18,0.88,21.36,0.00,54.68,0.00,0.00,21.52,0.45,19.00,41.70,97,97,90.82,300,300,122.89,97.60,8.66,8.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.14,8.62,0.05,0.47,0.00,0.00
8,Python 3.6.15,nbody.py 50000,0.551827,1099,1686323659.422830,-,-,634,26.12,2426,1897,0.68,4304,0,19,2150,830,286,1638,0,1162,0,0,0.00,3.41,1.50,1.09,22.91,0.00,44.50,0.00,0.00,20.62,0.82,20.75,31.69,94,95,89.88,300,300,157.38,97.08,9.73,9.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.22,8.63,0.06,0.50,0.00,0.00
9,Python 3.6.15,nbody.py 50000,0.568019,1167,1686323660.081290,-,-,597,27.11,2201,1896,0.73,3638,0,15,732,1077,823,1882,0,1051,0,0,0.01,1.76,2.27,3.48,21.45,0.00,43.58,0.00,0.00,20.72,2.66,16.17,33.33,92,95,96.65,300,300,162.16,97.46,3.30,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.76,8.26,0.02,0.44,0.00,0.00
10,Python 3.6.15,nbody.py 50000,0.487299,1319,1686323660.661469,-,-,603,15.49,3892,1896,0.76,3173,0,14,1937,751,419,1896,0,1229,0,0,0.00,3.41,1.89,2.08,28.64,0.00,47.81,0.00,0.00,23.69,1.78,26.90,32.14,93,95,96.45,300,300,118.91,95.74,3.23,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.31,8.03,0.02,0.37,0.00,0.00
