version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,fibonacci_oldVersions.py 600000,22.503,1722,1691308024.432649,0.00,0.00,555.20,15.26,3798.20,1896.00,1.77,828156.60,0.00,328905.40,205828.30,110962.70,8852.10,17098.80,3361.90,30406.90,8995.30,137445.90,1.68,4.00,6.63,0.78,1.89,0.16,7.64,2.13,61.58,32.37,2.32,1.24,48.82,78.20,78.90,99.09,300.00,300.00,105.98,74.53,0.82,0.70,0.61,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,359.88,295.09,0.11,11.98,0.00,0.00
Python 2.7.18,fibonacci_oldVersions.py 600000,17.6251,1719.4,1691308607.187946,0.00,0.00,545.60,14.93,3714.60,1896.00,1.33,743676.60,0.00,295726.50,217169.80,102744.80,8223.00,16097.70,3184.20,28225.70,7774.00,122054.30,2.01,4.49,7.84,0.90,2.23,0.19,8.60,1.14,59.81,35.19,3.67,1.37,44.84,77.10,77.40,98.83,300.00,300.00,103.66,70.85,1.07,0.87,0.80,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273.32,220.61,0.11,10.12,0.00,0.00
Python 3.0.1,fibonacci_oldVersions.py 600000,20.0599,1654.5,1691309203.708062,0.00,0.00,598.30,18.17,3457.10,1896.00,1.72,1010997.10,0.00,330251.50,296243.90,93668.40,9875.60,19282.70,3192.00,30170.50,6861.70,102274.70,1.74,5.11,6.01,0.86,2.18,0.15,8.32,1.37,58.01,31.73,2.84,1.26,46.00,76.40,77.40,98.98,300.00,300.00,123.90,81.04,0.94,0.84,0.53,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,299.85,241.66,0.12,10.81,0.00,0.00
Python 3.4.10,fibonacci_oldVersions.py 600000,18.3264,1749.1,1691309788.720946,0.00,0.00,637.10,19.48,3349.50,1896.00,1.36,1169255.50,0.00,410885.80,385333.90,101004.30,10254.00,19604.30,3363.40,30815.60,7097.50,111484.90,2.32,6.42,7.21,0.97,2.34,0.16,8.86,1.13,53.70,35.64,3.12,1.19,40.58,75.80,76.70,98.90,300.00,300.00,129.14,78.40,1.01,0.89,0.45,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.14,221.21,0.11,10.57,0.00,0.00
Python 3.5.10,fibonacci_oldVersions.py 600000,17.3296,1792.9,1691310358.294103,0.00,0.00,611.40,18.71,3431.50,1896.00,1.35,1025979.20,0.00,346750.60,325554.40,90844.10,8211.20,16059.70,2645.20,26727.30,6094.70,109360.60,2.13,5.60,6.84,0.84,2.15,0.14,8.55,0.72,56.70,34.17,2.75,1.20,43.18,74.80,75.00,98.84,300.00,300.00,124.36,77.58,1.06,0.92,0.45,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.90,203.24,0.11,10.11,0.00,0.00
Python 3.6.15,fibonacci_oldVersions.py 600000,16.9301,1818.7,1691310924.541891,0.00,0.00,667.40,20.94,3317.90,1896.00,1.38,1121683.70,0.00,386033.40,366580.00,83377.30,7438.90,14919.00,2594.90,25369.70,5785.50,97946.60,2.27,6.52,6.20,0.74,1.88,0.13,7.67,0.82,55.38,32.80,2.40,1.05,42.81,74.30,74.60,99.73,300.00,300.00,137.58,82.11,0.22,0.22,0.41,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251.99,202.71,0.03,9.88,0.00,0.00
Python 3.7.16,fibonacci_oldVersions.py 600000,17.3457,1857.6,1691311493.032656,0.00,0.00,674.00,21.58,3247.80,1896.00,1.39,1195077.50,0.00,390738.60,376018.90,88958.80,8512.60,17248.90,2896.90,25911.70,6044.00,99030.50,2.25,6.60,6.50,0.79,2.11,0.13,8.37,0.59,53.62,33.95,2.08,1.13,41.27,73.60,74.20,98.92,300.00,300.00,141.70,82.92,0.98,0.89,0.28,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,257.71,206.02,0.11,10.17,0.00,0.00
Python 3.8.16,fibonacci_oldVersions.py 600000,18.5535,1808.5,1691312076.935050,0.00,0.00,614.30,18.96,3351.00,1896.00,1.34,1165605.80,0.00,407200.30,382458.90,101012.20,9853.40,18565.50,3218.30,30006.10,6905.80,113691.80,2.24,6.22,7.28,0.95,2.23,0.16,8.70,0.57,55.23,35.64,3.13,1.21,41.06,75.60,75.80,98.88,300.00,300.00,126.11,77.37,1.02,0.90,0.55,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,266.73,211.06,0.12,10.64,0.00,0.00
Python 3.9.16,fibonacci_oldVersions.py 600000,17.3964,1814.3,1691312647.697277,0.00,0.00,686.50,21.40,3282.30,1896.00,1.35,1278873.90,0.00,418827.10,404960.40,88879.30,9200.20,17683.10,2990.00,27883.40,6478.20,98973.20,2.31,6.33,6.51,0.89,2.19,0.14,8.58,0.61,53.64,33.56,2.72,1.10,41.22,74.60,74.70,98.95,300.00,300.00,139.38,82.30,0.97,0.88,0.37,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.11,210.13,0.11,10.30,0.00,0.00
Python 3.10.11,fibonacci_oldVersions.py 600000,17.5656,1977.8,1691313221.390958,0.00,0.00,717.40,23.85,3163.50,1896.00,1.32,1206521.70,0.00,398518.70,400425.90,88530.80,9578.80,17619.50,2979.20,26311.70,6512.60,92926.50,2.28,6.44,6.27,0.91,2.25,0.14,8.28,0.92,51.24,33.16,2.47,1.17,39.35,76.10,76.40,98.94,300.00,300.00,151.17,83.00,0.98,0.91,0.28,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.13,206.97,0.11,11.25,0.00,0.00
Python 3.11.3,fibonacci_oldVersions.py 600000,18.5192,1727,1691313802.098633,0.00,0.00,627.50,19.30,3329.30,1896.00,1.36,1218933.10,0.00,398096.40,366620.50,101223.60,11250.20,20860.40,3473.70,32521.20,7242.60,110339.60,2.22,6.12,7.27,1.05,2.45,0.18,9.16,0.80,53.94,35.52,3.60,1.28,40.30,75.20,75.90,98.93,300.00,300.00,128.77,78.67,0.99,0.89,0.54,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,266.89,211.57,0.12,10.63,0.00,0.00
Python 3.12.0b1,fibonacci_oldVersions.py 600000,18.1838,1679.6,1691314381.637795,0.00,0.00,654.60,20.54,3311.90,1896.00,1.35,1229267.10,0.00,395215.70,363539.80,97707.70,10607.50,20704.10,3405.90,30517.60,6876.70,105694.80,2.22,6.07,7.07,0.98,2.50,0.16,9.15,0.73,53.07,34.87,2.92,1.30,40.37,75.20,75.50,98.90,300.00,300.00,135.45,80.92,1.03,0.92,0.43,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.16,210.59,0.12,10.64,0.00,0.00
Python 3.13.0a0,fibonacci_oldVersions.py 600000,18.9029,1883.2,1691314968.029021,0.00,0.00,639.70,20.55,3233.50,1896.00,1.38,1175081.60,0.00,373442.40,393264.20,100170.90,10970.20,21944.00,3505.00,32947.60,7534.00,109865.30,2.16,6.40,7.02,0.97,2.48,0.16,8.91,0.98,52.83,35.34,2.81,1.26,40.04,74.10,74.40,98.80,300.00,300.00,135.88,81.12,1.10,0.98,0.39,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,266.02,209.26,0.13,10.84,0.00,0.00
