test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.5.6,fibonacci.py 100000,0.532626,1252,1686762391.391227,-,-,660,17.75,3720,1896,1.59,1227,0,5,2412,1375,246,151,0,437,6,285,0.00,3.03,2.56,1.01,1.83,0.00,24.25,0.15,49.27,19.87,0.54,1.26,60.58,65,66,96.88,300,300,126.61,98.85,3.08,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.30,6.88,0.01,0.39,0.00,0.00
2,Python 2.5.6,fibonacci.py 100000,0.542026,1253,1686762392.418928,-,-,702,19.09,3675,1898,1.53,1607,0,18,3521,1601,204,289,0,546,3,277,0.01,5.34,2.70,0.60,3.31,0.00,25.16,0.15,43.20,23.59,0.61,3.42,53.29,64,66,87.45,300,250,134.40,97.66,12.46,11.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.02,7.48,0.09,0.49,0.00,0.00
3,Python 2.5.6,fibonacci.py 100000,0.543070,1826,1686762393.010094,-,-,711,18.79,3787,1895,1.50,1903,0,12,3085,1266,206,370,0,917,3,432,0.00,4.10,3.77,0.63,4.26,0.00,37.78,0.00,29.72,27.55,0.36,5.11,48.19,68,68,52.30,300,300,135.96,96.25,46.42,44.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.87,8.00,0.33,0.74,0.00,0.00
4,Python 2.5.6,fibonacci.py 100000,0.547237,1211,1686762393.607523,-,-,712,19.72,3610,1897,1.49,1757,0,10,3132,1760,236,352,0,675,3,283,0.00,4.39,3.06,0.81,4.78,0.00,26.55,0.02,40.11,23.39,0.68,5.78,50.42,64,64,77.48,400,400,138.82,97.49,21.65,20.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.21,7.48,0.18,0.58,0.00,0.00
5,Python 2.5.6,fibonacci.py 100000,0.511333,1300,1686762394.165165,-,-,545,13.86,3932,1896,1.87,804,0,0,56,56,90,282,0,378,0,223,0.00,0.46,0.23,0.64,3.74,0.00,21.77,0.00,59.08,16.24,1.89,3.64,64.37,66,67,97.59,400,400,109.13,98.72,2.35,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.59,6.37,0.01,0.31,0.00,0.00
6,Python 2.5.6,fibonacci.py 100000,0.525704,1202,1686762394.737810,-,-,675,17.75,3802,1896,1.60,1226,0,14,3682,1236,138,144,0,308,0,160,0.01,4.07,1.84,0.33,1.78,0.00,17.91,0.00,56.13,19.10,0.46,2.01,60.67,72,71,97.77,383,383,125.21,98.65,2.05,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.65,7.24,0.01,0.39,0.00,0.00
7,Python 2.5.6,fibonacci.py 100000,0.519512,1216,1686762395.298612,-,-,558,14.16,3939,1896,1.83,921,0,1,22,74,98,271,0,445,1,253,0.00,0.56,0.46,0.66,3.70,0.00,26.91,0.16,53.11,16.71,1.39,4.71,63.03,70,70,97.78,400,400,109.00,98.54,2.26,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.88,6.53,0.01,0.32,0.00,0.00
8,Python 2.5.6,fibonacci.py 100000,0.522357,7715,1686762395.862577,-,-,635,16.76,3817,1881,1.67,1223,0,48,1203,1277,480,295,1,272,3,149,0.02,1.94,3.33,1.45,3.22,0.00,20.93,0.06,51.56,19.18,0.63,2.29,61.14,67,67,97.44,400,300,120.44,98.64,1.23,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.28,6.88,0.01,0.34,0.00,0.00
9,Python 2.5.6,fibonacci.py 100000,0.520346,1263,1686762396.420132,-,-,642,16.63,3859,1896,1.69,1325,0,103,577,608,544,789,5,683,2,216,0.03,2.02,2.85,2.93,6.69,0.05,33.09,0.19,35.00,23.56,2.78,5.76,51.28,68,70,98.59,400,300,122.18,97.53,1.23,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,7.19,0.01,0.33,0.00,0.00
10,Python 2.5.6,fibonacci.py 100000,0.531442,6164,1686762396.998686,-,-,667,17.64,3785,1894,1.61,1177,0,19,2603,1464,338,213,0,308,0,117,0.01,3.36,2.82,1.26,2.53,0.00,19.34,0.00,52.80,19.44,0.97,1.63,60.32,62,69,97.66,400,400,123.36,98.14,1.50,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.47,7.22,0.01,0.36,0.00,0.00
