test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v2.5.0,binaryTrees_7_original.js 21,45501821,0.96,0.94,0.30,0.37,0.13,0.08,5.67,1.34,0.06,2.58,2.16,45501821 ns,177437148,3.912 GHz,213659657,1.21,45.36 msec,0.997,176954827,3.901 GHz,3,80125155,1014242,45.37 msec,0.997,297 C,33663377,1268498,3.77%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v2.5.0,binaryTrees_7_original.js 21,44635226,0.96,0.90,0.32,0.40,0.13,0.08,5.65,1.33,0.06,2.83,2.16,44635226 ns,180108143,4.043 GHz,219574446,1.24,44.55 msec,0.998,179856123,4.037 GHz,3,81750595,1034846,44.56 msec,0.998,313 C,35272586,658038,1.87%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v2.5.0,binaryTrees_7_original.js 21,45478427,0.88,0.91,0.31,0.40,0.13,0.08,5.68,1.35,0.06,2.59,2.15,45478427 ns,180855007,3.993 GHz,217164756,1.23,45.29 msec,0.996,181173935,4.000 GHz,2,82765592,1047646,45.30 msec,0.996,291 C,35858371,938235,2.62%,<not,<not,2438,2438,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v2.5.0,binaryTrees_7_original.js 21,45500420,0.85,0.90,0.31,0.39,0.13,0.08,5.67,1.34,0.06,2.61,2.16,45500420 ns,177897224,3.926 GHz,213582725,1.22,45.31 msec,0.996,177505410,3.918 GHz,2,80215586,1015417,45.31 msec,0.996,286 C,33658634,1260874,3.75%,<not,<not,2440,2440,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v2.5.0,binaryTrees_7_original.js 21,49813888,0.90,0.95,0.29,0.38,0.13,0.12,5.25,1.29,0.08,2.91,2.04,49813888 ns,190191987,3.833 GHz,236386470,1.31,49.61 msec,0.996,192090058,3.872 GHz,2,90238759,1142271,49.62 msec,0.996,291 C,37337002,1649937,4.42%,32,<not,2440,2440,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v2.5.0,binaryTrees_7_original.js 21,47174091,0.98,0.91,0.31,0.38,0.13,0.10,5.66,1.32,0.07,2.38,2.15,47174091 ns,180685485,3.839 GHz,207566790,1.15,47.06 msec,0.997,181194201,3.850 GHz,4,85373015,1080671,47.06 msec,0.998,270 C,35008074,1537727,4.39%,<not,<not,2440,2440,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v2.5.0,binaryTrees_7_original.js 21,46411727,0.92,0.91,0.31,0.38,0.13,0.08,5.66,1.36,0.06,2.52,2.15,46411727 ns,179805777,3.889 GHz,213441242,1.21,46.22 msec,0.996,181392093,3.924 GHz,3,82809516,1048201,46.23 msec,0.996,294 C,34264382,1366447,3.99%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v2.5.0,binaryTrees_7_original.js 21,46552623,0.97,0.93,0.30,0.38,0.13,0.08,5.68,1.30,0.06,2.43,2.15,46552623 ns,181276340,3.909 GHz,217039930,1.22,46.37 msec,0.996,181131792,3.906 GHz,2,83664111,1059018,46.38 msec,0.996,291 C,34875628,1382711,3.96%,<not,<not,2438,2438,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v2.5.0,binaryTrees_7_original.js 21,45946595,0.95,0.93,0.31,0.38,0.13,0.09,5.67,1.33,0.07,2.53,2.16,45946595 ns,179340227,3.912 GHz,214809517,1.22,45.84 msec,0.998,179038718,3.906 GHz,3,80853718,1023493,45.85 msec,0.998,284 C,33760175,1279079,3.79%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v2.5.0,binaryTrees_7_original.js 21,45001897,0.96,0.94,0.31,0.40,0.14,0.07,5.68,1.34,0.06,2.79,2.16,45001897 ns,180073156,4.014 GHz,218461657,1.22,44.85 msec,0.997,179908757,4.010 GHz,2,81111339,1026725,44.87 msec,0.997,273 C,34888715,758853,2.18%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
