version,release_date,appplication,no_measurement,timestamp,pid,command,virt,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 32,res
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,0,1690304879,449601,python,95716.0,3732.0,62.5,0.5,355,2,304,49,0,19.0,11.7,0.0,69.3,0.0,0.0,0.0,0.0,15795.0 MiB,5790.2 MiB,4388.8 MiB,5616.0 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10606.8 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,1,1690304880,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5790.2 MiB,4388.6 MiB,5616.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10606.8 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,2,1690304881,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,13.2,0.8,0.0,85.3,0.8,0.0,0.0,0.0,15795.0 MiB,5796.6 MiB,4390.2 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10613.3 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,3,1690304882,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5795.6 MiB,4391.1 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10612.3 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,4,1690304884,449601,python,95716.0,3732.0,93.8,0.5,355,2,304,49,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5795.4 MiB,4391.4 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10612.1 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,5,1690304885,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,12.6,1.6,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5795.6 MiB,4391.1 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10612.3 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,6,1690304886,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5795.6 MiB,4391.1 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10612.3 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,7,1690304887,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,12.8,1.5,0.0,85.7,0.0,0.0,0.0,0.0,15795.0 MiB,5794.9 MiB,4391.9 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10611.6 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,8,1690304888,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5795.1 MiB,4391.6 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10611.8 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,9,1690304889,449601,python,95716.0,3732.0,93.8,0.5,355,2,304,49,0,14.0,0.8,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,5794.9 MiB,4391.9 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10611.6 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,10,1690304891,449601,python,95716.0,3732.0,93.8,0.5,355,2,304,49,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5794.9 MiB,4391.9 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10611.6 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,11,1690304892,449601,python,95716.0,3732.0,93.8,0.5,355,2,304,49,0,12.4,0.8,0.0,86.0,0.8,0.0,0.0,0.0,15795.0 MiB,5794.6 MiB,4392.1 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10611.3 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,12,1690304893,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,12.5,1.6,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5794.6 MiB,4392.1 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10611.3 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,13,1690304894,449601,python,95716.0,3732.0,100.0,0.5,355,2,304,49,0,12.6,0.0,0.0,87.4,0.0,0.0,0.0,0.0,15795.0 MiB,5794.4 MiB,4392.3 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10611.1 MiB,,88676.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,14,1690304895,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.6,0.0,0.0,87.4,0.0,0.0,0.0,0.0,15795.0 MiB,5823.2 MiB,4363.5 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.9 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,15,1690304896,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5822.7 MiB,4364.0 MiB,5608.2 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.4 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,16,1690304898,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5823.0 MiB,4363.7 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.7 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,17,1690304899,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.3,0.0,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5823.0 MiB,4363.7 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.7 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,18,1690304900,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5822.5 MiB,4364.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.2 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,19,1690304901,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.3,0.0,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5822.5 MiB,4364.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.2 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,20,1690304902,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.4,1.6,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5822.5 MiB,4364.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.2 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,21,1690304903,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,14.1,0.0,0.0,85.2,0.8,0.0,0.0,0.0,15795.0 MiB,5822.2 MiB,4364.5 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10639.0 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,22,1690304905,449601,python,71224.0,3732.0,93.8,0.4,355,2,304,49,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5821.5 MiB,4365.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10638.2 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,23,1690304906,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5820.8 MiB,4365.9 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.5 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,24,1690304907,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5820.3 MiB,4366.4 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.0 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,25,1690304908,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.2,1.6,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,5820.3 MiB,4366.4 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.0 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,26,1690304909,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.6,0.0,0.0,87.4,0.0,0.0,0.0,0.0,15795.0 MiB,5821.0 MiB,4365.7 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.8 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,27,1690304910,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5820.5 MiB,4366.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.3 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,28,1690304912,449601,python,71224.0,3732.0,100.0,0.4,355,3,303,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5820.8 MiB,4365.9 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.5 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,29,1690304913,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5821.0 MiB,4365.7 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.8 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,30,1690304914,449601,python,71224.0,3732.0,93.8,0.4,355,2,304,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5821.0 MiB,4365.7 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.8 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,31,1690304915,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5820.5 MiB,4366.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.3 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,32,1690304916,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5820.5 MiB,4366.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.3 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,33,1690304917,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5820.5 MiB,4366.2 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.3 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,34,1690304919,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,14.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5820.5 MiB,4366.1 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.3 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,35,1690304920,449601,python,71224.0,3732.0,93.8,0.4,355,2,304,49,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5821.0 MiB,4365.6 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.8 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,36,1690304921,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5821.3 MiB,4365.4 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10638.0 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,37,1690304922,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5821.0 MiB,4365.6 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.8 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,38,1690304923,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5820.8 MiB,4365.9 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.6 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,39,1690304924,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,14.0,0.8,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,5821.0 MiB,4365.6 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.8 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,40,1690304926,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.9,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15795.0 MiB,5820.3 MiB,4366.4 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.1 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,41,1690304927,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5820.8 MiB,4365.9 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.6 MiB,,64096.0
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,42,1690304928,449601,python,71224.0,3732.0,100.0,0.4,355,2,304,49,0,14.5,0.8,0.0,84.7,0.0,0.0,0.0,0.0,15795.0 MiB,5820.8 MiB,4365.9 MiB,5608.3 MiB,4096.0 MiB,4079.5 MiB,16.5 MiB,10637.6 MiB,,64096.0
