python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 3.8.16,nbody.py 50000,0.533215,1032,1685625920.763600,-,-,702,18.24,3850,1896,1.86,1776,0,138,1670,1562,793,638,0,417,2,329,0.02,1.89,4.36,3.34,5.37,0.00,20.35,0.18,46.01,22.55,1.73,3.78,53.70,79,79,96.77,300,300,128.37,98.41,2.99,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.22,8.87,0.01,0.41,0.00,0.00
Python 3.9.16,nbody.py 50000,0.516786,1065,1685625921.396099,-,-,675,17.59,3837,1896,2.00,1506,0,33,2314,1360,174,253,0,676,13,389,0.02,3.12,2.49,0.64,3.52,0.00,29.56,2.22,40.52,20.89,0.45,3.74,57.33,79,82,96.36,300,300,128.06,97.92,3.41,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.89,8.49,0.01,0.41,0.00,0.00
Python 3.10.11,nbody.py 50000,0.549472,1105,1685625922.062699,-,-,739,19.51,3785,1897,1.75,2069,0,30,2163,1566,277,750,0,1300,6,309,0.01,2.42,2.94,1.26,10.53,0.00,44.11,0.08,18.47,23.05,1.14,13.46,42.83,82,82,86.63,300,300,139.76,96.73,12.83,12.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.93,9.38,0.06,0.50,0.00,0.00
Python 3.11.3,nbody.py 50000,0.300540,1096,1685625922.486410,-,-,759,20.88,3635,1896,1.80,1170,0,11,2280,1379,219,137,0,350,4,167,0.01,4.74,3.67,1.77,4.63,0.00,29.46,0.38,34.25,22.99,0.91,5.31,49.91,83,83,95.83,300,300,144.37,98.20,3.92,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67,4.90,0.01,0.27,0.00,0.00
Python 2.7.18,nbody.py 50000,0.445641,1093,1685625946.944956,-,-,687,19.19,3578,1897,2.10,1210,0,5,1631,1259,263,224,0,359,2,223,0.00,2.90,2.91,1.34,3.43,0.00,21.70,0.05,48.38,20.59,0.64,3.48,56.09,80,80,96.49,350,300,137.16,98.95,3.23,3.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.98,6.83,0.01,0.36,0.00,0.00
Python 3.5.10,nbody.py 50000,0.481550,1051,1685625947.547962,-,-,691,18.26,3784,1896,1.92,1382,0,5,2458,1346,200,194,0,486,5,279,0.00,3.93,2.68,0.86,3.48,0.00,25.39,0.49,44.66,20.84,0.47,4.22,56.21,79,79,96.56,350,300,130.70,98.34,3.06,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,7.89,0.01,0.38,0.00,0.00
Python 3.6.15,nbody.py 50000,0.475039,1099,1685625948.142182,-,-,673,17.82,3777,1896,1.95,1245,0,11,2342,1377,198,133,0,329,2,264,0.01,3.14,2.45,0.70,2.09,0.00,19.27,0.03,54.39,18.97,0.27,2.49,60.46,80,80,96.41,300,300,126.89,98.94,3.23,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,7.53,0.01,0.37,0.00,0.00
Python 3.7.16,nbody.py 50000,0.455608,1171,1685625948.716174,-,-,695,18.50,3759,1896,2.02,1309,0,15,3470,1175,110,124,0,336,3,300,0.01,3.93,2.19,0.41,2.49,0.00,21.08,0.17,51.03,20.27,0.33,2.80,58.09,83,83,95.26,300,300,132.03,98.44,4.39,4.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,7.52,0.02,0.37,0.00,0.00
Python 3.8.16,nbody.py 50000,0.504489,1065,1685625949.341199,-,-,687,18.09,3800,1896,1.99,1437,0,6,2755,1354,132,186,2,515,2,298,0.00,3.60,2.44,0.55,3.03,0.00,27.23,0.03,44.83,20.15,0.30,3.74,57.72,81,81,96.53,300,300,130.41,98.51,3.18,3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.81,8.44,0.01,0.40,0.00,0.00
Python 3.9.16,nbody.py 50000,0.535129,1087,1685625949.971958,-,-,829,21.86,3793,1896,1.72,2558,0,91,3194,1457,770,662,0,530,1,277,0.02,2.69,4.02,2.97,5.58,0.00,24.88,0.16,37.65,22.00,2.07,3.44,50.63,81,81,96.99,300,300,143.92,98.56,2.83,2.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.93,9.53,0.01,0.45,0.00,0.00
Python 3.10.11,nbody.py 50000,0.539001,3002,1685625950.626628,-,-,753,19.60,3850,1893,1.81,2259,0,429,2934,1540,277,351,7,436,7,314,0.07,3.53,3.32,1.15,3.46,0.05,21.00,0.41,47.13,21.57,0.78,2.78,55.26,82,82,96.66,300,300,134.34,98.47,2.77,2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.70,9.20,0.01,0.43,0.00,0.00
Python 3.11.3,nbody.py 50000,0.307210,1056,1685625951.082608,-,-,773,20.87,3703,1897,1.74,1234,0,6,1721,1315,194,189,0,277,2,167,0.01,4.03,3.60,1.53,4.04,0.00,26.67,0.36,38.81,21.78,0.56,3.78,53.01,83,86,94.72,300,300,144.03,98.82,4.88,4.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.95,5.15,0.01,0.27,0.00,0.00
Python 2.7.18,my_script.py,0.053694,1284,1685625955.669975,-,-,1803,48.74,3701,1895,0.75,1022,0,80,1840,371,193,213,0,36,0,0,0.23,7.15,8.70,8.28,17.42,0.00,9.75,0.00,0.00,30.32,5.87,14.44,0.63,70,72,94.98,300,300,255.86,98.29,3.07,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,1.36,0.00,0.08,0.00,0.00
Python 3.5.10,my_script.py,0.047870,1108,1685625955.806854,-,-,512,13.48,3800,1895,1.09,261,0,0,5,43,70,191,0,116,0,5,0.00,0.36,1.63,5.52,25.32,0.00,53.57,0.00,0.18,22.25,17.98,25.19,21.11,68,69,96.09,300,300,109.68,97.91,3.37,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.60,0.00,0.04,0.00,0.00
Python 3.6.15,my_script.py,0.047695,1076,1685625955.937907,-,-,553,14.55,3800,1896,1.05,249,0,1,26,53,81,231,0,102,0,0,0.01,1.86,2.36,5.61,28.48,0.00,47.25,0.00,0.00,24.85,12.78,28.78,19.04,69,69,96.45,300,300,113.36,98.15,3.28,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.62,0.00,0.04,0.00,0.00
Python 3.7.16,my_script.py,0.045317,1141,1685625956.067842,-,-,526,13.84,3800,1895,1.07,251,0,0,10,39,80,201,0,84,0,0,0.00,1.74,1.58,6.22,31.11,0.00,45.57,0.00,0.00,24.63,23.06,28.28,10.19,67,69,97.09,300,300,111.15,97.96,3.50,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.57,0.00,0.04,0.00,0.00
Python 3.8.16,my_script.py,0.045340,1113,1685625956.197105,-,-,514,13.53,3800,1897,1.09,237,0,0,9,48,74,178,0,94,0,0,0.00,0.52,2.59,6.98,28.87,0.00,47.65,0.00,0.00,23.40,18.55,26.43,18.09,68,68,97.04,300,300,109.17,98.11,2.14,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.56,0.00,0.03,0.00,0.00
Python 3.9.16,my_script.py,0.046179,1111,1685625956.326176,-,-,529,13.92,3800,1897,1.05,253,0,0,11,49,65,217,0,104,0,0,0.00,1.02,2.22,7.47,29.10,0.00,46.42,0.00,0.00,24.04,20.16,27.56,14.31,66,69,97.45,300,300,112.10,98.07,1.55,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.59,0.00,0.04,0.00,0.00
Python 3.10.11,my_script.py,0.048888,1053,1685625956.457616,-,-,989,26.01,3800,1897,0.75,451,0,8,1596,534,164,239,0,75,0,0,0.04,22.52,19.02,5.90,18.02,0.00,9.02,0.00,0.00,59.04,3.21,7.27,4.46,72,72,96.14,300,300,173.30,99.51,3.43,3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.94,0.00,0.06,0.00,0.00
Python 3.11.3,my_script.py,0.053983,1278,1685625956.633325,-,-,506,15.90,3181,1897,1.00,287,0,0,88,58,88,218,0,107,0,0,0.00,4.94,2.46,5.64,29.13,0.00,42.09,0.00,0.00,26.08,14.00,31.73,12.30,62,62,98.18,300,300,121.28,98.71,2.88,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.47,0.00,0.05,0.00,0.00
Python 2.7.18,nbody.py 50000,0.439779,1273,1685626786.049168,-,-,728,19.31,3771,1896,2.02,1274,0,33,3455,1332,100,112,1,390,7,284,0.02,4.94,2.06,0.32,1.89,0.10,25.67,0.19,45.41,20.57,0.19,2.00,57.92,82,85,96.18,300,300,136.06,98.93,3.38,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.62,7.42,0.01,0.36,0.00,0.00
Python 3.0.1,nbody.py 50000,0.566241,1076,1685626786.739226,-,-,653,17.39,3755,1896,1.90,1298,0,2,2529,1328,172,172,0,362,0,304,0.00,2.19,2.82,0.34,2.56,0.00,18.41,0.00,56.16,18.58,0.14,2.81,61.08,82,82,97.13,300,300,124.20,98.85,2.69,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.18,8.75,0.01,0.44,0.00,0.00
Python 3.4.10,nbody.py 50000,0.479763,1263,1685626787.334534,-,-,743,18.92,3924,1897,1.89,1810,0,126,2064,1824,825,663,5,573,2,220,0.04,2.72,4.91,3.99,6.95,0.02,29.98,0.06,32.19,24.48,2.11,5.87,48.62,81,84,97.13,300,300,134.49,98.05,2.53,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.07,8.76,0.01,0.37,0.00,0.00
Python 3.5.10,nbody.py 50000,0.496946,1046,1685626787.952316,-,-,720,19.14,3758,1897,1.84,1505,0,4,2153,1541,181,232,0,420,9,293,0.00,2.29,2.75,0.91,4.17,0.00,21.54,0.54,48.45,19.03,0.66,4.72,56.44,82,86,96.39,300,300,134.11,98.41,3.30,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.66,8.36,0.01,0.40,0.00,0.00
Python 3.6.15,nbody.py 50000,0.468594,1171,1685626788.532616,-,-,685,17.76,3858,1896,1.96,1297,0,8,3199,1340,107,120,0,403,5,297,0.00,3.59,2.45,0.31,2.44,0.00,24.06,0.34,48.94,18.88,0.22,1.85,61.29,86,89,96.46,300,300,126.74,98.99,3.06,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.27,8.00,0.01,0.37,0.00,0.00
Python 3.7.16,nbody.py 50000,0.466880,1201,1685626789.121770,-,-,730,18.68,3907,1897,1.96,1603,0,65,1465,1767,988,911,0,590,3,195,0.02,2.27,5.90,4.83,9.53,0.00,28.95,0.01,29.43,26.85,3.37,6.31,44.78,88,88,97.03,300,300,134.68,97.67,2.67,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.71,8.53,0.01,0.36,0.00,0.00
