test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.4.10,binarytrees.py 21,62062146,0.99,1.21,0.24,0.31,0.10,0.44,,,,,,62062146 ns,92049242,1.466 GHz,<not,(0.00%),62.78 msec,1.012,<not,(0.00%) ,34,<not,<not,62.83 msec,1.012,2256 C,<not,<not,(0.00%),<not,<not,8631,8631,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,Python 3.4.10,binarytrees.py 21,63294701,0.99,1.20,0.23,0.29,0.10,0.19,6.08,1.89,1.00,,,63294701 ns,100838229,1.582 GHz,<not,(0.00%),63.71 msec,1.007,<not,(0.00%) ,31,<not,<not,63.76 msec,1.007,2204 C,<not,<not,(0.00%),<not,<not,8653,8653,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,Python 3.4.10,binarytrees.py 21,56310913,0.90,1.02,0.27,0.34,0.10,,,,,,,56310913 ns,166338646,2.955 GHz,<not,(0.00%),56.26 msec,0.999,<not,(0.00%) ,14,<not,<not,56.31 msec,1.000,2314 C,<not,<not,(0.00%),<not,<not,8697,8697,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,Python 3.4.10,binarytrees.py 21,56615271,0.94,1.12,0.27,0.33,0.10,0.27,,,,,,56615271 ns,99393558,1.762 GHz,<not,(0.00%),56.39 msec,0.996,<not,(0.00%) ,15,<not,<not,56.44 msec,0.997,2308 C,<not,<not,(0.00%),<not,<not,8674,8674,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,3
5,Python 3.4.10,binarytrees.py 21,55478977,0.88,0.98,0.28,0.34,0.07,,,,,,,55478977 ns,143222322,2.595 GHz,<not,(0.00%),55.17 msec,0.994,<not,(0.00%) ,20,<not,<not,55.22 msec,0.995,2325 C,<not,<not,(0.00%),<not,<not,8675,8675,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,Python 3.4.10,binarytrees.py 21,55437418,0.90,1.01,0.28,0.34,0.06,,,,,,,55437418 ns,141139627,2.550 GHz,<not,(0.00%),55.34 msec,0.998,<not,(0.00%) ,14,<not,<not,55.38 msec,0.999,2333 C,<not,<not,(0.00%),<not,<not,8671,8671,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,Python 3.4.10,binarytrees.py 21,76977460,0.94,1.14,0.22,0.26,0.08,0.34,2.94,0.69,0.21,,,76977460 ns,97005974,1.291 GHz,<not,(0.00%),75.12 msec,0.976,<not,(0.00%) ,28,<not,<not,75.18 msec,0.977,2013 C,<not,<not,(0.00%),<not,<not,8700,8700,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,Python 3.4.10,binarytrees.py 21,65614451,0.97,1.36,0.22,0.29,0.09,0.31,,,,,,65614451 ns,141162269,2.156 GHz,<not,(0.00%),65.44 msec,0.997,<not,(0.00%) ,36,<not,<not,65.50 msec,0.998,1852 C,<not,<not,(0.00%),<not,<not,8689,8689,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,Python 3.4.10,binarytrees.py 21,63009952,0.99,1.26,0.23,0.30,0.08,0.29,5.00,1.22,0.20,,,63009952 ns,136448098,2.152 GHz,<not,(0.00%),63.36 msec,1.006,<not,(0.00%) ,37,<not,<not,63.42 msec,1.006,2040 C,<not,<not,(0.00%),<not,<not,8694,8694,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,Python 3.4.10,binarytrees.py 21,57507848,0.97,1.08,0.27,0.33,0.12,,,,,,,57507848 ns,170735612,2.960 GHz,<not,(0.00%),57.65 msec,1.003,<not,(0.00%) ,16,<not,<not,57.70 msec,1.003,2177 C,<not,<not,(0.00%),<not,<not,8694,8694,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
