test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 2.7.18,binarytrees.py 21,57176764,1.00,1.20,0.23,0.31,0.08,0.48,,,,,,57176764 ns,108624747,1.878 GHz,<not,(0.00%),57.82 msec,1.011,<not,(0.00%) ,36,<not,<not,57.87 msec,1.012,2261 C,<not,<not,(0.00%),<not,<not,8575,8575,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,Python 2.7.18,binarytrees.py 21,57824016,0.97,1.23,0.23,0.29,0.08,0.31,,,,,,57824016 ns,112007590,1.920 GHz,<not,(0.00%),58.30 msec,1.008,<not,(0.00%) ,38,<not,<not,58.35 msec,1.009,2164 C,<not,<not,(0.00%),<not,<not,8542,8542,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,Python 2.7.18,binarytrees.py 21,57314864,0.97,1.22,0.23,0.31,0.08,0.46,,,,,,57314864 ns,86811942,1.519 GHz,<not,(0.00%),57.13 msec,0.997,<not,(0.00%) ,30,<not,<not,57.18 msec,0.998,2169 C,<not,<not,(0.00%),<not,<not,8542,8542,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,Python 2.7.18,binarytrees.py 21,57608872,0.97,1.23,0.23,0.31,0.09,0.42,3.74,0.75,0.77,,,57608872 ns,91992672,1.585 GHz,<not,(0.00%),58.01 msec,1.007,<not,(0.00%) ,29,<not,<not,58.07 msec,1.008,2117 C,<not,<not,(0.00%),<not,<not,8521,8521,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,Python 2.7.18,binarytrees.py 21,56967617,0.96,1.21,0.24,0.30,0.07,,,,,,,56967617 ns,158951240,2.759 GHz,<not,(0.00%),57.58 msec,1.011,<not,(0.00%) ,27,<not,<not,57.63 msec,1.012,2107 C,<not,<not,(0.00%),<not,<not,8553,8553,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,Python 2.7.18,binarytrees.py 21,57749897,0.97,1.22,0.23,0.30,0.09,0.41,,,,,,57749897 ns,103812636,1.779 GHz,<not,(0.00%),58.32 msec,1.010,<not,(0.00%) ,33,<not,<not,58.37 msec,1.011,2128 C,<not,<not,(0.00%),<not,<not,8608,8608,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,Python 2.7.18,binarytrees.py 21,57952484,0.99,1.21,0.23,0.30,0.09,0.33,,,,,,57952484 ns,40644126,0.696 GHz,<not,(0.00%),58.34 msec,1.007,<not,(0.00%) ,39,<not,<not,58.39 msec,1.008,2125 C,<not,<not,(0.00%),<not,<not,8601,8601,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,Python 2.7.18,binarytrees.py 21,58206375,0.97,1.21,0.23,0.29,0.09,0.40,,,,,,58206375 ns,102374584,1.743 GHz,<not,(0.00%),58.72 msec,1.009,<not,(0.00%) ,38,<not,<not,58.78 msec,1.010,2065 C,<not,<not,(0.00%),<not,<not,8571,8571,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,Python 2.7.18,binarytrees.py 21,57833451,0.95,1.22,0.23,0.30,0.09,0.41,,,,,,57833451 ns,109557543,1.877 GHz,<not,(0.00%),58.35 msec,1.009,<not,(0.00%) ,35,<not,<not,58.40 msec,1.010,2034 C,<not,<not,(0.00%),<not,<not,8578,8578,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,Python 2.7.18,binarytrees.py 21,57720908,0.98,1.23,0.23,0.30,0.11,,,,,,,57720908 ns,167160244,2.867 GHz,<not,(0.00%),58.27 msec,1.010,<not,(0.00%) ,34,<not,<not,58.32 msec,1.010,2037 C,<not,<not,(0.00%),<not,<not,8549,8549,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
