test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.12.0b1,nbody.py 50000,0.428336,1386,1686314776.052313,-,-,491,17.07,2873,1896,1.00,2178,0,31,201,234,169,1446,2,942,0,0,0.01,1.29,2.60,1.04,24.32,0.14,53.65,0.00,0.00,21.33,1.95,20.31,39.34,73,75,91.05,300,300,126.94,99.68,8.50,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.53,3.29,0.04,0.35,0.00,0.00
2,Python 3.12.0b1,nbody.py 50000,0.422292,1352,1686314776.513638,-,-,518,17.62,2941,1896,0.93,2155,0,5,719,773,390,1563,0,893,0,0,0.00,1.84,3.70,2.57,25.79,0.00,48.63,0.00,0.00,23.80,2.24,20.88,35.46,74,76,93.54,300,300,129.25,99.74,5.99,5.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.64,3.46,0.03,0.34,0.00,0.00
3,Python 3.12.0b1,nbody.py 50000,0.459287,1359,1686314777.010265,-,-,658,23.04,2855,1896,0.76,2577,0,6,1836,1428,435,1346,0,882,0,0,0.00,3.79,3.64,1.60,23.03,0.00,45.04,0.00,0.00,26.57,0.71,18.15,31.53,74,74,80.12,300,300,163.49,99.76,19.27,19.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.59,4.17,0.12,0.51,0.00,0.00
4,Python 3.12.0b1,nbody.py 50000,0.428834,1473,1686314777.478180,-,-,573,19.98,2867,1896,0.86,2427,0,10,1320,891,408,1855,0,905,0,0,0.01,3.31,3.33,2.47,30.62,0.00,40.44,0.00,0.00,26.63,2.15,26.95,24.29,73,73,68.32,300,300,147.19,99.78,30.93,30.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.05,3.65,0.17,0.51,0.00,0.00
5,Python 3.12.0b1,nbody.py 50000,0.511477,1500,1686314778.027338,-,-,696,25.82,2697,1896,0.65,3206,0,7,1890,1723,680,2221,1,982,0,0,0.00,3.51,4.14,2.52,30.63,0.04,33.54,0.00,0.00,26.09,1.85,27.97,18.28,74,74,38.52,300,300,169.46,99.77,60.07,60.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,4.24,0.41,0.83,0.00,0.00
6,Python 3.12.0b1,nbody.py 50000,0.459947,1413,1686314778.536176,-,-,570,21.23,2684,1896,0.80,2500,0,9,1844,1468,485,1539,0,958,0,0,0.00,2.92,4.33,1.90,24.13,0.00,45.68,0.00,0.00,24.98,0.87,21.08,31.85,74,74,93.27,983,300,150.34,99.78,6.32,6.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,3.40,0.04,0.42,0.00,0.00
7,Python 3.12.0b1,nbody.py 50000,0.451931,1432,1686314779.028601,-,-,644,23.27,2769,1896,0.81,2828,0,26,1268,1216,1105,1935,0,758,0,0,0.01,2.62,4.46,5.63,25.06,0.00,39.14,0.00,0.00,27.09,4.64,18.03,26.97,72,73,95.81,300,300,160.13,99.76,3.82,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.14,3.82,0.05,0.40,0.00,0.00
8,Python 3.12.0b1,nbody.py 50000,0.426351,1326,1686314779.494138,-,-,540,18.89,2856,1896,0.90,2205,0,7,1402,817,433,1559,0,946,0,0,0.00,2.95,3.39,2.42,25.78,0.00,46.75,0.00,0.00,24.30,1.66,22.30,32.84,74,74,96.87,300,300,139.29,99.78,3.07,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.61,3.45,0.01,0.36,0.00,0.00
9,Python 3.12.0b1,nbody.py 50000,0.497690,1823,1686314780.025974,-,-,1033,37.81,2734,1895,0.59,6392,0,32,1220,1034,671,1518,0,720,0,0,0.01,2.14,3.10,3.07,19.84,0.00,34.07,0.00,0.00,23.31,1.90,14.40,22.58,72,72,79.37,450,450,217.52,99.73,19.48,19.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.13,5.43,0.20,0.70,0.00,0.00
10,Python 3.12.0b1,nbody.py 50000,0.491170,1431,1686314780.575299,-,-,581,23.17,2507,1897,0.78,2725,0,12,1931,1451,430,1256,0,1090,0,0,0.01,2.75,3.48,1.54,19.66,0.00,49.60,0.00,0.00,22.65,0.60,16.67,36.91,74,74,90.19,450,300,157.68,99.79,9.07,9.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,3.27,0.06,0.51,0.00,0.00
