version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
v11.15.0,binaryTrees_1_original.js 21,0.99,0.71,0.37,0.15,0.01,0.47,3.74,1.42,0.08,11.48,1.42,6707326531.20,96686273133.00,2.63,137129780754.40,1.42,39470.66,5.86,96689934008.20,2.63,4446.60,73103172224.80,923866210.20,39479.97,5.86,341.30,25999641874.60,51840800.60,0.20,1345.20,21911294809.90,1480694.40,1480694.40,0.00,2343015970.00,1243784013.60,53.11,36961642493.80,1138325516.80,3.08,83138797.00,24290419.70,29.23,146715176.20,36874124334.80,10715931.40,0.03,2102340.90,6541061.00,318.68,0.00,52.00
v12.22.12,binaryTrees_1_original.js 21,0.99,0.69,0.37,0.14,0.01,0.48,4.00,1.44,0.12,12.38,1.50,5668147381.90,78242194605.20,2.74,112800407534.60,1.44,30366.49,5.35,78295988833.10,2.74,5677.10,55950036509.10,706002500.10,30378.78,5.35,316.90,22353209488.90,46984809.00,0.21,1285.50,19812394940.10,1501288.80,1501288.80,0.00,2088572091.10,1133094359.10,54.45,32104729704.50,1048586740.70,3.26,72349546.10,21046000.00,29.24,188605766.40,32174246769.60,8605766.00,0.03,2148576.90,6609075.30,383.86,0.00,22.70
v13.14.0,binaryTrees_1_original.js 21,0.99,0.70,0.37,0.14,0.01,0.47,4.00,1.44,0.12,12.12,1.48,5878904558.60,79981908082.00,2.71,114734239691.90,1.43,31378.29,5.33,80080031963.70,2.72,5261.30,57714910636.00,729028006.30,31392.93,5.33,324.80,22885730333.20,49252839.30,0.21,1102.60,20284783670.40,1550644.50,1550644.50,0.00,2145756333.40,1156962932.70,54.13,32952903406.50,1069972240.90,3.25,78774022.40,23588728.10,30.11,194436473.40,32822756381.60,8882475.60,0.03,2145084.80,7044816.90,374.57,0.00,9.50
v14.21.3,binaryTrees_1_original.js 21,0.99,0.62,0.40,0.17,0.01,0.41,4.28,1.62,0.08,8.74,1.23,13348553380.40,127764619446.80,2.29,206289247608.20,1.61,57769.53,4.31,127681192517.40,2.29,7073.50,107312785605.00,1358307317.80,57798.96,4.31,494.20,41530182079.80,58403279.20,0.14,568.60,35424021567.20,1531067.90,1531067.80,0.10,3481624981.00,1738018571.10,49.97,57542856643.10,1802005640.10,3.13,160783174.60,58450055.40,36.32,312131241.50,57370078091.00,15373239.10,0.03,7469995.40,8692309.90,174.15,0.10,45.00
v15.14.0,binaryTrees_1_original.js 21,0.98,0.64,0.39,0.13,0.01,0.47,4.13,1.56,0.09,11.29,1.19,11166972191.80,130938355294.10,2.22,205041125483.40,1.57,62288.72,5.56,130862507192.70,2.21,6355.30,115884796332.50,1466764173.50,62326.44,5.57,490.90,41502381880.90,52275097.40,0.12,422.30,35831218030.20,1482641.70,1482641.70,0.00,3804586285.50,1785926973.50,47.01,56426536754.60,1898510659.00,3.36,175115918.00,59143888.00,33.76,347818315.10,56277624058.80,17408791.40,0.03,11506775.20,9654590.90,98.54,0.00,49.10
v16.20.2,binaryTrees_1_original.js 21,0.99,0.67,0.37,0.15,0.01,0.47,3.97,1.48,0.08,13.40,1.52,9502383683.40,147014990925.70,2.83,218871475708.60,1.49,52876.49,5.56,146978322124.30,2.83,5839.20,98203919506.20,1242959842.30,52898.56,5.56,267.50,44810341315.10,98032529.20,0.22,6577.10,38037358489.10,1486028.40,1486028.40,0.00,3908815259.30,1826289475.10,46.74,59745820598.40,1942707186.90,3.25,184294716.00,61315765.60,33.27,296462105.60,59853175726.20,18128336.90,0.03,7415033.30,9425911.30,156.55,0.00,3.90
v17.9.1,binaryTrees_1_original.js 21,0.98,0.67,0.38,0.15,0.01,0.46,3.99,1.50,0.08,11.96,1.35,10976985299.40,144888816102.60,2.51,217980676414.50,1.50,61125.39,5.56,145011086594.80,2.51,5777.10,113741302083.80,1439484230.00,61152.52,5.57,357.20,44940295323.70,59575361.80,0.13,4033.30,37972390197.70,1478843.00,1478842.80,0.20,3931791413.80,1815493906.50,46.21,60007421128.60,1955481895.40,3.26,183010051.80,62548286.00,34.22,319677611.80,59876396622.10,17781438.70,0.03,7192271.60,9672805.80,171.20,0.30,45.50
v18.17.1,binaryTrees_1_original.js 21,0.99,0.68,0.37,0.16,0.01,0.45,4.07,1.48,0.12,11.75,1.54,6001929087.70,80588049409.70,2.82,118607012090.80,1.47,30216.82,5.02,80701269209.20,2.82,5476.30,55657700385.00,704105694.80,30229.66,5.02,284.10,24413784876.70,54130127.20,0.22,14804.60,21051763829.90,1638720.90,1638720.90,0.00,2124833919.40,1133648453.10,53.46,33976979389.20,1046262488.10,3.08,78390271.30,23910034.60,30.62,242624757.10,33892473718.80,9512695.40,0.03,5348839.60,7898941.90,193.06,0.00,18.00
v19.9.0,binaryTrees_1_original.js 21,0.98,0.66,0.38,0.16,0.01,0.44,4.25,1.52,0.13,11.18,1.55,6216205020.40,78489908389.40,2.83,119324044395.10,1.52,29215.87,4.68,78576906191.80,2.83,4742.00,53568744749.40,678587193.00,29229.23,4.69,281.20,24757562766.90,52649205.00,0.21,9445.80,21381479233.90,1750094.10,1750094.10,0.00,2053274526.20,1131018231.20,55.24,34365623616.80,1040874015.60,3.03,69483703.70,23448204.50,34.14,205952163.10,34557270162.40,9189492.10,0.03,3518980.40,8276929.70,277.00,0.00,19.30
v20.5.1,binaryTrees_1_original.js 21,0.99,0.66,0.38,0.15,0.01,0.45,4.19,1.52,0.13,11.43,1.49,6006073095.80,77228845002.00,2.72,117084100428.90,1.52,30150.61,4.99,77248104850.50,2.72,3797.90,55106333001.50,696355560.40,30162.69,5.00,577.80,24348516998.40,44954182.90,0.19,10855.50,21133410677.80,1632168.00,1632168.00,0.00,2073043455.30,1122002646.10,54.20,34852503778.20,1017672375.90,2.92,74705104.00,23116929.40,31.05,207004762.10,34847035172.80,8805067.30,0.03,3731623.60,6928480.50,227.29,0.00,24.50
