test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.4.10,nbody.py 50000,0.509122,1188,1686118930.029624,-,-,662,16.55,4000,1896,1.33,2551,0,30,3968,1045,129,888,0,842,0,0,0.01,3.67,1.43,0.36,18.43,0.00,59.42,0.00,0.00,18.71,0.21,13.26,51.27,75,78,97.03,450,300,120.97,98.11,2.61,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.17,9.06,0.01,0.26,0.00,0.00
2,Python 3.4.10,nbody.py 50000,0.566212,1278,1686118930.644104,-,-,843,30.93,2727,1896,1.18,5787,0,16,1877,736,178,974,0,776,0,0,0.01,2.17,1.33,0.56,16.72,0.00,47.99,0.00,0.00,16.44,0.31,11.02,41.30,75,75,96.43,450,450,174.51,98.25,3.37,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.08,9.71,0.02,0.40,0.00,0.00
3,Python 3.4.10,nbody.py 50000,0.478677,1211,1686118931.165131,-,-,689,17.24,3997,1896,1.38,2467,0,17,3254,993,179,898,0,781,0,0,0.01,3.33,1.58,0.74,18.69,0.00,58.24,0.00,0.00,19.25,0.33,13.60,49.58,78,81,95.26,450,300,125.61,98.13,4.28,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.94,8.83,0.02,0.26,0.00,0.00
4,Python 3.4.10,nbody.py 50000,0.474545,1132,1686118931.681621,-,-,693,17.38,3989,1896,1.40,2490,0,11,2690,1085,197,914,0,759,0,0,0.01,3.10,1.84,0.91,18.91,0.00,57.69,0.00,0.00,20.12,0.21,14.09,48.20,76,76,95.04,450,300,125.99,98.10,4.47,4.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.28,8.15,0.03,0.27,0.00,0.00
5,Python 3.4.10,nbody.py 50000,0.468228,1070,1686118932.212872,-,-,609,15.11,4027,1896,1.55,2242,0,4,755,1151,504,981,0,826,0,0,0.00,1.24,2.68,1.69,18.08,0.00,60.94,0.00,0.00,19.72,0.88,13.40,50.90,78,78,95.47,450,300,115.67,97.73,4.13,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,7.68,0.02,0.23,0.00,0.00
6,Python 3.4.10,nbody.py 50000,0.467617,1068,1686118932.709003,-,-,582,14.43,4031,1896,1.58,2175,0,2,444,894,519,1100,0,782,0,0,0.00,1.44,2.58,2.18,20.76,0.00,58.37,0.00,0.00,19.99,1.01,15.34,49.24,77,77,95.38,450,300,111.98,97.87,4.41,4.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.61,7.50,0.02,0.22,0.00,0.00
7,Python 3.4.10,nbody.py 50000,0.581938,1364,1686118933.319297,-,-,798,31.89,2503,1895,1.13,3950,0,75,2561,2313,1258,1507,0,658,0,0,0.03,2.12,5.02,4.46,17.55,0.00,38.65,0.00,0.00,21.65,3.17,10.99,32.31,78,78,96.06,450,300,181.03,97.81,3.61,3.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.94,9.55,0.02,0.36,0.00,0.00
8,Python 3.4.10,nbody.py 50000,0.478708,1206,1686118933.830875,-,-,688,17.23,3993,1896,1.37,2501,0,23,3023,1152,173,891,0,794,0,0,0.01,3.23,1.81,0.54,19.29,0.00,57.70,0.00,0.00,19.13,0.29,14.21,49.14,81,81,94.63,450,300,123.64,98.01,4.94,4.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.39,8.21,0.03,0.27,0.00,0.00
9,Python 3.4.10,nbody.py 50000,0.483615,1118,1686118934.363707,-,-,703,17.61,3990,1896,1.33,2538,0,17,3622,1070,122,922,0,829,0,0,0.01,3.53,1.64,0.38,18.15,0.00,58.47,0.00,0.00,19.71,0.31,13.68,48.70,81,83,93.88,450,300,126.79,97.88,5.83,5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.62,8.46,0.03,0.28,0.00,0.00
10,Python 3.4.10,nbody.py 50000,0.476131,1380,1686118934.883982,-,-,696,17.44,3991,1896,1.37,2451,0,15,3613,1035,90,838,0,791,0,0,0.01,3.64,1.39,0.30,18.57,0.00,58.49,0.00,0.00,19.17,0.18,13.49,49.71,80,82,94.30,450,300,125.44,97.97,5.25,5.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.46,8.29,0.03,0.27,0.00,0.00
