test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.12.0b1,nbody.py 50000,0.308907,1030,1686131827.032738,-,-,771,19.42,3972,1896,1.26,1761,0,23,2806,1101,182,577,0,480,0,0,0.02,4.60,2.55,1.36,17.96,0.00,53.95,0.00,0.00,22.15,0.75,12.73,44.94,77,77,95.82,450,300,138.32,98.16,3.87,3.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.52,5.64,0.01,0.28,0.00,0.00
2,Python 3.12.0b1,nbody.py 50000,0.314049,1056,1686131827.384645,-,-,725,18.12,3998,1896,1.32,1693,0,4,608,985,581,879,0,545,0,0,0.00,2.49,3.99,3.04,21.87,0.00,50.03,0.00,0.00,24.00,1.58,17.89,38.40,79,82,83.11,433,433,131.89,97.42,16.14,15.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.68,5.73,0.07,0.31,0.00,0.00
3,Python 3.12.0b1,nbody.py 50000,0.331780,1097,1686131827.754781,-,-,1083,27.83,3888,1898,1.00,3178,0,229,3864,1904,626,860,0,444,0,0,0.06,4.16,5.74,4.44,16.82,0.00,40.87,0.00,0.00,24.42,3.28,10.77,33.70,82,82,92.23,450,300,172.58,98.01,7.38,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.17,7.21,0.04,0.34,0.00,0.00
4,Python 3.12.0b1,nbody.py 50000,0.314627,1093,1686131828.106583,-,-,830,21.00,3953,1896,1.19,2001,0,121,3345,1083,138,604,3,485,0,0,0.08,5.62,3.06,0.68,18.04,0.03,51.42,0.00,0.00,22.67,0.49,14.39,41.46,82,84,95.67,450,300,143.77,98.08,3.95,3.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.88,5.98,0.02,0.28,0.00,0.00
5,Python 3.12.0b1,nbody.py 50000,0.321420,1174,1686131828.461590,-,-,872,22.32,3907,1896,1.16,2342,0,172,2246,2133,980,1096,0,411,0,0,0.07,3.81,7.94,6.72,21.21,0.00,37.77,0.00,0.00,28.70,4.42,13.48,31.08,82,82,94.58,450,300,150.94,97.74,5.35,5.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.22,6.33,0.02,0.29,0.00,0.00
6,Python 3.12.0b1,nbody.py 50000,0.338680,1033,1686131828.833837,-,-,1065,27.45,3878,1897,1.01,2749,0,313,3294,2261,1133,1197,6,349,0,0,0.14,7.79,8.01,6.67,18.85,0.01,30.96,0.00,0.00,32.17,4.32,10.79,25.26,82,82,93.89,450,300,174.65,97.64,6.03,5.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.48,7.37,0.03,0.36,0.00,0.00
7,Python 3.12.0b1,nbody.py 50000,0.337422,1102,1686131829.208129,-,-,811,20.49,3960,1896,1.17,2110,0,43,3768,1215,135,645,1,567,0,0,0.03,5.19,2.24,0.94,18.41,0.02,52.51,0.00,0.00,21.45,0.67,14.70,42.69,84,84,92.76,450,300,141.24,97.97,6.58,6.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.33,6.30,0.03,0.31,0.00,0.00
8,Python 3.12.0b1,nbody.py 50000,0.339071,1351,1686131829.607008,-,-,1161,29.72,3906,1896,1.10,2739,0,227,3141,2153,796,963,3,397,0,0,0.07,7.60,7.79,4.88,17.75,0.05,31.95,0.00,0.00,33.32,2.31,11.78,22.87,84,87,95.85,450,300,191.33,98.26,3.72,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.33,8.23,0.01,0.36,0.00,0.00
9,Python 3.12.0b1,nbody.py 50000,0.319775,1042,1686131829.961189,-,-,868,22.14,3918,1896,1.16,2388,0,95,2130,1862,948,819,0,421,0,0,0.04,3.66,6.44,5.66,18.07,0.00,43.79,0.00,0.00,27.09,2.79,12.72,35.25,87,87,92.57,450,300,150.30,97.76,6.65,6.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.28,6.36,0.03,0.29,0.00,0.00
10,Python 3.12.0b1,nbody.py 50000,0.320051,1143,1686131830.317863,-,-,843,21.50,3920,1896,1.17,2151,0,155,1982,1823,910,979,0,490,0,0,0.05,3.55,6.60,5.04,19.89,0.00,43.18,0.00,0.00,26.84,2.77,13.17,35.72,86,86,93.74,450,300,143.94,97.65,5.86,5.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,6.22,0.02,0.28,0.00,0.00
