test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
10,2019-11-14,binaryTrees_v2_21_original,g++-7,binaryTrees_2.c 21,1.0,0.4,0.62,0.22,0.03,0.13,6.7,2.53,0.0,1.89,1.8,20.779455942,70758724297,3.406,176683968649,2.5,20777.64,1.0,70753035479,3.405,3,39338909760,497990925,20777.66,1.0,22.0,38650160404,52635525,0.14%,0,30168497195,65662,65662,0,822761222,299030176,36.345,52458235669,608005185,1.16%,96922524,36344464,37.50%,3445545,52463455420,3800646,0.01%,17030,425313,2497.43%,0,0,13.624,2.99728,8.44688,0.40872,1.77112
1,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,1.0,0.4,0.62,0.21,0.03,0.15,6.81,2.5,0.0,2.25,2.16,17.507871734,71323601714,4.074,178341931295,2.5,17505.89,1.0,71334167828,4.075,1,33073124438,418676208,17505.92,1.0,19.0,39264774573,55079967,0.14%,0,30287348846,65665,65665,0,813641248,306348024,37.651,52362780791,609816974,1.16%,97060063,36953320,38.07%,3238453,52481741048,3171672,0.01%,54593,284542,521.21%,0,0,16.296,3.42216,10.10352,0.48888,2.4444
2,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,0.99,0.39,0.63,0.21,0.03,0.14,6.82,2.55,0.0,2.25,2.16,17.291591541,70264226993,4.064,177755081865,2.53,17289.78,1.0,70248319804,4.063,5,32575123555,412351915,17289.83,1.0,13.0,38880490733,54440333,0.14%,0,30429083936,65665,65665,0,810189832,303775030,37.494,52436315235,609409932,1.16%,96673103,39109680,40.46%,3475149,52312224736,3158983,0.01%,123573,283293,229.25%,0,0,16.256,3.41376,10.24128,0.48768,2.27584
3,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,0.99,0.4,0.62,0.21,0.03,0.14,6.81,2.49,0.01,2.25,2.15,17.503920194,70739460431,4.042,179189364515,2.53,17502.07,1.0,70764949729,4.043,14,32976546326,417433542,17502.12,1.0,10.0,39286928807,55611074,0.14%,0,30387420024,65664,65664,0,822613102,296088365,35.994,52700786339,610692873,1.16%,99599540,39155689,39.31%,3709643,52171589880,3261504,0.01%,116652,352809,302.45%,0,0,16.168,3.3952799999999996,10.02416,0.48503999999999997,2.26352
4,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,0.99,0.4,0.62,0.21,0.03,0.14,6.81,2.52,0.0,2.17,2.12,17.8177862,70652175531,3.966,178067107153,2.52,17815.73,1.0,70684778735,3.968,21,33354024743,422247575,17815.74,1.0,11.0,39082965572,58497107,0.15%,0,30427954970,65663,65663,0,817967002,308556530,37.722,52317128652,613729053,1.17%,98392739,40038929,40.69%,3651023,52306585570,3121248,0.01%,270734,306189,113.10%,0,0,15.864,3.33144,9.83568,0.47592,2.2209600000000003
5,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,0.99,0.4,0.62,0.21,0.03,0.14,6.82,2.54,0.0,2.21,2.12,17.77977902,70456512886,3.963,177655657627,2.52,17777.76,1.0,70416323157,3.961,8,33242778958,420840477,17777.8,1.0,9.0,39026244711,54394804,0.14%,0,30469727713,65664,65664,0,821277725,296588044,36.113,52582038236,613219956,1.17%,99801458,39236795,39.31%,3375029,52573411026,3727217,0.01%,278580,305282,109.59%,0,0,15.852,3.32892,9.828240000000001,0.47556,2.2192800000000004
6,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,0.99,0.4,0.62,0.21,0.03,0.14,6.79,2.51,0.0,2.1,2.02,18.683546192,70782570050,3.789,178886559595,2.53,18679.65,1.0,70799085354,3.79,15,35061766824,443814010,18679.65,1.0,6.0,39041806188,60959881,0.16%,0,30158566737,65664,65664,0,805681916,309525821,38.418,52006270548,609321221,1.17%,99860739,39485511,39.54%,4525113,52323283302,3116767,0.01%,268807,505314,187.98%,0,0,15.156,3.18276,9.39672,0.45468,2.12184
7,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,0.99,0.4,0.62,0.21,0.03,0.14,6.82,2.52,0.01,2.19,2.11,17.852646864,70744092377,3.963,178701604087,2.53,17850.62,1.0,70800262464,3.966,14,33602147208,425303954,17850.65,1.0,8.0,39140650002,55635108,0.14%,0,30376956094,65663,65663,0,790070433,299231263,37.874,52446495303,608824523,1.16%,99796808,39609436,39.69%,3840604,52319951267,3199555,0.01%,152040,307544,202.28%,0,0,15.852,3.32892,9.828240000000001,0.47556,2.2192800000000004
8,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,1.0,0.39,0.64,0.21,0.03,0.13,6.83,2.57,0.01,2.0,1.86,19.696251467,69381410955,3.523,177087107950,2.55,19694.05,1.0,69391557751,3.523,3,37192538768,470861214,19694.08,1.0,19.0,39497655447,56196024,0.14%,0,30428455672,65662,65662,0,818089522,320255922,39.147,51844409442,615851498,1.19%,103133299,42528742,41.24%,4228512,51752755533,3078429,0.01%,43877,326535,744.21%,0,0,14.092,2.95932,9.018880000000001,0.42276,1.83196
9,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,1.0,0.39,0.64,0.21,0.03,0.13,6.81,2.54,0.0,1.92,1.79,20.561538743,69590025873,3.385,177905523423,2.56,20559.36,1.0,69584910811,3.385,2,38926464429,492769122,20559.38,1.0,21.0,39295828703,63089057,0.16%,0,30107176981,65663,65663,0,810613391,316882953,39.092,51782995385,614034065,1.19%,102444073,40842868,39.87%,3504562,52260558538,3036651,0.01%,2796,421651,15080.51%,0,0,13.54,2.8434,8.6656,0.40619999999999995,1.7602
