version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.45,0.51,0.05,0.03,0.41,5.86,2.20,0.14,5.57,2.12,4251982208.30,17040358656.00,4.01,37210401062.90,2.18,4251.44,1.00,17091424568.00,4.02,1.30,8029299578.30,101636656.00,4251.45,1.00,30.50,6229870737.50,7715039.90,0.12,0.00,6411328206.60,621744.00,621744.00,0.00,554383147.30,167042673.60,30.15,6001505915.50,390073213.30,6.50,21066596.60,4985246.60,23.62,9736305.30,6048254163.60,1126887.70,0.02,6269.90,257245.40,5498.14,0.00,0.00
g++-4.6 4.6.4,binaryTrees_6.c 21,1.00,0.51,0.47,0.11,0.04,0.37,5.79,1.95,0.14,5.59,2.12,4245320329.30,17053987057.50,4.02,33400424367.80,1.96,4244.84,1.00,17112310695.30,4.03,1.30,8018336772.40,101498469.40,4244.85,1.00,31.10,6563732103.30,8645503.10,0.13,0.00,7287166256.80,621743.30,621743.30,0.00,556253765.50,158359526.50,28.47,6628707721.60,384601877.00,5.80,21173740.40,6529751.60,30.84,9271283.20,6655796365.10,1163268.10,0.02,5221.30,163446.50,3258.48,0.00,0.00
g++-4.7 4.7.4,binaryTrees_6.c 21,1.00,0.51,0.48,0.13,0.03,0.36,5.61,1.94,0.15,6.73,2.12,3603506978.80,14445030587.50,4.01,27942695007.30,1.94,3602.77,1.00,14495994676.00,4.02,2.30,6802284501.40,86105638.50,3602.78,1.00,32.40,5466292192.30,8280929.70,0.15,0.00,6054071010.40,621743.40,621743.40,0.00,536110661.90,157764328.10,29.44,5117295473.70,382001924.80,7.47,23913068.70,7546820.10,31.56,8929586.80,5130903176.60,1292450.00,0.02,5276.60,261600.90,5626.97,0.00,0.00
g++-4.8 4.8.5,binaryTrees_6.c 21,1.00,0.51,0.46,0.15,0.03,0.36,5.52,1.94,0.17,6.59,2.12,3641780584.00,14574137666.20,4.00,28493939924.60,1.96,3640.97,1.00,14627708530.30,4.02,1.20,6875080859.40,87025003.20,3640.97,1.00,32.90,5557992458.00,8429093.20,0.15,0.00,6078290334.80,621744.20,621744.20,0.00,553811930.50,154970836.20,27.99,5162438892.50,381355128.50,7.39,24188032.80,6984362.40,28.89,8548307.60,5203621122.70,1188016.00,0.02,4490.40,397422.20,9780.56,0.00,0.00
g++-4.9 4.9.3,binaryTrees_6.c 21,1.00,0.51,0.47,0.14,0.03,0.36,5.68,1.96,0.16,6.73,2.12,3614045844.90,14479980501.80,4.01,28353420029.70,1.96,3613.37,1.00,14536806922.40,4.02,1.70,6823622264.10,86372029.70,3613.38,1.00,32.60,5414117277.40,8215297.50,0.15,0.00,6119842533.90,621743.50,621743.50,0.00,539363514.80,153226268.70,28.42,5068065052.70,381453558.10,7.53,23775712.50,7389988.00,31.19,9308084.90,5064328063.30,1311319.20,0.03,5204.00,57122.40,1116.91,0.00,0.00
g++-5 5.5.0,binaryTrees_6.c 21,1.00,0.51,0.46,0.10,0.03,0.41,5.79,1.96,0.17,6.86,2.12,3505738721.60,14045586137.50,4.01,27573109583.00,1.97,3505.02,1.00,14103710542.80,4.02,1.30,6619134833.50,83786877.40,3505.02,1.00,32.90,5356889587.90,8064484.30,0.15,0.00,6083650088.70,621744.50,621744.50,0.00,549798777.90,154208955.60,28.09,5047392188.00,382917274.80,7.59,24716001.40,7933983.30,32.05,8675298.50,5113136843.10,1331733.20,0.03,6550.90,328842.60,4876.89,0.00,0.00
g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.54,0.45,0.13,0.03,0.41,5.60,1.83,0.17,6.79,2.10,3519346552.30,13988370682.40,3.98,25548294435.20,1.82,3518.74,1.00,14046107261.40,3.99,1.70,6641817353.80,84070582.40,3518.74,1.00,30.90,5181089532.70,7897806.90,0.15,0.00,5557582519.10,621743.60,621743.60,0.00,558192416.90,160696138.40,28.79,4435112948.60,385550646.10,8.69,24402754.80,7028597.40,28.76,8776628.80,4459724860.60,1185766.20,0.03,6372.70,705452.10,15739.65,0.00,0.00
g++-7 7.5.0,binaryTrees_6.c 21,1.00,0.53,0.44,0.14,0.02,0.40,5.43,1.90,0.15,6.58,2.12,3729994174.50,14926378844.30,4.00,28249511015.70,1.89,3729.20,1.00,14980374526.70,4.02,2.20,7041294972.60,89132597.70,3729.21,1.00,32.30,5261408555.10,5841324.40,0.11,0.00,6269115180.90,621743.70,621743.70,0.00,537948742.20,163930653.80,30.49,5261928730.60,372706824.00,7.08,24390750.50,8061384.70,32.98,9298714.00,5312130121.30,1245841.20,0.02,7272.80,578764.40,8847.35,0.00,0.00
g++-8 ,binaryTrees_6.c 21,1.00,0.57,0.43,0.23,0.04,0.31,5.38,1.77,0.12,5.47,2.12,4464590439.10,17849052196.50,4.00,31517998602.70,1.76,4463.98,1.00,17891521000.70,4.01,1.10,8426943016.60,106671461.90,4463.98,1.00,32.40,6490404965.80,12648186.60,0.19,0.00,5911571902.50,621743.30,621743.30,0.00,545055981.30,167582244.00,30.75,6074586861.90,382063657.10,6.29,26621452.30,8882362.40,33.38,9386681.00,6069014487.20,1134618.90,0.02,7486.80,206978.20,3490.08,0.00,0.00
g++-9 9.5.0,binaryTrees_6.c 21,1.00,0.55,0.44,0.26,0.04,0.27,5.38,1.82,0.14,5.46,2.11,4431000623.00,17664737742.30,3.99,32022103254.00,1.81,4430.45,1.00,17718444676.90,4.00,1.80,8366289638.90,105905248.80,4430.45,1.00,32.30,6468725874.90,12610398.40,0.20,0.00,5730542451.20,621743.30,621743.30,0.00,545834532.10,172217593.40,31.56,5955772133.30,379570722.00,6.37,26515261.60,8310561.60,31.28,9574817.00,5934820472.50,1056018.40,0.02,8453.10,300697.20,3582.08,0.00,0.00
g++-10 10.5.0,binaryTrees_6.c 21,1.00,0.51,0.47,0.07,0.03,0.44,5.97,1.97,0.19,7.99,2.11,3126359555.70,12469472902.80,3.99,24571573753.50,1.98,3125.74,1.00,12520388152.50,4.01,0.80,5899851001.70,74682672.40,3125.74,1.00,32.50,4086913853.40,4415869.50,0.11,0.50,5214283677.70,621744.00,621744.00,0.00,522099394.10,155797773.90,29.89,5059169661.70,372321380.00,7.36,23892215.20,9159928.10,38.31,8213422.80,5131354963.40,1256788.80,0.02,5336.70,536072.00,11288.03,0.00,0.00
g++-11 11.4.0,binaryTrees_6.c 21,1.00,0.51,0.47,0.07,0.03,0.45,5.95,1.94,0.18,7.87,2.11,3158028338.90,12577839103.30,3.98,24395390312.00,1.94,3157.39,1.00,12633267319.60,4.00,0.60,5960742072.90,75445254.40,3157.39,1.00,32.80,4181271920.70,4382705.60,0.10,0.00,5196431417.60,621743.70,621743.70,0.00,522310929.60,156742615.10,30.06,5063627146.40,373171248.10,7.37,24083958.40,8324263.50,34.42,8780732.00,5080322985.00,1272275.50,0.03,6571.90,299497.30,5921.77,0.00,0.00
g++-12 12.3.0,binaryTrees_6.c 21,1.00,0.51,0.47,0.08,0.03,0.43,5.82,1.97,0.19,8.06,2.11,3123654381.00,12465707551.60,3.99,24712862701.70,1.99,3122.94,1.00,12528514809.70,4.01,1.20,5893284561.80,74596195.00,3122.94,1.00,32.60,4097742460.30,5220080.30,0.13,0.00,5220445527.90,621744.10,621744.10,0.00,509575553.30,158234060.10,31.10,4798278249.20,371278649.70,7.74,23486657.70,8680155.00,36.89,8597516.00,4822217203.20,1298433.40,0.03,6493.00,342933.40,4302.61,0.00,0.00
g++-13 13.1.0,binaryTrees_6.c 21,1.00,0.50,0.47,0.08,0.02,0.43,5.83,1.97,0.19,8.06,2.12,3121362725.20,12480568348.20,4.00,24736855873.80,1.99,3120.64,1.00,12534644948.30,4.02,1.00,5887865413.90,74528698.90,3120.65,1.00,32.30,4101323129.00,5221297.60,0.13,0.00,5215170053.70,621743.70,621743.70,0.00,511488012.60,160561180.00,31.43,4809434954.30,369805569.90,7.69,24286128.10,9063069.50,37.16,8556799.90,4844582791.20,1244501.00,0.03,6067.10,252314.40,4921.43,0.00,0.00
