test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.4.10,binarytrees.py 21,62819957,1.00,1.24,0.22,0.30,0.08,0.31,5.16,1.24,0.19,,,62819957 ns,141542591,2.228 GHz,<not,(0.00%),63.50 msec,1.011,<not,(0.00%) ,29,<not,<not,63.54 msec,1.012,2245 C,<not,<not,(0.00%),<not,<not,8647,8647,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,Python 3.4.10,binarytrees.py 21,63655301,0.98,1.26,0.23,0.30,0.12,0.41,,,,,,63655301 ns,116835549,1.818 GHz,<not,(0.00%),64.24 msec,1.009,<not,(0.00%) ,29,<not,<not,64.30 msec,1.010,2154 C,<not,<not,(0.00%),<not,<not,8658,8658,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,Python 3.4.10,binarytrees.py 21,62556566,0.99,1.25,0.24,0.30,0.13,,,,,,,62556566 ns,187241908,2.966 GHz,<not,(0.00%),63.10 msec,1.009,<not,(0.00%) ,29,<not,<not,63.15 msec,1.009,2136 C,<not,<not,(0.00%),<not,<not,8686,8686,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,Python 3.4.10,binarytrees.py 21,63296608,0.97,1.25,0.23,0.30,0.07,0.30,5.00,1.22,0.21,0.17,2.01,63296608 ns,154022333,2.417 GHz,<not,(0.00%),63.70 msec,1.006,<not,(0.00%) ,31,<not,<not,63.75 msec,1.007,2127 C,<not,<not,(0.00%),<not,<not,8679,8679,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,Python 3.4.10,binarytrees.py 21,63435088,0.99,1.35,0.21,0.30,0.07,0.30,5.05,1.24,0.19,1.47,2.09,63435088 ns,159030556,2.492 GHz,<not,(0.00%),63.78 msec,1.006,<not,(0.00%) ,31,<not,<not,63.84 msec,1.006,2118 C,<not,<not,(0.00%),<not,<not,8619,8619,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,Python 3.4.10,binarytrees.py 21,62327778,0.99,1.28,0.22,0.29,0.09,0.25,4.48,1.05,0.38,,,62327778 ns,142823143,2.274 GHz,<not,(0.00%),62.79 msec,1.007,<not,(0.00%) ,33,<not,<not,62.84 msec,1.008,2106 C,<not,<not,(0.00%),<not,<not,8667,8667,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,Python 3.4.10,binarytrees.py 21,63016524,0.99,1.23,0.23,0.30,0.08,0.30,3.70,0.70,0.77,,,63016524 ns,135416322,2.134 GHz,<not,(0.00%),63.43 msec,1.007,<not,(0.00%) ,36,<not,<not,63.49 msec,1.008,2090 C,<not,<not,(0.00%),<not,<not,8643,8643,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,Python 3.4.10,binarytrees.py 21,62722438,0.98,1.23,0.23,0.30,0.13,,,,,,,62722438 ns,190079581,3.010 GHz,<not,(0.00%),63.13 msec,1.006,<not,(0.00%) ,38,<not,<not,63.18 msec,1.007,2093 C,<not,<not,(0.00%),<not,<not,8692,8692,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,Python 3.4.10,binarytrees.py 21,57108929,0.96,1.07,0.27,0.33,0.10,0.24,,,,,,57108929 ns,92866254,1.630 GHz,<not,(0.00%),56.94 msec,0.997,<not,(0.00%) ,26,<not,<not,56.98 msec,0.998,2176 C,<not,<not,(0.00%),<not,<not,8665,8665,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,Python 3.4.10,binarytrees.py 21,55876073,0.97,1.09,0.27,0.33,0.12,0.27,,,,,,55876073 ns,85534496,1.544 GHz,<not,(0.00%),55.38 msec,0.991,<not,(0.00%) ,13,<not,<not,55.42 msec,0.992,2273 C,<not,<not,(0.00%),<not,<not,8666,8666,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
