test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend
1,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.02,0.0,0.39,5.27,2.24,0.01,0.22,2.15,3.967419534,15908781296,3.998,36943124203,2.31,3979.36,1.003,15942215428,4.006,21,7400323019,93526358,3979.51,1.003,731.0,2849977685,190060,0.01%,0,4057575656,3045,3036,8,167969,17233,10.26,9153175731,124579,0.00%,13757,1203,8.74%,375987,9199964338,69,0.00%,19510,12044,61.73%,0,0,63635125184,1272702503.68,36908372606.72,0.0,24817698821.760002
2,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.02,0.0,0.39,5.27,2.23,0.01,0.18,2.15,3.967372007,15882282383,3.99,36892813540,2.31,3980.13,1.003,15896106171,3.994,26,7378271830,93513691,3980.25,1.003,747.0,2849514608,266491,0.01%,0,4064930951,3047,3038,8,565570,152406,26.947,9136324569,199838,0.00%,33108,3101,9.37%,567049,9186423998,255,0.00%,18912,15663,82.82%,0,0,63529129532,1270582590.64,36846895128.56,0.0,24776360517.48
3,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.44,0.58,0.03,0.0,0.39,5.3,2.22,0.02,0.26,2.15,3.999061764,16300297727,4.064,36644130256,2.26,4011.0,1.003,15911200722,3.967,24,7366621137,93370587,4011.13,1.003,687.0,2856598741,399275,0.01%,0,4046878543,3071,3062,8,129413,37318,28.836,9087781851,119855,0.00%,12337,2465,19.98%,389997,9020075221,108,0.00%,5492,4360,79.39%,0,0,65201190908,1956035727.24,37816690726.64,0.0,25428464454.120003
4,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.03,0.0,0.39,5.3,2.25,0.02,0.25,2.15,4.006316042,16347003946,4.069,37291292184,2.29,4017.8,1.003,16348098514,4.069,24,7558567454,93357002,4017.94,1.003,601.0,2856937849,400129,0.01%,0,4048108105,3064,3052,11,302701,58551,19.343,8989558431,161812,0.00%,24174,2997,12.40%,439728,8988646345,54,0.00%,3458,4617,133.52%,0,0,65388015784,1961640473.52,37925049154.71999,0.0,25501326155.760002
5,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.02,0.0,0.39,5.27,2.24,0.01,0.25,2.15,3.991038645,15890913795,3.97,36199248538,2.24,4003.1,1.003,15900892279,3.972,31,7379206910,93399526,4003.22,1.003,574.0,2844104342,329575,0.01%,0,4059750601,3064,3055,8,247874,37283,15.041,9064290429,169674,0.00%,31434,2952,9.39%,437077,9183932468,270,0.00%,4696,3222,68.61%,0,0,63563655180,1271273103.6000001,36866920004.399994,0.0,24789825520.2
6,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.02,0.0,0.39,5.3,2.25,0.01,0.26,2.15,3.968761841,15894977229,3.993,36775545318,2.3,3980.84,1.003,15898977089,3.994,23,7367051137,93376246,3980.97,1.003,522.0,2856023086,347221,0.01%,0,4050747920,3060,3051,8,486523,44818,9.212,9141886386,179654,0.00%,36210,1741,4.81%,535550,9172507874,695,0.00%,6181,13915,225.13%,0,0,63579908916,1271598178.32,36876347171.28,0.0,24796164477.24
7,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.02,0.0,0.39,5.3,2.27,0.01,0.25,2.15,3.964598725,15890373539,3.997,36739070061,2.3,3975.59,1.003,15927123413,4.006,21,7379684216,93411812,3975.73,1.003,569.0,2857847285,337925,0.01%,0,4058506133,3041,3032,8,561060,170368,30.365,9146454574,200930,0.00%,35720,8207,22.98%,563904,9188304742,85,0.00%,22081,18275,82.76%,0,0,63561494156,1271229883.1200001,36865666610.479996,0.0,24788982720.84
8,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.59,0.02,0.0,0.39,5.31,2.25,0.01,0.27,2.15,3.967664879,15881473756,3.99,36841134142,2.31,3980.13,1.003,15919436282,4.0,25,7367584944,93381420,3980.24,1.003,528.0,2862757197,395206,0.01%,0,4052969126,3045,3033,11,239275,42631,17.817,9127353006,134891,0.00%,19141,2412,12.60%,415308,9167576881,657,0.00%,6523,13007,199.40%,0,0,63525895024,1270517900.48,37480278064.159996,0.0,24775099059.36
9,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.02,0.0,0.39,5.29,2.26,0.01,0.24,2.15,3.970509181,15877620740,3.986,36576205383,2.28,3982.87,1.003,15925005008,3.998,18,7382544351,93443834,3983.02,1.003,567.0,2852027793,340809,0.01%,0,4043149968,3062,3053,8,262683,47626,18.131,9114623730,134485,0.00%,14335,2520,17.58%,396349,9193596564,378,0.00%,3489,2989,85.67%,0,0,63510482960,1270209659.2,36836080116.799995,0.0,24769088354.4
10,2023-07-18,nbody_50000000_v5_original,1.8.0_382,nbody.java 50000000,1.0,0.43,0.58,0.02,0.0,0.39,5.28,2.24,0.01,0.24,2.15,3.977745451,15891144628,3.983,36563588961,2.28,3989.84,1.003,15905613908,3.986,18,7384755070,93595391,3989.96,1.003,563.0,2855118104,435773,0.02%,0,4040260161,3066,3057,8,326184,57523,17.635,9127480804,136901,0.00%,16552,755,4.56%,392938,9165384490,1059,0.00%,3659,3307,90.38%,0,0,63564578512,1271291570.24,36867455536.96,0.0,24790185619.68
