test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,0.99,0.5,0.52,0.17,0.03,0.27,6.42,2.0,0.23,4.5,2.12,20.69990704,90410898727,3.971,181120703573,2.01,22766.96,1.1,90518983806,3.976,94,42496923274,538389793,22768.94,1.1,145.0,32030055606,81374117,0.25%,4,31237174224,5931084,5931084,0,2540254401,1518765984,59.788,42663151209,1439556662,3.37%,162624703,51712480,31.80%,154880526,43200453062,14459506,0.03%,381557,8760632,2296.02%,0,5
2,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,0.99,0.49,0.53,0.16,0.04,0.28,6.36,2.04,0.22,4.45,2.12,20.354370944,89467670683,3.961,182694111494,2.05,22586.89,1.11,89602127886,3.967,15,42218686387,534900425,22588.23,1.11,109.0,32017071673,83256940,0.26%,13,31075638793,5930186,5930186,0,2550099807,1540096603,60.394,42817180207,1440038483,3.36%,162216482,50321759,31.02%,134276337,42916866023,14507497,0.03%,196597,9247870,4703.97%,0,0
3,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,0.99,0.49,0.53,0.17,0.04,0.25,6.52,2.08,0.23,4.38,2.06,21.142414622,87868297374,3.82,183172580068,2.09,23003.55,1.088,88007328445,3.826,37,42808531990,542555524,23005.29,1.088,134.0,32353740528,84793056,0.26%,8,30924568808,5930221,5930221,0,2578320146,1546252265,59.971,43035448022,1472974465,3.42%,163210847,48414910,29.66%,138402276,42707755800,14369007,0.03%,455462,8713060,1913.02%,0,0
4,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,0.99,0.5,0.52,0.16,0.04,0.28,6.44,2.0,0.22,4.43,2.12,20.808660444,90515076788,3.966,184304235220,2.04,22824.33,1.097,90528985981,3.966,29,42760720184,539217621,22825.85,1.097,126.0,32393759843,88784039,0.27%,13,31030376631,5931086,5931086,0,2495985723,1511878996,60.572,42438030119,1439360105,3.39%,159607564,46919866,29.40%,134843974,42615694504,14350696,0.03%,222692,9043124,4060.82%,0,0
5,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,0.99,0.49,0.53,0.17,0.04,0.26,6.44,2.05,0.23,4.41,2.08,20.886900289,89617923541,3.893,182971668686,2.05,23016.81,1.102,89738246483,3.899,36,43128487717,546369492,23018.56,1.102,130.0,32380233463,84162648,0.26%,17,31173963944,5930232,5930232,0,2533056024,1502256647,59.306,42651960575,1437827586,3.37%,160456673,48815496,30.42%,134476427,42452314431,14551108,0.03%,262976,8805549,3348.42%,0,0
6,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,0.99,0.48,0.54,0.17,0.04,0.26,6.6,2.09,0.23,4.31,2.0,21.638013657,87216006601,3.702,180619651831,2.05,23557.87,1.089,87240940378,3.703,16,43559038013,551790498,23559.64,1.089,169.0,31918118413,81965124,0.26%,13,31251180686,5930220,5930220,0,2550180282,1519257299,59.575,42587843903,1461545578,3.43%,164671260,53633485,32.57%,134369062,43208007566,14432536,0.03%,519208,8899520,1714.06%,0,0
7,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,1.0,0.48,0.54,0.17,0.04,0.24,6.54,2.12,0.24,3.82,1.74,24.405558872,86662514139,3.273,182321766238,2.11,26480.89,1.085,86452816131,3.265,13,49788040178,630696039,26482.9,1.085,186.0,32461623846,83799530,0.26%,13,31262751201,5929059,5929059,0,2537410430,1514322182,59.68,42633767398,1454943450,3.41%,166104616,53224925,32.04%,136393607,42489170295,14434348,0.03%,449407,8404844,1870.21%,0,0
8,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,1.0,0.47,0.55,0.17,0.04,0.24,6.6,2.12,0.24,3.81,1.74,24.238393966,85828799596,3.269,180410543394,2.09,26254.64,1.083,85954932886,3.274,11,49149372509,622474227,26256.73,1.083,195.0,32051336388,83477327,0.26%,13,30946826660,5931088,5931088,0,2492958693,1505303083,60.382,42576028253,1430943820,3.36%,167413628,53267105,31.82%,146908179,42694015156,14381948,0.03%,201956,8240504,4080.35%,0,0
9,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,1.0,0.47,0.55,0.17,0.04,0.24,6.53,2.11,0.24,3.84,1.75,24.218136518,86840951806,3.284,182475752035,2.11,26442.95,1.092,86949885544,3.288,16,49898180167,631679040,26445.02,1.092,185.0,32338906964,85158993,0.26%,17,31153668609,5930233,5930233,0,2568641150,1520648904,59.201,42780638986,1449336894,3.39%,163365129,51722738,31.66%,144498453,42553476235,14178029,0.03%,181443,8495724,4682.31%,0,0
10,2019-04-03,binaryTrees_original_v7,6.17.1,binaryTrees_7_original.js 21,1.0,0.47,0.55,0.18,0.04,0.24,6.62,2.1,0.22,3.75,1.75,24.220934345,86086845949,3.275,182154577012,2.11,26289.11,1.085,86165968240,3.278,12,49212132401,623477006,26290.78,1.085,216.0,32176696980,83883219,0.26%,0,31019765580,5930232,5930232,0,2500177283,1530185038,61.203,42820174675,1423223001,3.32%,173163466,56970805,32.90%,141927582,42759779594,14321847,0.03%,104262,8865582,8503.18%,0,0
