test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend
1,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.72,0.36,0.14,0.01,0.5,3.71,1.37,0.08,15.3,2.0,4.676065953,99558983734,3.669,134402127076,1.35,27130.35,5.802,99744725823,3.676,3353,49997136992,626948704,27136.42,5.803,269.0,25281357804,59752063,0.24%,1580,21468275805,1477634,1477634,0,2237461310,1235091176,55.201,36819562560,1136380238,3.09%,80795347,24304508,30.08%,115590652,37376853934,10640358,0.03%,1449231,5434742,375.01%,0,0,398235934936,55753030891.04001,143364936576.96,3982359349.36,199117967468.0
2,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.72,0.36,0.15,0.01,0.49,3.69,1.37,0.09,14.55,1.89,4.754040174,95530486596,3.458,131198803060,1.37,27625.66,5.811,95519656360,3.457,3603,50527276348,641119385,27632.37,5.812,228.0,25329679715,50383121,0.20%,1802,21465220796,1487672,1487672,0,2295739018,1251800655,54.527,36428431824,1120008931,3.07%,78342124,22860131,29.18%,166064035,35909531974,10471619,0.03%,2419024,6458030,266.97%,0,3,382121946384,57318291957.6,137563900698.24,3821219463.84,187239753728.16
3,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.71,0.36,0.15,0.01,0.47,3.73,1.42,0.08,14.11,1.8,5.125204313,97589856189,3.314,135774571213,1.39,29443.82,5.745,97528860625,3.312,3669,54118466283,681161047,29450.77,5.746,162.0,25695754761,54549056,0.21%,1708,21635518274,1478405,1478405,0,2308160334,1237291988,53.605,36573170167,1123622503,3.07%,82302653,24535213,29.81%,125612288,36596570528,10775814,0.03%,1540891,6493480,421.41%,0,4,390359424756,58553913713.4,140529392912.16,3903594247.56,183468929635.31998
4,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.71,0.36,0.15,0.01,0.47,3.81,1.43,0.08,13.82,1.7,5.287859078,96848399001,3.148,137559265863,1.43,30764.42,5.818,96689109345,3.143,3631,56682706369,718591430,30771.33,5.819,147.0,25829681981,50529801,0.20%,2639,21529049289,1472553,1472553,0,2372190094,1278419804,53.892,36493853812,1126763124,3.09%,88236619,26029303,29.50%,175693124,36163968657,11657185,0.03%,2301162,6615046,287.47%,0,10,387393596004,58109039400.6,139461694561.44,3873935960.04,182074990121.88
5,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.7,0.37,0.15,0.01,0.47,3.79,1.44,0.08,12.67,1.61,5.767086667,97354450881,2.978,137300916098,1.41,32690.92,5.669,97199326014,2.973,3929,60240071827,759378599,32698.84,5.67,209.0,25784166760,53251144,0.21%,2558,21934254800,1480295,1480295,0,2309920797,1208754742,52.329,36149469445,1123516085,3.11%,85531703,23662372,27.67%,147862727,36333206211,11219295,0.03%,1853194,5485077,295.98%,0,0,389417803524,58412670528.6,144084587303.88,3894178035.2400002,183026367656.28
6,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.69,0.37,0.15,0.01,0.46,3.71,1.43,0.08,9.18,1.11,7.948998212,96144907956,2.06,139570358643,1.45,46660.34,5.87,96347732827,2.065,4919,86837369367,1098304043,46671.29,5.871,385.0,26318976440,51316717,0.19%,490,22475148783,1481995,1481995,0,2335078006,1241756725,53.178,37577464636,1146865468,3.05%,82616452,25014410,30.28%,122011351,37644584201,9890936,0.03%,1981901,6399682,322.91%,0,286,384579631824,57686944773.6,142294463774.88,3845796318.2400002,176906630639.04
7,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.7,0.37,0.15,0.01,0.46,3.77,1.46,0.08,8.71,1.03,8.277442363,95463742438,1.924,138657618660,1.45,49613.2,5.994,95325561276,1.921,5889,92394595681,1166283868,49625.1,5.995,472.0,25974297897,44539047,0.17%,996,21879565377,1489913,1489913,0,2378614358,1215598902,51.105,36994176322,1145186230,3.10%,83669823,23881729,28.54%,167164710,36765780166,11158021,0.03%,2777015,7625215,274.58%,0,11,381854969752,57278245462.799995,141286338808.24,3818549697.52,175653286085.92
8,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.7,0.37,0.16,0.01,0.46,3.69,1.44,0.08,8.81,1.03,8.291400616,94805278457,1.917,135794095464,1.43,49457.95,5.965,94834177073,1.917,4957,92143600278,1162811902,49470.35,5.966,506.0,26018837745,49082063,0.19%,575,21869274541,1473965,1473965,0,2324771510,1236207799,53.175,36533735023,1130376776,3.09%,80481130,23699026,29.45%,161798840,36814266756,11408114,0.03%,2771257,7832718,282.64%,0,29,379221113828,60675378212.48,140311812116.36,3792211138.28,174441712360.88
9,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.71,0.37,0.15,0.01,0.46,3.73,1.44,0.08,8.91,1.03,8.481011487,97784909569,1.919,142184407032,1.46,50947.54,6.007,97883760873,1.921,5379,94791633732,1201350304,50958.87,6.009,510.0,27439790373,52632045,0.19%,612,22818606760,1487263,1487263,0,2456910376,1253161817,51.006,37957363473,1153483330,3.04%,85407950,24394053,28.56%,139968927,37568284629,9661517,0.03%,2108560,7702592,365.30%,0,0,391139638276,58670945741.4,144721666162.12,3911396382.76,179924233606.96002
10,2019-04-30,binaryTrees_original_v1,11.15.0,binaryTrees_1_original.js 21,0.99,0.69,0.37,0.15,0.01,0.46,3.74,1.45,0.08,8.74,1.03,8.464156449,95781716509,1.901,138855644435,1.44,50372.36,5.951,95826429866,1.902,5137,93298865371,1182712820,50384.37,5.953,525.0,26323875270,52372949,0.20%,492,22038033674,1477249,1477249,0,2411313897,1279756528,53.073,38089197676,1177052483,3.09%,84004169,24523452,29.19%,145385108,37568196292,10276455,0.03%,1821174,5364028,294.54%,0,177,383126866036,57469029905.4,141756940433.32,3831268660.36,176238358376.56
1,2022-04-05,binaryTrees_original_v1,12.22.12,binaryTrees_1_original.js 21,0.99,0.74,0.35,0.13,0.02,0.51,3.9,1.31,0.12,15.26,2.01,4.296217215,84210718312,3.665,110423700683,1.31,22969.81,5.347,84089345894,3.66,4222,41870504947,526755257,22978.08,5.348,329.0,22006448633,42783483,0.19%,326,19853760819,1502398,1502398,0,1993914088,1175126714,58.936,32820066319,1057975083,3.22%,69830911,21576940,30.90%,159131318,32375246264,8874808,0.03%,1264536,6155485,486.78%,0,0,336842873248,43789573522.24,117895005636.79999,6736857464.96,171789865356.48
