test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.0.1,binarytrees.py 21,62123154,0.98,1.25,0.22,0.29,0.09,0.16,,,,,,62123154 ns,102192833,1.632 GHz,<not,(0.00%),62.59 msec,1.007,<not,(0.00%) ,41,<not,<not,62.64 msec,1.008,2259 C,<not,<not,(0.00%),<not,<not,8793,8793,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,Python 3.0.1,binarytrees.py 21,61343900,0.99,1.22,0.23,0.30,0.09,0.36,4.73,1.30,0.34,,,61343900 ns,121474521,1.964 GHz,<not,(0.00%),61.83 msec,1.008,<not,(0.00%) ,37,<not,<not,61.88 msec,1.009,2210 C,<not,<not,(0.00%),<not,<not,8802,8802,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,Python 3.0.1,binarytrees.py 21,61287145,0.95,1.22,0.23,0.30,0.11,0.19,,,,,,61287145 ns,86239407,1.397 GHz,<not,(0.00%),61.71 msec,1.007,<not,(0.00%) ,35,<not,<not,61.76 msec,1.008,2170 C,<not,<not,(0.00%),<not,<not,8790,8790,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,Python 3.0.1,binarytrees.py 21,55304783,0.90,1.02,0.28,0.33,0.03,,,,,,,55304783 ns,151481502,2.743 GHz,<not,(0.00%),55.20 msec,0.998,<not,(0.00%) ,18,<not,<not,55.24 msec,0.999,2305 C,<not,<not,(0.00%),<not,<not,8802,8802,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,Python 3.0.1,binarytrees.py 21,55279578,0.86,1.08,0.28,0.34,0.12,0.35,,,,,,55279578 ns,92732902,1.692 GHz,<not,(0.00%),54.79 msec,0.991,<not,(0.00%) ,20,<not,<not,54.83 msec,0.992,2286 C,<not,<not,(0.00%),<not,<not,8800,8800,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,Python 3.0.1,binarytrees.py 21,54966523,0.97,1.06,0.28,0.33,0.13,,,,,,,54966523 ns,166843369,3.061 GHz,<not,(0.00%),54.49 msec,0.991,<not,(0.00%) ,15,<not,<not,54.54 msec,0.992,2336 C,<not,<not,(0.00%),<not,<not,8793,8793,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,Python 3.0.1,binarytrees.py 21,62207750,0.97,1.26,0.23,0.30,0.09,0.19,,,,,,62207750 ns,99235600,1.581 GHz,<not,(0.00%),62.74 msec,1.009,<not,(0.00%) ,32,<not,<not,62.79 msec,1.009,2048 C,<not,<not,(0.00%),<not,<not,8792,8792,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,Python 3.0.1,binarytrees.py 21,60999412,0.98,1.22,0.23,0.31,0.09,0.23,,,,,,60999412 ns,94802298,1.538 GHz,<not,(0.00%),61.63 msec,1.010,<not,(0.00%) ,26,<not,<not,61.68 msec,1.011,2099 C,<not,<not,(0.00%),<not,<not,8780,8780,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,Python 3.0.1,binarytrees.py 21,61672586,0.99,1.23,0.23,0.31,0.08,0.35,3.08,0.92,0.38,,,61672586 ns,135655811,2.187 GHz,<not,(0.00%),62.01 msec,1.005,<not,(0.00%) ,40,<not,<not,62.06 msec,1.006,2055 C,<not,<not,(0.00%),<not,<not,8750,8750,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,Python 3.0.1,binarytrees.py 21,65055456,0.93,1.17,0.24,0.30,0.11,0.32,,,,,,65055456 ns,73793178,1.184 GHz,<not,(0.00%),62.30 msec,0.958,<not,(0.00%) ,26,<not,<not,62.36 msec,0.958,2121 C,<not,<not,(0.00%),<not,<not,8784,8784,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
