test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
1,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,0.99,0.42,0.7,0.1,0.04,0.15,6.95,2.39,0.0,0.0,2.15,75.612956972,305250443835,4.037,728195980322,2.39,75607.43,1.0,305164302888,4.036,5,142130619378,1799402897,75607.53,1.0,2.0,84998929585,254987424,0.30%,0,174354880156,137,137,0,4047600,301712,7.454,264349175341,3659264,0.00%,291638,24675,8.46%,8725049,264259021464,21813,0.00%,696841,83193,11.94%,0,0,16.148,1.6148,11.3036,0.64592,2.4221999999999997
2,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,0.99,0.42,0.7,0.1,0.04,0.15,6.96,2.39,0.0,0.0,2.02,80.698188817,305091379768,3.781,728319679443,2.39,80687.93,1.0,305067104832,3.781,55,150845295201,1909754057,80688.08,1.0,2.0,85030644300,253728423,0.30%,0,174412976487,137,137,0,9246294,591681,6.399,264362359381,5187878,0.00%,653847,47563,7.27%,12281296,264281424637,21020,0.00%,1432867,189297,13.21%,0,0,15.124,1.5124000000000002,10.5868,0.60496,2.2686
3,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.7,0.1,0.04,0.15,6.96,2.39,0.0,0.0,1.82,88.537404705,305517925767,3.451,728487435173,2.38,88530.76,1.0,305469009810,3.45,17,167591912200,2121511107,88530.84,1.0,18.0,85056275510,255351191,0.30%,0,174458667702,137,137,0,8855854,412642,4.66,264275722743,4733868,0.00%,588409,16996,2.89%,12546743,264150173247,14012,0.00%,191887,117357,61.16%,0,0,13.804,1.3804,9.662799999999999,0.55216,2.0705999999999998
4,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.7,0.1,0.04,0.15,6.96,2.38,0.0,0.0,1.81,88.91343892,305478514555,3.436,727804027629,2.38,88907.18,1.0,305468132483,3.436,7,168371150844,2131396347,88907.26,1.0,19.0,85038804638,254741402,0.30%,0,174344497854,140,140,0,7811276,417996,5.351,264266753383,4399737,0.00%,504839,16283,3.23%,12409864,264161039003,12129,0.00%,102624,124023,120.85%,0,0,13.744,1.3744,9.6208,0.54976,2.0616
5,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.7,0.1,0.04,0.15,6.95,2.39,0.0,0.0,1.81,88.963567311,305223721170,3.431,728293452233,2.39,88957.16,1.0,305226461090,3.431,3,168465342654,2132600572,88957.26,1.0,19.0,85049189619,255728955,0.30%,0,174348133838,138,138,0,6809909,426930,6.269,264337108862,4413612,0.00%,441814,21155,4.79%,12824953,264198790786,14532,0.00%,83022,127216,153.23%,0,0,13.724,1.3724,9.6068,0.54896,2.0585999999999998
6,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.7,0.1,0.04,0.15,6.94,2.38,0.0,0.0,1.82,89.113503913,306642686500,3.441,727811639341,2.37,89107.08,1.0,306637022689,3.441,6,168750389292,2136203772,89107.15,1.0,19.0,85016413808,255167958,0.30%,0,174403185671,136,136,0,6621496,539035,8.141,264156201203,4717987,0.00%,459366,25924,5.64%,11112105,264301158612,17592,0.00%,85340,99033,116.05%,0,0,13.764,1.3764,9.634799999999998,0.5505599999999999,2.0646
7,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.7,0.1,0.04,0.15,6.96,2.39,0.0,0.0,1.81,88.685710467,304683918204,3.436,728146272094,2.39,88679.08,1.0,304663110968,3.436,4,167942900961,2125975972,88679.16,1.0,20.0,84999969904,255946284,0.30%,0,174283470069,139,139,0,3546132,337212,9.509,264241738057,3777667,0.00%,214309,16147,7.53%,9309199,264312946569,10775,0.00%,29473,78917,267.76%,0,0,13.744,1.3744,9.6208,0.54976,2.0616
8,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.7,0.1,0.04,0.15,6.95,2.38,0.0,0.0,1.81,89.388282845,305780919592,3.421,728066770639,2.38,89379.67,1.0,305741058619,3.421,5,169267089265,2142745071,89379.77,1.0,15.0,84995477337,256258556,0.30%,0,174301564917,138,138,0,6518220,532026,8.162,264283070396,4529563,0.00%,448621,24082,5.37%,11796299,264317961627,27330,0.00%,73714,128146,173.84%,0,0,13.684,1.3684,9.5788,0.54736,2.0526
9,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.71,0.1,0.04,0.15,6.96,2.39,0.0,0.0,1.8,89.25014874,304530532597,3.412,728168711572,2.39,89244.08,1.0,304533884463,3.412,6,169011793476,2139501986,89244.14,1.0,20.0,85008537244,254564881,0.30%,0,174371973599,140,140,0,3316795,381348,11.497,264332434748,3868259,0.00%,243904,33766,13.84%,9408992,264204387303,12746,0.00%,28534,75502,264.60%,0,0,13.648,1.3648,9.69008,0.54592,2.0471999999999997
10,2012-03-13,nbody_50000000_compatible,g++-4.4,nbody_2.c 50000000,1.0,0.42,0.7,0.1,0.04,0.15,6.96,2.39,0.0,0.0,1.81,88.740024441,304679353766,3.434,728279393124,2.39,88733.19,1.0,304679311779,3.434,19,168039802767,2127202188,88733.27,1.0,18.0,85015896511,255452562,0.30%,0,174303388035,137,137,0,4503268,488433,10.846,264219774346,4040523,0.00%,274540,23751,8.65%,10358730,264159569638,12628,0.00%,54174,77980,143.94%,0,0,13.736,1.3736000000000002,9.6152,0.54944,2.0604
1,2013-04-12,nbody_50000000_compatible,g++-4.6,nbody_2.c 50000000,0.99,0.42,0.66,0.09,0.04,0.2,6.67,2.37,0.0,0.0,2.16,75.42968538,306535460470,4.064,725953536504,2.37,75423.87,1.0,306559635322,4.064,9,142210161237,1800076489,75423.97,1.0,2.0,84474649994,250496624,0.30%,0,173952952751,135,135,0,3842953,314426,8.182,263894539583,3141558,0.00%,246246,15430,6.27%,7821070,263866193147,490512,0.00%,1387359,68194,4.92%,0,0,16.256,1.46304,10.72896,0.65024,3.2512000000000003
2,2013-04-12,nbody_50000000_compatible,g++-4.6,nbody_2.c 50000000,0.99,0.42,0.66,0.09,0.05,0.2,6.74,2.39,0.0,0.0,2.0,80.67293736,303179561133,3.759,725752529396,2.39,80663.14,1.0,303224250377,3.759,59,151351070246,1916084593,80663.27,1.0,12.0,84499848012,250826908,0.30%,0,174030435067,140,140,0,9598856,456115,4.752,263947548497,4884158,0.00%,640331,26839,4.19%,11589280,263944187241,1000300,0.00%,4597661,132496,2.88%,0,0,15.036,1.35324,9.92376,0.7518,3.0072
3,2013-04-12,nbody_50000000_compatible,g++-4.6,nbody_2.c 50000000,1.0,0.42,0.66,0.09,0.05,0.2,6.74,2.4,0.0,0.0,1.82,87.799707824,302815381914,3.449,725968587153,2.4,87793.43,1.0,302815874060,3.449,9,166262028673,2104715538,87793.51,1.0,19.0,84482889597,250459431,0.30%,0,174016974411,137,137,0,4583685,306872,6.695,263937790769,3696597,0.00%,306529,12439,4.06%,9265326,263906975335,1281184,0.00%,2925850,75630,2.58%,0,0,13.796,1.2416399999999999,9.10536,0.6898,2.7592
