test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.10.11,fibonacci.py 100000,0.288908,1363,1686825910.489259,-,-,499,13.08,3819,1896,1.85,589,0,2,98,84,86,261,0,266,1,86,0.00,0.52,0.45,1.27,6.33,0.00,27.94,0.34,50.01,16.19,4.11,5.76,60.85,70,72,95.53,300,300,104.49,96.81,3.99,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.64,3.73,0.01,0.29,0.00,0.00
2,Python 3.10.11,fibonacci.py 100000,0.297640,1288,1686825910.833262,-,-,768,21.70,3537,1896,1.36,1043,0,24,3014,1517,206,184,5,259,1,107,0.02,6.27,5.97,1.15,3.85,0.39,22.53,0.34,37.79,25.31,1.21,2.70,49.07,75,75,97.43,300,300,146.59,98.99,2.28,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.47,4.51,0.01,0.36,0.00,0.00
3,Python 3.10.11,fibonacci.py 100000,0.291256,4995,1686825911.165217,-,-,498,13.66,3664,1886,1.83,566,0,1,8,32,59,218,0,299,1,59,0.00,0.25,0.22,1.00,5.16,0.00,34.86,1.03,43.29,15.26,2.69,6.05,62.33,68,73,95.45,300,300,106.15,98.79,3.54,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34,3.52,0.01,0.29,0.00,0.00
4,Python 3.10.11,fibonacci.py 100000,0.286365,1309,1686825911.488201,-,-,518,13.73,3770,1896,1.79,594,0,3,20,48,76,219,1,289,2,137,0.00,0.46,0.55,1.01,5.47,0.08,34.33,0.01,44.22,15.94,2.73,7.24,60.35,72,73,95.68,300,300,106.87,98.90,4.10,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.59,3.73,0.01,0.29,0.00,0.00
5,Python 3.10.11,fibonacci.py 100000,0.303183,4368,1686825911.833918,-,-,787,22.30,3551,1884,1.36,1116,0,9,3375,1464,189,163,0,286,5,108,0.00,8.73,4.98,0.74,2.91,0.00,29.29,0.10,30.42,26.10,0.82,2.13,48.65,75,75,94.99,300,300,148.20,98.63,3.81,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.54,4.68,0.01,0.37,0.00,0.00
6,Python 3.10.11,fibonacci.py 100000,0.313701,1412,1686825912.186398,-,-,571,19.55,2921,1896,1.63,822,0,18,82,157,133,303,1,480,4,149,0.02,1.36,1.25,1.44,6.92,0.00,42.49,0.22,26.60,18.90,2.22,7.25,52.07,72,73,95.95,300,300,135.67,98.77,3.97,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.96,3.95,0.01,0.33,0.00,0.00
7,Python 3.10.11,fibonacci.py 100000,0.282729,1333,1686825912.507071,-,-,508,13.55,3748,1896,1.85,471,0,0,11,36,72,193,0,205,2,69,0.00,0.24,0.28,0.91,4.25,0.00,26.82,0.54,53.36,15.47,3.05,5.10,62.83,72,73,97.27,300,300,107.80,99.20,2.48,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,3.62,0.01,0.28,0.00,0.00
8,Python 3.10.11,fibonacci.py 100000,0.321112,1335,1686825912.867701,-,-,802,27.95,2869,1896,1.33,1432,0,18,1769,1652,882,848,0,264,0,169,0.01,3.51,7.48,6.28,9.28,0.00,14.59,0.00,30.75,28.03,4.42,4.08,35.52,76,76,95.61,300,300,169.69,98.54,3.89,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67,4.75,0.01,0.37,0.00,0.00
9,Python 3.10.11,fibonacci.py 100000,0.287092,4534,1686825913.195989,-,-,500,13.59,3714,1879,1.85,534,0,0,21,29,67,208,0,300,0,63,0.00,0.21,0.34,0.93,5.65,0.00,35.98,0.00,42.42,15.76,2.05,6.67,61.93,75,75,95.09,300,300,107.74,99.03,3.43,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,3.57,0.01,0.29,0.00,0.00
10,Python 3.10.11,fibonacci.py 100000,0.280868,5084,1686825913.514077,-,-,513,13.44,3834,1889,1.84,552,0,0,19,41,58,216,0,286,1,56,0.00,0.14,0.25,0.79,5.79,0.00,36.44,0.16,42.59,15.40,2.53,5.98,62.65,68,74,93.64,300,300,105.80,98.06,4.45,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.53,3.72,0.01,0.28,0.00,0.00
