version,release_date,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 43
11.15.0,2019-04-30,binaryTrees_1_original.js 21,0,1692264291,191853,node,0:00.48,1162348.0,230076.0,25340.0,300.0,1.4,12.0,0.0,0:00,0.0,33576.0,273112.0,0.0,51k,0.0,230076,287,2,277,8,0,34.5,5.8,0.0,59.7,0.0,0.0,0.0,0.0,15795.0 MiB,6584.5 MiB,1865.1 MiB,7345.3 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13243.4 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,1,1692264292,191853,node,0:10.41,3042712.0,450640.0,25404.0,800.0,2.8,17.0,2.0,0:10,0.0,33576.0,584188.0,0.0,107k,0.0,450640,288,1,279,8,0,90.7,7.7,0.0,1.7,0.0,0.0,0.0,0.0,15795.0 MiB,6394.6 MiB,2054.8 MiB,7345.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13053.5 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,2,1692264293,191853,node,0:21.84,3160988.0,641440.0,25404.0,674.2,4.0,17.0,2.0,0:21,0.0,33576.0,704124.0,0.0,163k,0.0,641440,288,1,279,8,0,93.0,6.7,0.0,0.3,0.0,0.0,0.0,0.0,15795.0 MiB,6162.0 MiB,2295.4 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12820.9 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,3,1692264295,191853,node,0:34.09,3367320.0,838976.0,25404.0,800.0,5.2,17.0,2.0,0:34,0.0,33576.0,909484.0,0.0,219k,0.0,838976,288,1,279,8,0,90.9,8.7,0.0,0.3,0.0,0.0,0.0,0.0,15795.0 MiB,6008.5 MiB,2448.9 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12667.4 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,4,1692264297,191853,node,0:45.64,3358616.0,837548.0,25404.0,800.0,5.2,17.0,2.0,0:45,0.0,33576.0,900780.0,0.0,257k,0.0,837548,288,1,279,8,0,89.6,9.2,0.0,1.2,0.0,0.0,0.0,0.0,15795.0 MiB,6009.1 MiB,2448.3 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12668.0 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,5,1692264298,191853,node,0:56.65,3442588.0,906224.0,25404.0,800.0,5.6,17.0,2.0,0:56,0.0,33576.0,986108.0,0.0,312k,0.0,906224,288,1,279,8,0,90.0,9.6,0.0,0.4,0.0,0.0,0.0,0.0,15795.0 MiB,5908.1 MiB,2549.3 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12567.0 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,6,1692264300,191853,node,1:07.83,3483544.0,962844.0,25404.0,800.0,6.0,17.0,6.0,1:07,0.0,33576.0,1025884.0,0.0,363k,0.0,962844,288,1,279,8,0,92.1,7.3,0.0,0.7,0.0,0.0,0.0,0.0,15795.0 MiB,5869.2 MiB,2588.2 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12528.1 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,7,1692264301,191853,node,1:20.30,2971820.0,583852.0,25588.0,800.0,3.6,16.0,0.0,1:20,0.0,33576.0,646692.0,0.0,405k,0.0,583852,288,1,279,8,0,90.6,8.9,0.0,0.5,0.0,0.0,0.0,0.0,15795.0 MiB,6172.7 MiB,2284.6 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12831.7 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,8,1692264303,191853,node,1:31.43,3032236.0,644644.0,25588.0,708.7,4.0,16.0,0.0,1:31,0.0,33576.0,707108.0,0.0,454k,0.0,644644,288,1,279,8,0,88.3,10.9,0.0,0.8,0.0,0.0,0.0,0.0,15795.0 MiB,6178.4 MiB,2278.9 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12837.4 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,9,1692264304,191853,node,1:42.18,3025064.0,636356.0,25588.0,747.8,3.9,16.0,0.0,1:42,0.0,33576.0,698916.0,0.0,495k,0.0,636356,288,1,279,8,0,89.3,10.7,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,6198.8 MiB,2258.5 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12857.8 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,10,1692264306,191853,node,1:52.87,2617308.0,626276.0,25588.0,552.0,3.9,13.0,7.0,1:52,0.0,33576.0,686744.0,0.0,545k,0.0,626276,288,1,279,8,0,77.2,11.8,0.0,11.0,0.0,0.0,0.0,0.0,15795.0 MiB,6199.7 MiB,2257.6 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12858.7 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,11,1692264307,191853,node,2:00.34,1881412.0,419912.0,25588.0,412.5,2.6,9.0,7.0,2:00,0.0,33576.0,478416.0,0.0,787k,0.0,419400,288,1,279,8,0,40.1,11.3,0.0,48.6,0.0,0.0,0.0,0.0,15795.0 MiB,6346.5 MiB,2110.8 MiB,7337.6 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13005.5 MiB,
11.15.0,2019-04-30,binaryTrees_1_original.js 21,12,1692264308,191853,node,2:05.78,2024772.0,563760.0,25588.0,529.4,3.5,9.0,7.0,2:05,0.0,33576.0,620540.0,0.0,1.2m,0.0,563760,288,1,279,8,0,50.6,10.7,0.0,38.1,0.0,0.0,0.6,0.0,15795.0 MiB,6263.5 MiB,2193.8 MiB,7337.7 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12922.5 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,0,1692264849,192718,node,0:00.59,657604.0,137476.0,27392.0,356.2,0.8,7.0,6.0,0:00,0.0,39636.0,153864.0,0.0,28k,0.0,137476,288,2,278,8,0,43.1,9.0,0.0,47.2,0.7,0.0,0.0,0.0,15795.0 MiB,6691.9 MiB,1754.1 MiB,7349.0 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13354.2 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,1,1692264850,192718,node,0:09.53,3022304.0,437384.0,27888.0,745.5,2.7,17.0,3.0,0:09,0.0,39636.0,566784.0,0.0,102k,0.0,437384,288,1,279,8,0,87.8,8.0,0.0,4.2,0.0,0.0,0.0,0.0,15795.0 MiB,6392.9 MiB,2053.0 MiB,7349.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13055.3 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,2,1692264851,192718,node,0:20.97,3115232.0,594976.0,27888.0,689.7,3.7,17.0,3.0,0:20,0.0,39636.0,661876.0,0.0,140k,0.0,594976,288,2,278,8,0,94.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,6238.3 MiB,2215.5 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12900.8 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,3,1692264853,192718,node,0:32.61,3391200.0,877644.0,27888.0,800.0,5.4,17.0,3.0,0:32,0.0,39636.0,942832.0,0.0,213k,0.0,877644,288,1,279,8,0,90.1,9.2,0.0,0.7,0.0,0.0,0.0,0.0,15795.0 MiB,5967.6 MiB,2486.2 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12630.1 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,4,1692264854,192718,node,0:43.88,3505628.0,991116.0,27888.0,800.0,6.1,17.0,3.0,0:43,0.0,39636.0,1059924.0,0.0,261k,0.0,991116,288,1,279,8,0,92.8,6.8,0.0,0.4,0.0,0.0,0.0,0.0,15795.0 MiB,5839.4 MiB,2614.4 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12501.9 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,5,1692264856,192718,node,0:56.39,3541984.0,1000000.0,27888.0,800.0,6.4,17.0,3.0,0:56,0.0,39636.0,1099016.0,0.0,310k,0.0,1.0g,288,1,279,8,0,90.2,8.6,0.0,1.2,0.0,0.0,0.0,0.0,15795.0 MiB,5806.2 MiB,2647.6 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12468.7 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,6,1692264857,192718,node,1:08.04,3592080.0,1000000.0,27888.0,586.7,6.5,17.0,1.0,1:08,0.0,39636.0,1119876.0,0.0,366k,0.0,1.0g,288,1,279,8,0,89.1,9.5,0.0,1.0,0.0,0.0,0.3,0.0,15795.0 MiB,5714.2 MiB,2739.6 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12376.7 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,7,1692264859,192718,node,1:18.65,3345640.0,969168.0,28140.0,704.3,6.0,16.0,7.0,1:18,0.0,39636.0,1039740.0,0.0,413k,0.0,969168,288,1,279,8,0,88.2,10.1,0.0,1.7,0.0,0.0,0.0,0.0,15795.0 MiB,5861.3 MiB,2592.5 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12523.8 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,8,1692264860,192718,node,1:30.22,3005160.0,629928.0,28140.0,800.0,3.9,16.0,7.0,1:30,0.0,39636.0,698924.0,0.0,435k,0.0,629928,288,1,279,8,0,92.8,6.9,0.0,0.4,0.0,0.0,0.0,0.0,15795.0 MiB,6203.2 MiB,2250.7 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12865.6 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,9,1692264862,192718,node,1:40.47,2478348.0,626056.0,28140.0,720.0,3.9,12.0,1.0,1:40,0.0,39636.0,693592.0,0.0,506k,0.0,626056,288,1,279,8,0,71.9,14.5,0.0,13.6,0.0,0.0,0.0,0.0,15795.0 MiB,6176.2 MiB,2277.6 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12838.7 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,10,1692264863,192718,node,1:46.12,2055456.0,604268.0,28140.0,358.8,3.7,9.0,6.0,1:46,0.0,39636.0,669576.0,0.0,887k,0.0,604268,288,1,279,8,0,40.1,9.9,0.0,50.0,0.0,0.0,0.0,0.0,15795.0 MiB,6200.5 MiB,2253.4 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12862.9 MiB,
12.22.12,2022-04-05,binaryTrees_1_original.js 21,11,1692264864,192718,node,1:49.93,1696296.0,376804.0,28140.0,268.8,2.3,8.0,5.0,1:49,0.0,39636.0,442712.0,0.0,1.4m,0.0,376804,288,1,279,8,0,25.8,11.4,0.0,62.9,0.0,0.0,0.0,0.0,15795.0 MiB,6427.0 MiB,2026.9 MiB,7341.1 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13089.4 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,0,1692265420,193530,node,0:00.44,2528556.0,236732.0,27744.0,268.8,1.5,17.0,2.0,0:00,0.0,63752.0,300892.0,0.0,52k,0.0,236732,288,1,279,8,0,29.7,7.0,0.0,63.3,0.0,0.0,0.0,0.0,15795.0 MiB,6571.7 MiB,1873.0 MiB,7350.2 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13235.4 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,1,1692265422,193530,node,0:10.10,3059872.0,460344.0,27804.0,800.0,2.8,17.0,5.0,0:10,0.0,63752.0,580996.0,0.0,107k,0.0,460344,288,1,279,8,0,88.6,7.3,0.0,4.1,0.0,0.0,0.0,0.0,15795.0 MiB,6377.6 MiB,2067.0 MiB,7350.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,13041.3 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,2,1692265423,193530,node,0:21.78,3147676.0,585180.0,27804.0,800.0,3.6,17.0,5.0,0:21,0.0,63752.0,670004.0,0.0,141k,0.0,585180,288,1,279,8,0,88.3,8.3,0.0,3.4,0.0,0.0,0.0,0.0,15795.0 MiB,6234.3 MiB,2218.2 MiB,7342.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12898.1 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,3,1692265425,193530,node,0:32.32,3269788.0,729908.0,27804.0,781.8,4.5,17.0,5.0,0:32,0.0,63752.0,796432.0,0.0,208k,0.0,729908,288,1,279,8,0,88.0,9.8,0.0,2.1,0.0,0.0,0.0,0.0,15795.0 MiB,6092.8 MiB,2359.7 MiB,7342.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12756.6 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,4,1692265426,193530,node,0:44.56,3467680.0,930664.0,27804.0,643.8,5.8,17.0,5.0,0:44,0.0,63752.0,998012.0,0.0,257k,0.0,930664,288,1,279,8,0,94.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,5900.2 MiB,2552.4 MiB,7342.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12563.9 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,5,1692265428,193530,node,0:56.40,3526812.0,987436.0,27804.0,800.0,6.1,17.0,5.0,0:56,0.0,63752.0,1058420.0,0.0,304k,0.0,987436,288,1,279,8,0,87.5,10.7,0.0,1.8,0.0,0.0,0.0,0.0,15795.0 MiB,5857.6 MiB,2594.9 MiB,7342.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12521.3 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,6,1692265429,193530,node,1:07.31,3663008.0,1100000.0,27804.0,747.8,7.0,17.0,5.0,1:07,0.0,63752.0,1200028.0,0.0,368k,0.0,1.1g,288,1,279,8,0,87.2,11.5,0.0,1.2,0.0,0.0,0.0,0.0,15795.0 MiB,5704.2 MiB,2748.3 MiB,7342.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12367.9 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,7,1692265431,193530,node,1:18.43,3504464.0,946288.0,27804.0,800.0,5.9,17.0,5.0,1:18,0.0,63752.0,1011444.0,0.0,418k,0.0,946288,288,1,279,8,0,86.5,12.8,0.0,0.7,0.0,0.0,0.0,0.0,15795.0 MiB,5803.5 MiB,2649.0 MiB,7342.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12467.3 MiB,
13.14.0,2020-04-29,binaryTrees_1_original.js 21,8,1692265432,193530,node,1:28.57,2351460.0,486988.0,27992.0,576.2,3.0,12.0,0.0,1:28,0.0,63752.0,548988.0,0.0,466k,0.0,486988,288,1,279,8,0,65.4,14.5,0.0,20.1,0.0,0.0,0.0,0.0,15795.0 MiB,6278.4 MiB,2174.1 MiB,7342.4 MiB,4096.0 MiB,3998.5 MiB,97.5 MiB,12942.2 MiB,
