test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.7.16,nbody.py 50000,459147433,0.98,0.46,0.53,0.19,0.09,0.03,6.97,2.87,0.00,0.04,2.03,459147433 ns,1616817671,3.536 GHz,4574333613,2.73,457.17 msec,0.996,1618479437,3.540 GHz,13,793380685,10053120,457.24 msec,0.996,1072 C,862395279,6612340,0.77%,0,714138977,8695,8695,0,283864,18759,6.608,1551496937,411310,0.03%,33925,911,2.69%,626371,1552625421,26,0.00%,19518,619,3.17%,0,0
2,Python 3.7.16,nbody.py 50000,490564087,0.99,0.38,0.57,0.24,0.08,0.13,6.56,2.65,0.00,0.05,1.96,490564087 ns,1642702010,3.347 GHz,4649409906,2.74,490.84 msec,1.001,1642895065,3.347 GHz,44,836228347,10585036,490.89 msec,1.001,775 C,871497987,6981410,0.80%,0,701092283,8689,8689,0,4328262,872056,20.148,1568582385,350259,0.02%,15582,1790,11.49%,158362,1567653228,222,0.00%,17075,1900,11.13%,0,0
3,Python 3.7.16,nbody.py 50000,470348697,0.99,0.41,0.55,0.26,0.09,0.03,6.98,2.87,0.00,0.04,1.98,470348697 ns,1619287536,3.461 GHz,4618178768,2.76,467.80 msec,0.995,1615359897,3.453 GHz,4,822940564,10417179,467.88 msec,0.995,1048 C,862231668,6373128,0.74%,0,693457221,8698,8698,0,188971,30528,16.155,1542365268,260474,0.02%,13220,382,2.89%,144852,1556068885,218,0.00%,23691,1001,4.23%,0,0
4,Python 3.7.16,nbody.py 50000,487783313,0.99,0.38,0.58,0.23,0.09,0.12,6.85,2.80,0.00,0.05,1.97,487783313 ns,1637006841,3.354 GHz,4668108844,2.76,487.99 msec,1.000,1634202113,3.349 GHz,40,831966510,10531141,488.04 msec,1.001,828 C,872914598,6585805,0.75%,0,700554299,8684,8684,0,4347474,885089,20.359,1567151358,399910,0.03%,22943,868,3.78%,172883,1565130596,73,0.00%,31961,766,2.40%,0,0
5,Python 3.7.16,nbody.py 50000,466826792,0.99,0.46,0.52,0.20,0.09,0.04,6.92,2.78,0.00,0.12,2.02,466826792 ns,1639027424,3.528 GHz,4609746290,2.72,464.62 msec,0.995,1647964098,3.547 GHz,12,807933966,10241684,464.64 msec,0.995,1028 C,874066450,6558150,0.75%,0,717026173,8665,8665,0,232989,84703,36.355,1566282408,462435,0.03%,16075,2619,16.29%,127738,1578144740,72,0.00%,12997,54176,416.83%,0,0
6,Python 3.7.16,nbody.py 50000,483809025,0.99,0.43,0.51,0.24,0.09,0.04,6.96,2.84,0.00,0.06,2.00,483809025 ns,1654703301,3.417 GHz,4680240632,2.72,484.18 msec,1.001,1654249007,3.416 GHz,33,824272435,10450986,484.23 msec,1.001,813 C,874663050,6571429,0.75%,0,707957060,8660,8660,0,161562,21829,13.511,1575620882,547217,0.03%,18179,182,1.00%,190800,1444006833,768,0.00%,17915,1548,8.64%,0,0
7,Python 3.7.16,nbody.py 50000,473365439,0.98,0.46,0.52,0.20,0.09,0.04,6.96,2.84,0.00,0.07,1.96,473365439 ns,1629592328,3.458 GHz,4625589878,2.74,471.30 msec,0.996,1627037864,3.452 GHz,5,828080198,10487541,471.33 msec,0.996,1017 C,864649044,6709177,0.78%,0,696433408,8685,8685,0,191649,25223,13.161,1552492444,462695,0.03%,17072,256,1.50%,140482,1557430158,39037,0.00%,32588,57030,175.00%,0,0
8,Python 3.7.16,nbody.py 50000,487056252,0.99,0.38,0.58,0.22,0.09,0.11,6.98,2.87,0.00,0.04,1.97,487056252 ns,1639572250,3.364 GHz,4637607780,2.75,487.40 msec,1.001,1636442084,3.357 GHz,37,832708786,10541520,487.45 msec,1.001,801 C,874487106,6628611,0.76%,0,698945795,8670,8670,0,4379731,963321,21.995,1565666954,306386,0.02%,15104,755,5.00%,158100,1570190069,147,0.00%,24239,52857,218.07%,0,0
9,Python 3.7.16,nbody.py 50000,457074679,0.99,0.44,0.53,0.22,0.09,0.03,6.94,2.83,0.00,0.04,2.05,457074679 ns,1631114997,3.585 GHz,4590930148,2.74,454.98 msec,0.995,1634989596,3.593 GHz,8,793041424,10027339,454.99 msec,0.995,1024 C,857243876,6778533,0.79%,0,707022654,8670,8670,0,345095,61162,17.723,1559983098,334045,0.02%,11455,141,1.23%,143705,1574249774,167,0.00%,52114,29727,57.04%,0,0
10,Python 3.7.16,nbody.py 50000,498701922,0.99,0.44,0.49,0.24,0.10,0.03,6.77,2.62,0.00,0.14,1.97,498701922 ns,1682448151,3.372 GHz,4557858961,2.61,498.91 msec,1.000,1684682111,3.377 GHz,45,851240919,10773836,498.96 msec,1.001,799 C,866666198,7652634,0.88%,0,717161108,8690,8690,0,4009781,807579,20.140,1553116215,2499679,0.16%,14502,776,5.35%,226141,1580030660,208,0.00%,28947,498907,1723.52%,0,0
