version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
v0.8.28,binaryTrees_7.js 21,0.99,0.43,0.55,0.15,0.02,0.28,6.86,2.31,0.05,5.54,2.02,22355156934.30,84912890847.40,3.79,194772714896.50,2.29,22489.35,1.01,84990172724.10,3.79,30.10,42158265666.10,533559903.70,22496.90,1.01,35.40,36754994499.60,50061258.20,0.14,0.00,29618392462.90,1161205.60,1161205.60,0.00,3937410286.80,2234680902.10,56.76,52105757596.60,1942172513.10,3.73,224015660.70,108095886.90,48.25,52051548.70,51997752298.70,19052895.90,0.04,191527.10,1013504.30,832.40,0.00,0.00
v0.10.48,binaryTrees_7.js 21,1.00,0.46,0.53,0.12,0.03,0.31,6.83,2.17,0.05,4.81,1.91,26089539140.10,93735396459.70,3.59,203738927504.40,2.17,26248.54,1.01,93865658769.50,3.59,27.70,49490011743.20,626223438.70,26257.31,1.01,48.60,36028774280.50,76050074.80,0.21,3.20,33915054419.20,1121318.10,1121318.10,0.00,4050641309.70,2222831064.40,54.88,60192400189.90,1974396683.90,3.28,228497595.70,110429468.40,48.33,59301108.40,60407362414.00,20835811.90,0.03,178181.10,834797.90,494.15,0.00,0.00
v0.12.18,binaryTrees_7.js 21,1.00,0.46,0.58,0.12,0.04,0.26,7.01,2.20,0.22,3.72,1.89,23967146158.20,88110632287.90,3.55,193646744357.60,2.20,24931.43,1.04,88189350806.60,3.55,9.30,46940769677.50,594495039.00,24931.59,1.04,141.10,32068060609.80,76242711.90,0.24,70.30,36294757971.10,5976172.00,5976172.00,0.00,2394680642.20,1463652351.10,61.12,48347456912.90,1382089506.90,2.86,162533336.90,48018712.80,29.52,105883403.60,48181410994.90,12658484.40,0.03,119331.40,9764072.30,10144.31,0.00,0.00
v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.57,0.14,0.04,0.25,6.84,2.23,0.25,4.02,1.83,22228905930.90,77961719811.80,3.43,174584181842.10,2.24,22837.06,1.03,78038188472.40,3.43,11.30,42940311718.60,543511451.60,22837.20,1.03,176.10,30990634729.10,72010752.20,0.23,61.20,30486819581.10,5965291.90,5965291.90,0.00,2395988797.40,1467285382.70,61.23,41666712184.30,1391336461.40,3.34,145218413.50,47793118.80,32.90,100652470.30,41619762568.70,13075454.50,0.03,134992.00,10078130.50,11184.93,0.00,0.00
v2.5.0,binaryTrees_7.js 21,1.00,0.47,0.54,0.13,0.03,0.29,6.71,2.12,0.21,3.50,1.83,25459560225.80,89382490766.00,3.44,189014873781.50,2.11,26074.36,1.02,89389494893.00,3.44,7.20,49042667839.20,620570854.50,26074.49,1.02,180.90,31776822520.90,73753955.80,0.23,30.50,31812184041.30,5964600.60,5964600.60,0.00,2347614043.00,1450910618.20,61.81,43779868482.20,1387134530.60,3.17,181073135.70,81211748.40,44.82,119002312.90,43748409726.30,13323162.80,0.03,101212.40,10423913.70,20818.04,0.00,0.00
v3.3.1,binaryTrees_7.js 21,1.00,0.49,0.52,0.18,0.03,0.27,6.59,2.06,0.22,3.75,1.83,23488552178.50,82465201420.10,3.43,168980862842.20,2.04,24082.55,1.03,82362227568.60,3.43,4.40,44959928538.30,568801373.40,24082.65,1.03,142.60,28861026328.70,50036652.20,0.17,32.50,29609053728.40,5985521.10,5985521.10,0.00,2294623543.40,1419160345.00,61.85,38317234671.40,1371113822.30,3.58,167836629.70,68717423.60,40.92,123464929.20,38247731281.90,12063683.30,0.03,123830.60,8646006.80,18967.65,0.00,0.00
v4.9.1,binaryTrees_7.js 21,1.00,0.47,0.54,0.20,0.03,0.23,6.48,2.11,0.25,4.03,1.83,21597109281.60,74938687805.90,3.40,158925092684.90,2.10,22134.79,1.02,75001605173.70,3.40,6.10,41260099800.90,522712749.50,22134.88,1.02,175.80,27077313367.20,51496885.40,0.19,43.90,27091738951.70,5994724.80,5994724.80,0.00,2397190531.30,1472642156.50,61.43,35691489838.10,1388476857.60,3.89,148376853.00,47494255.30,31.95,102827853.40,35904518633.00,12389055.40,0.03,168748.70,8939372.20,7444.18,0.00,0.00
v5.12.0,binaryTrees_7.js 21,1.00,0.47,0.54,0.19,0.03,0.25,6.47,2.10,0.25,4.12,1.83,21803882042.10,76664185013.70,3.43,161225893333.10,2.10,22435.49,1.03,76710369624.40,3.43,12.40,42115029843.70,532927248.10,22435.66,1.03,152.50,27379435611.00,46965466.70,0.17,11.50,27641593506.80,5959405.40,5959405.40,0.00,2407998805.70,1478356056.10,61.39,35790663765.70,1391427865.70,3.89,153950176.20,49532568.10,32.16,110121240.20,35940143422.30,12995204.60,0.04,152292.20,10786862.80,9278.21,0.00,0.00
v6.17.1,binaryTrees_7.js 21,1.00,0.47,0.55,0.17,0.04,0.25,6.52,2.09,0.24,3.86,1.79,23647336595.60,86124134280.20,3.36,180271219138.90,2.09,25700.10,1.09,86191094441.80,3.36,12.10,48227002735.70,609977226.00,25702.33,1.09,184.30,31785994597.60,83015367.40,0.26,10.00,30904586853.60,5930396.70,5930396.70,0.00,2534615119.80,1526189915.40,60.22,42323273628.60,1440332895.70,3.40,167196447.30,51497189.40,30.79,137211644.00,42419308483.90,14702050.80,0.03,263499.30,8685224.30,4639.30,0.00,0.00
v7.10.1,binaryTrees_7.js 21,0.99,0.49,0.54,0.17,0.04,0.25,6.39,2.05,0.23,3.87,1.77,23990066331.40,91810209474.40,3.33,188014644971.80,2.05,27692.00,1.15,91839651281.30,3.33,21.90,51952477860.60,657348837.70,27698.00,1.15,176.40,32903846073.30,105733717.10,0.32,183.90,32190411865.90,6031232.60,6031232.60,0.00,2579302455.20,1543115119.00,59.83,45872557748.10,1460984950.70,3.19,155677304.30,52805564.40,33.91,196817424.20,45682367675.20,13823018.70,0.03,244717.90,9731609.50,4312.17,0.00,1.60
