path,version,release_date,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J,Avg_MHz,Busy%,IPC,IRQ,POLL,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,Totl%C0,Any%C0,GFX%C0,CPUGFX%,time_elapsed_sec,CPU_Utilization,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend,CPI,ILP,IPC_perf,cycles,freq_cycles_GHz,instructions,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,cycles,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,SWAP,CODE,DATA,nMaj,nDRT,USED
binaryTrees_v2_21_original,g++-4.4,2012-03-13,17.725146,317.865,271.99,14.004999999999999,0.21,519.0,12.69,2.39,26765.5,34.0,0.07,0.055,0.025,0.425,0.0,6.505,5.045,74.71000000000001,13.635,0.025,0.66,72.955,87.0,87.0,98.605,101.555,99.11,1.04,1.01,18.059382706,0.99,0.62,0.19,0.03,0.17,286754445776.0,54590908828.96,177199336968.96,8602633373.279999,48706240854.82001,0.41,6.74,2.42,71688611444.0,3.9715,174246555043.5,0.0,2.175,2.12,71688611444.0,174246555043.5,2.43,18057.345,1.0,71686203866.0,3.972,9.5,33894479246.0,428957052.5,18057.370000000003,1.0,10.5,37823351887.0,55199930.5,0.0,30330983858.0,65664.0,65664.0,0.0,805863445.5,301167324.5,37.399,51832392342.5,611154980.0,95622562.0,38226135.5,3930303.0,51626581110.5,3412979.0,259725.5,772369.5,9.53,274923520.0,271605760.0,3100672.0,100.0,1.6,1.0,2.0,0.0,4096.0,268849152.0,0.0,0.0,271605760.0
binaryTrees_v2_21_original,g++-4.6,2013-04-12,17.3409385,304.52,259.79,13.745,0.21,508.5,12.695,2.47,23478.0,24.5,0.06,0.055,0.02,0.38,0.0,6.335,5.66,74.6,13.675,0.02,0.5549999999999999,73.07,89.0,89.5,98.61500000000001,101.565,99.12,1.02,0.995,17.4194779125,0.99,0.62,0.2,0.03,0.15,276024114380.0,55250366439.2,170847841443.32,8280723431.4,41334155187.899994,0.4,6.88,2.5,69006028595.0,3.963,173519521558.0,0.0,2.25,2.115,69006028595.0,173519521558.0,2.5149999999999997,17417.345,1.0,68999989682.5,3.9615,10.5,32663142627.5,413475511.0,17417.370000000003,1.0,9.5,37965710926.5,55952412.0,0.0,30113320236.0,65663.5,65663.5,0.0,806285137.0,300711575.5,37.235,51632644826.0,609902638.5,92483518.5,34575812.0,3430888.5,51939114620.0,3235224.5,204382.5,300063.5,8.36,274923520.0,271532032.0,3018752.0,100.0,1.6,1.0,2.0,0.0,4096.0,268849152.0,0.0,0.0,271532032.0
binaryTrees_v2_21_original,g++-4.7,2014-06-12,17.6216735,305.91499999999996,260.895,13.95,0.21,510.0,12.67,2.4450000000000003,21165.0,27.0,0.05,0.06,0.02,0.275,0.0,5.25,4.75,76.66499999999999,13.445,0.025,0.43,73.46000000000001,88.5,89.0,98.63,101.36,99.25,1.005,0.985,17.5621641165,0.99,0.615,0.22,0.03,0.14,278501373764.0,61388084908.04,170352551429.97998,8237606530.2,39020706421.76,0.4,6.785,2.5,69625343441.0,3.965,173597738081.0,0.0,2.24,2.115,69625343441.0,173597738081.0,2.495,17560.25,1.0,69615182360.0,3.9640000000000004,10.5,32948398370.5,417096222.5,17560.295,1.0,10.5,37926407563.5,54892242.5,0.0,30182971424.5,65664.0,65664.0,0.0,797666616.5,297953963.5,37.527,51756708435.0,609907640.5,95744449.0,36148385.5,3753263.0,51789692625.5,3190883.0,138286.0,360443.5,8.37,274923520.0,271548416.0,3067904.0,100.0,1.6,1.0,3.0,0.0,0.0,268849152.0,0.0,0.0,271548416.0
binaryTrees_v2_21_original,g++-4.8,2015-06-23,17.278999,301.325,256.52,13.74,0.21,512.0,12.695,2.47,18333.5,24.5,0.06,0.035,0.015,0.31,0.0,4.890000000000001,3.425,78.695,13.4,0.015,0.455,73.405,88.0,88.5,98.59,101.61,99.28,1.0350000000000001,1.005,17.598460271,0.99,0.62,0.22,0.02,0.14,277585794910.0,61100493245.44,172258565894.74,5581362446.08,38971948977.64,0.4,6.82,2.505,69396448727.5,3.9635,173589310723.0,0.0,2.2350000000000003,2.105,69396448727.5,173589310723.0,2.51,17596.32,1.0,69375720706.0,3.9635,5.5,33112868814.0,419108035.0,17596.36,1.0,10.0,37745128686.5,53467490.5,0.0,30346046221.0,65664.5,65664.5,0.0,804175916.0,302821476.5,37.048,51860495539.0,609999819.0,95560608.0,37470546.0,4051489.5,51843675531.5,3303336.0,151182.5,403055.5,8.38,274923520.0,271544320.0,3018752.0,100.0,1.6,1.0,3.0,0.0,4096.0,268849152.0,0.0,0.0,271544320.0
binaryTrees_v2_21_original,g++-4.9,2015-06-26,17.258049,297.19,253.06,13.705,0.21,508.5,12.7,2.49,19102.0,26.5,0.06,0.04,0.01,0.28,0.0,5.735,2.595,78.95500000000001,13.42,0.02,0.445,73.34,88.0,89.0,98.63,101.54499999999999,99.28999999999999,1.0150000000000001,0.985,17.663547701,0.99,0.625,0.21,0.025,0.14,274200615292.0,57582129211.31999,170411436853.88,6809385273.72,38369632257.32001,0.39,6.905,2.5549999999999997,68550153823.0,3.8965,174100551318.5,0.005,2.215,2.08,68550153823.0,174100551318.5,2.55,17660.095,1.0,68531558186.5,3.8955,8.5,33042045133.0,418373753.0,17660.15,1.0,9.5,37772989608.5,53880221.5,0.0,30297362624.5,65664.0,65664.0,0.0,807084356.0,299866789.5,37.3615,51735675429.0,609824829.5,97795639.5,38100180.0,3944834.0,51596277614.0,3191793.0,147967.0,339583.5,8.45,274923520.0,271556608.0,3031040.0,100.0,1.6,1.0,4.0,0.0,4096.0,268849152.0,0.0,0.0,271556608.0
binaryTrees_v2_21_original,g++-5,2017-10-10,17.241562000000002,290.78999999999996,246.125,13.715,0.21,504.5,12.71,2.53,21807.5,36.5,0.06,0.04,0.02,0.33499999999999996,0.0,5.890000000000001,4.595,76.04,13.620000000000001,0.02,0.5,73.095,87.5,87.5,98.58500000000001,101.635,99.17500000000001,1.02,1.005,17.278192248,0.99,0.64,0.19,0.03,0.14,271629204764.0,50817464156.54,173452954912.88,8148876142.92,38160861406.92,0.39,6.995,2.58,67907301191.0,3.9455,174739705944.0,0.0,2.28,2.105,67907301191.0,174739705944.0,2.59,17276.25,1.0,67870325445.0,3.9425,8.0,32405896257.5,410263407.5,17276.269999999997,1.0,11.0,37945180615.0,54919152.0,0.0,30174392810.0,65664.0,65664.0,0.0,806526493.5,301550775.5,37.5175,51675676043.0,608694164.0,95846830.5,37690961.0,3724392.0,51705522609.0,4506570.0,148195.0,310647.0,8.37,274923520.0,271552512.0,3018752.0,100.0,1.6,1.0,3.0,0.0,4096.0,268849152.0,0.0,0.0,271552512.0
binaryTrees_v2_21_original,g++-6,2018-10-26,17.5081665,303.32,257.755,13.845,0.21,507.5,12.705,2.52,18744.5,23.0,0.065,0.035,0.015,0.27,0.0,5.025,2.54,78.82,13.43,0.02,0.45,73.37,87.0,88.0,98.56,101.65,99.305,1.01,0.99,17.706062787500002,0.99,0.635,0.21,0.03,0.13,278042629692.0,58148019104.28,176001838704.72,8336513526.299999,36127324449.06,0.39,6.87,2.5549999999999997,69510657423.0,3.9335,178192438703.5,0.0,2.1950000000000003,2.1,69510657423.0,178192438703.5,2.5700000000000003,17703.934999999998,1.0,69532401798.0,3.934,10.0,33089525343.5,418834134.5,17703.955,1.0,11.5,39090007931.5,56187987.0,0.0,30157539210.5,65663.5,65663.5,0.0,811412978.5,302246773.0,37.247,52326569430.5,606880945.5,95313450.5,36808672.5,3752266.0,52398402763.0,4302728.0,137268.5,309072.0,8.955,274923520.0,271593472.0,3067904.0,100.0,1.6,1.0,2.0,0.0,0.0,268849152.0,0.0,0.0,271593472.0
binaryTrees_v2_21_original,g++-7,2019-11-14,18.233047499999998,303.055,256.615,14.34,0.215,501.0,12.715,2.465,20402.5,32.0,0.09,0.055,0.02,0.32499999999999996,0.0,5.865,3.5700000000000003,77.285,13.61,0.02,0.495,73.19999999999999,85.5,87.0,98.62,101.84,99.21000000000001,1.0150000000000001,0.99,18.366253751000002,0.99,0.62,0.22,0.03,0.13,284340236690.0,62818191763.36,176317049335.56,8469205082.94,36969703892.94,0.4,6.725,2.51,71085059172.5,3.8875,177822443127.5,0.0,2.13,2.08,71085059172.5,177822443127.5,2.5,18363.225,1.0,71059973982.0,3.8875,5.5,34363545009.0,435044540.0,18363.28,1.0,11.5,38975342605.0,55640240.0,0.0,30326278732.5,65664.0,65664.0,0.0,807166116.0,303976718.0,37.852000000000004,52314615874.5,610559203.5,96985284.0,38147576.0,3536210.5,52463322556.0,3880634.5,148066.0,333319.0,9.54,274923520.0,271556608.0,3031040.0,100.0,1.6,1.0,3.0,0.0,0.0,268849152.0,0.0,0.0,271556608.0
binaryTrees_v2_21_original,g++-8,2021-05-14,18.1623405,300.745,254.52,14.28,0.21,499.0,12.715,2.4850000000000003,20147.0,29.5,0.11,0.04,0.025,0.26,0.0,5.765000000000001,2.92,78.36500000000001,13.66,0.025,0.42,73.2,87.0,86.5,98.58,101.71000000000001,99.215,0.99,0.985,17.835216532,0.99,0.62,0.21,0.03,0.14,282217376834.0,59265649135.14,176211652987.36,8466521305.0199995,39510432756.76,0.4,6.81,2.5300000000000002,70554344208.5,3.963,178054014839.0,0.0,2.1799999999999997,2.115,70554344208.5,178054014839.0,2.53,17833.175,1.0,70550550946.0,3.9635,7.0,33478085975.5,423775764.5,17833.195,1.0,12.0,39140651451.5,55915566.0,0.0,30382188059.0,65664.0,65664.0,0.0,815804125.0,306372392.0,37.6865,52339954721.5,610786615.5,99799133.0,39547473.5,3680333.0,52316088001.5,3165327.5,120112.5,317039.5,9.54,274923520.0,271577088.0,3051520.0,100.0,1.6,1.0,2.0,0.0,4096.0,268849152.0,0.0,0.0,271577088.0
binaryTrees_v2_21_original,g++-9,2022-05-27,18.967049,306.025,256.67,14.774999999999999,0.22,491.5,12.705,2.465,27719.0,26.5,0.05,0.05,0.03,0.4,0.0,6.855,4.98,74.58500000000001,13.71,0.03,0.555,72.97999999999999,87.0,87.5,98.64500000000001,101.765,99.215,1.005,0.99,18.42246488,0.99,0.62,0.23,0.02,0.13,290097119236.0,66526467733.32001,180211618667.12,5812143880.56,37712625500.68,0.4,6.56,2.5149999999999997,72524279809.0,3.947,181828792699.5,0.005,2.12,2.11,72524279809.0,181828792699.5,2.51,18420.195,1.0,72512394811.0,3.9465000000000003,6.5,34447783530.0,435992303.5,18420.225,1.0,12.0,39039735000.0,54761531.0,0.0,30275325268.5,65664.0,65664.0,0.0,810344597.0,299535985.0,37.272,52273000081.0,610916101.0,99707297.5,39227010.0,3942025.0,52399372417.0,3300041.0,141004.0,333062.5,9.54,274923520.0,271527936.0,3008512.0,100.0,1.6,1.0,3.0,0.0,4096.0,268849152.0,0.0,0.0,271527936.0
