,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
ref_cycles,0.9997883417678536,0.9110003139218272,0.8971847054218649,0.8874218813004131,0.7902479602816334
bus_cycles,0.9997872188614307,0.9110667107401562,0.8972617887289595,0.8873064173470795,0.7899999727838445
time_elapsed_sec,0.9997676013421545,0.9107100761940987,0.8968935317578399,0.8875302960727262,0.790369495020867
task_clock_msec,0.9997674539470894,0.9107338167633281,0.8969197280562855,0.8874984086011589,0.7903539655053707
cpu_clock_msec,0.999767409400913,0.910732725975876,0.8969184980634055,0.8874988506614476,0.7903559998206711
cpu_cycles,0.9997356266098748,0.9215441943697119,0.908327364594822,0.8740883302742771,0.780852096202243
cycles,0.9995617716769163,0.9252925292293356,0.9123431491893971,0.8692885787332848,0.7772180636634302
Pkg_J,0.9167222989744138,,0.9992935872398606,,
Cor_J,0.9031740775295164,0.9992935872398606,,,
RAM_J,0.880273911510794,,,,0.8660247613998044
IRQ,0.8708840427079658,0.8856080696500103,0.8787067614169236,,
C10%,0.8629389228353519,0.7807267478224661,0.7638941029073152,0.7861275533045162,0.7787987449815218
branch_misses,0.8606569365611751,,,0.9409499024403308,0.8203677701956278
branches,0.8600447486869552,,,0.9895251079505926,0.8611029514701216
time,0.8195497494819571,0.8070741659792134,0.8045743636848584,,
Frontend_Bound,0.7929828531689993,,,0.8466447213691367,0.7454517635268364
GFX_J,0.7872882761416111,,,0.8660247613998044,
Bad_Speculation,0.7667738474221144,,,0.9490568983561005,0.8003607126459397
iTLB_loads,0.7045952431027275,,,0.8279548387678484,
CPU%c7,0.7040542986980647,,,0.7514246685485216,0.7340137395686361
L1_icache_load_misses,0.7001598620941583,,,0.94757527065677,0.7976278913910223
C3%,-0.7213207656781864,,,-0.8517777480235168,-0.7088406359349239
ILP,-0.7236458840199527,,,-0.9293196165045747,-0.8397016219440013
C6%,-0.7379767298204154,,,-0.8082918062643543,-0.8104240271750118
CPU%c1,-0.7523388939228222,,,-0.8702708493108839,-0.8320366831807076
C8%,-0.8244214633236243,-0.7964775898738637,-0.7847099439828304,,
time_elapsed,,0.9167222989744138,0.9031740775295164,0.880273911510794,0.7872882761416111
cache_misses,,,,0.9435045108943872,0.7892645699403876
cache_references,,,,0.9406004079095424,0.8030310681552612
L1_dcache_load_misses,,,,0.9372493829966544,0.79511512546256
percent_mem,,,,0.9372074445912942,0.7881398182474101
DATA,,,,0.9320576127747664,0.7839304572429917
virt,,,,0.9320479816024829,0.7839172660417884
USED,,,,0.9320064000307972,0.7841978152250417
res,,,,0.9319665238512245,0.7841675220900849
page_faults,,,,0.931610525051374,0.7849219250633162
LLC_loads,,,,0.9265254583182698,0.7859643231739626
shr,,,,0.9243230001657352,0.7774840766516345
CPI,,,,0.9116114940275568,0.7902301501371944
dTLB_load_misses,,,,0.9008255269149041,0.7628262774430881
percent_cache_misses,,,,0.8986096562200544,
cpu_thermal_margin_C,,,,0.8973849010672283,0.7378197434476926
LLC_load_misses,,,,0.8796455534598474,0.7133359750471433
Kernel_Utilization,,,,0.853657393779424,
L1D_Cache_Fill_BW,,,,0.8413260634744412,
GFX%C0,,,,0.8380869384925511,0.8132067673420647
CPUGFX%,,,,0.8378012003064462,0.8115707033340155
L1_dcache_loads,,,,-0.7356242061392647,
dTLB_loads,,,,-0.7376554933513245,
C9%,,,,-0.7829228072441126,-0.7496314394440788
freq_cpu_cycles_GHz,,,,-0.8319846598063062,
C1E%,,,,-0.8554493449712551,-0.8256911917578418
freq_cycles_GHz,,,,-0.855823187596071,
Turbo_Utilization,,,,-0.8766805971992749,-0.7121941246384816
IPC,,,,-0.8859763853579059,-0.775651266134324
IPC_perf,,,,-0.8861240925366072,-0.7730969441891508
insn_per_cycle,,,,-0.8873055382656241,-0.776443543184629
Retiring,,,,-0.8962659013343137,-0.7837133225745557
C1%,,,,-0.9118587919939496,-0.8111619820768189
CoreTmp,,,,-0.9264920415909582,-0.7714383835320977
PkgTmp,,,,-0.9301417018099891,-0.7781696342882414
Any%C0,,,,,0.7530214024638697
