,time_elapsed_sec
task_clock_msec,0.9999999993365051
cpu_clock_msec,0.9999999993229791
bus_cycles,0.9999933365448145
ref_cycles,0.9999933042526149
cycles,0.9970412176211692
cpu_cycles,0.9970374197147127
mem_stores,0.9958663944735666
SlotsRetired,0.995629996202197
dTLB_loads,0.9948910786152808
L1_dcache_loads,0.9948792001442668
instructions,0.9924570738463779
SlotsIssued+RecoveryBubbles,0.9659304919220865
branch_misses,0.9565015601575914
branches,0.937810306898965
SlotsBackend,0.920653043318271
FetchBubbles,0.8767597005332457
