python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,fibonacci.py 4300,0.0612852,1327.6,1686762539.316278,0.00,0.00,1338.90,42.44,3164.40,1902.40,0.74,891.20,0.00,228.80,803.30,1198.70,434.10,251.10,5.50,10.20,0.00,0.00,0.80,9.79,21.95,12.88,12.63,0.06,0.90,0.00,0.00,46.57,5.55,5.26,0.18,62.20,63.40,84.53,300.00,300.00,247.55,99.85,15.06,15.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.99,0.01,0.09,0.00,0.00
Python 2.7.18,fibonacci.py 4300,0.0722451,1389,1686762540.680019,0.00,0.00,1585.60,51.19,3114.40,1901.00,0.77,1030.90,0.00,15.20,1174.70,918.60,254.80,193.10,0.20,28.60,0.00,0.00,0.04,8.39,12.69,7.12,11.89,0.02,9.05,0.00,0.00,33.94,3.91,8.34,2.62,66.80,67.30,69.47,300.00,300.00,279.44,99.61,29.82,29.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,1.31,0.03,0.13,0.00,0.00
Python 3.0.1,fibonacci.py 4300,0.0572766,1340.4,1686762541.711794,0.00,0.00,722.60,21.19,3433.40,1899.00,0.96,373.60,0.00,4.60,445.40,248.60,120.00,216.70,0.20,95.40,0.00,0.00,0.02,8.39,5.87,5.55,21.91,0.05,37.27,0.00,0.00,34.24,11.07,19.55,13.94,67.70,68.80,83.93,300.00,300.00,150.47,99.08,15.46,15.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.72,0.01,0.06,0.00,0.00
Python 3.4.10,fibonacci.py 4300,0.0560052,1197.8,1686762542.727250,0.00,0.00,669.90,18.55,3501.20,1942.50,0.95,348.80,0.00,1.50,399.90,221.70,118.70,195.90,0.00,99.60,0.00,1.40,0.01,7.76,5.76,5.76,21.20,0.00,42.02,0.00,0.82,32.13,9.12,19.91,20.28,69.50,70.20,87.85,300.00,300.00,137.72,99.40,14.48,14.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.72,0.01,0.06,0.00,0.00
Python 3.5.10,fibonacci.py 4300,0.0656419,1265.7,1686762543.878351,0.00,0.00,588.50,18.84,3121.20,1916.20,0.97,366.50,0.00,2.00,346.70,230.70,125.20,236.80,0.20,116.70,0.00,5.60,0.01,6.53,6.42,5.34,21.66,0.01,40.92,0.00,1.28,32.43,9.53,20.61,18.60,67.60,68.10,89.44,300.00,295.00,138.76,99.55,11.31,11.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.61,0.01,0.06,0.00,0.00
Python 3.6.15,fibonacci.py 4300,0.0576078,1189.2,1686762544.891499,0.00,0.00,702.90,20.21,3458.10,1915.40,0.98,374.80,0.00,5.10,352.00,224.70,153.10,256.50,0.00,89.10,0.30,5.10,0.01,5.68,6.74,7.12,23.33,0.00,36.21,0.00,1.52,32.57,12.04,18.25,16.93,71.20,72.10,85.94,300.00,300.00,146.40,98.38,14.11,13.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.74,0.01,0.06,0.00,0.00
Python 3.7.16,fibonacci.py 4300,0.0566991,1270.6,1686762545.895487,0.00,0.00,660.90,19.83,3326.00,1899.60,0.98,339.60,0.00,1.20,423.80,227.10,97.80,200.30,0.00,95.00,0.00,1.50,0.00,7.10,5.19,5.22,22.01,0.00,39.95,0.00,1.03,31.34,11.03,20.23,17.57,69.70,70.00,84.19,300.00,300.00,143.44,98.80,14.93,14.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.64,0.01,0.05,0.00,0.00
Python 3.8.16,fibonacci.py 4300,0.0573826,1267.7,1686762546.915067,0.00,0.00,681.60,19.98,3378.10,1932.20,0.92,355.40,0.00,2.00,447.40,279.40,123.80,225.50,0.00,98.40,0.00,1.30,0.01,7.82,6.93,5.62,23.63,0.00,37.31,0.00,0.48,33.75,10.64,22.14,13.50,70.10,70.90,86.94,300.00,300.00,143.69,99.21,13.99,13.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.69,0.01,0.06,0.00,0.00
Python 3.9.16,fibonacci.py 4300,0.0614818,1700.7,1686762548.010458,0.00,0.00,742.10,23.45,3188.10,1890.60,0.96,833.40,0.00,2.80,387.80,240.90,112.30,217.50,0.00,91.30,0.00,0.50,0.01,6.39,5.45,5.50,21.97,0.00,36.82,0.00,0.27,30.77,10.18,19.21,16.38,69.50,70.80,85.21,300.00,300.00,157.69,98.51,13.33,13.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.69,0.01,0.06,0.00,0.00
Python 3.10.11,fibonacci.py 4300,0.0652111,1332,1686762549.144008,0.00,0.00,627.10,20.69,3003.50,1897.40,0.96,372.90,0.00,3.40,455.30,276.70,103.30,217.40,0.00,107.80,0.10,3.80,0.01,7.04,6.36,4.53,21.99,0.00,38.49,0.00,1.12,31.62,7.68,21.64,18.37,68.10,68.80,86.40,300.00,300.00,147.40,98.92,12.87,12.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.58,0.01,0.06,0.00,0.00
