test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.8.16,fibonacci_oldVersions.py 507000,29.310281,1534,1686831071.633021,-,-,493,16.71,2949,1896,3.05,54113,0,4635,15429,16826,3076,7716,947,14770,959,14917,0.04,0.82,1.40,0.26,1.29,0.07,10.29,0.38,68.76,17.85,0.49,1.31,63.64,74,74,98.99,300,300,125.00,99.65,0.74,0.74,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.29,247.22,0.13,43.85,0.00,0.00
2,Python 3.8.16,fibonacci_oldVersions.py 507000,28.411266,1402,1686831100.199822,-,-,464,15.13,3068,1896,3.23,54173,0,11503,13695,14540,2675,6421,770,12392,892,12775,0.08,0.79,1.09,0.25,1.14,0.05,9.55,0.36,71.64,16.74,0.43,1.24,66.47,73,73,98.66,300,300,116.33,99.66,0.90,0.90,0.02,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,338.20,242.46,0.17,42.68,0.00,0.00
3,Python 3.8.16,fibonacci_oldVersions.py 507000,27.703432,1344,1686831128.037937,-,-,440,13.87,3174,1896,3.41,29053,0,1487,7054,7267,1337,3518,271,9311,383,11287,0.01,0.51,0.74,0.12,0.73,0.04,8.67,0.26,75.05,15.70,0.29,0.87,69.27,73,73,98.84,300,300,109.31,99.70,0.73,0.73,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.15,240.76,0.12,41.53,0.00,0.00
4,Python 3.8.16,fibonacci_oldVersions.py 507000,27.999121,1364,1686831156.181119,-,-,453,14.49,3126,1896,3.32,34140,0,1757,8262,9208,1661,4347,437,10646,497,11026,0.01,0.50,0.90,0.15,0.83,0.04,9.11,0.32,73.63,16.07,0.28,0.91,68.24,72,72,98.83,300,300,112.72,99.65,0.76,0.75,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.38,241.39,0.12,42.05,0.00,0.00
5,Python 3.8.16,fibonacci_oldVersions.py 507000,27.309957,2403,1686831183.660754,-,-,434,13.52,3206,1896,3.48,24427,0,737,5660,5396,1095,2810,170,8178,268,9393,0.01,0.42,0.65,0.09,0.63,0.03,8.33,0.22,76.09,15.24,0.22,0.79,70.22,73,73,98.81,300,300,107.24,99.70,0.73,0.73,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326.75,238.92,0.12,41.05,0.00,0.00
6,Python 3.8.16,fibonacci_oldVersions.py 507000,27.901106,1593,1686831211.680250,-,-,446,14.11,3159,1896,3.36,148883,0,1308,6478,8770,2238,5074,413,10868,515,11418,0.01,0.45,0.96,0.20,0.94,0.04,9.65,0.43,73.21,16.20,0.40,1.00,68.29,76,76,98.90,300,300,111.32,99.71,0.69,0.69,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.53,241.71,0.12,41.88,0.00,0.00
7,Python 3.8.16,fibonacci_oldVersions.py 507000,27.997744,1455,1686831239.820261,-,-,451,14.44,3123,1896,3.33,44664,0,3197,9701,11346,2172,4867,549,10731,579,11872,0.03,0.58,0.92,0.18,0.88,0.05,8.53,0.37,74.02,16.25,0.36,0.95,67.99,77,78,98.83,300,300,112.82,99.70,0.71,0.71,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.09,240.66,0.12,42.08,0.00,0.00
8,Python 3.8.16,fibonacci_oldVersions.py 507000,27.769163,1366,1686831267.774462,-,-,445,14.14,3149,1896,3.38,37544,0,2511,8384,9815,1675,4314,456,9519,486,11164,0.02,0.54,0.92,0.14,0.84,0.05,8.51,0.30,74.55,16.01,0.32,0.94,68.59,72,73,98.97,300,300,110.85,99.66,0.68,0.68,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.32,239.57,0.12,41.66,0.00,0.00
9,Python 3.8.16,fibonacci_oldVersions.py 507000,27.842527,1374,1686831295.777970,-,-,446,14.17,3147,1896,3.36,36558,0,1703,8481,8818,1666,4424,364,9269,391,10352,0.01,0.50,0.77,0.15,0.93,0.04,7.79,0.29,75.35,15.47,0.39,1.08,68.89,75,75,98.92,300,300,110.19,99.66,0.65,0.65,0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.22,240.81,0.11,41.75,0.00,0.00
10,Python 3.8.16,fibonacci_oldVersions.py 507000,37.444731,7661,1686831333.370595,-,-,847,39.80,2129,1896,1.89,384028,0,18944,28338,38247,7164,12348,2086,15050,2317,16317,0.17,0.99,1.55,0.38,1.35,0.08,6.81,0.23,48.76,13.70,0.36,1.05,45.09,70,70,96.77,317,317,204.19,99.75,2.88,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.05,316.26,0.69,55.37,0.00,0.00
