test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.4.10,fibonacci_oldVersions.py 507000,8.947468,1706,1686829693.101899,-,-,813,34.03,2389,1896,1.36,64808,0,3543,12683,12658,2886,8942,554,13288,546,6029,0.10,1.83,2.61,0.76,6.05,0.10,27.14,0.29,27.23,19.95,0.56,5.80,39.66,68,70,84.19,300,300,194.44,99.75,15.26,15.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.27,72.32,1.71,10.45,0.00,0.00
2,Python 3.4.10,fibonacci_oldVersions.py 507000,173.517588,3591,1686829866.791826,-,-,1736,95.96,1809,1896,1.06,3501437,0,29820,28926,39836,5009,9932,4893,12393,3842,19579,0.06,0.22,0.36,0.06,0.18,0.04,0.61,0.05,2.31,1.81,0.03,0.09,2.11,70,70,100.01,400,300,389.35,99.78,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2074.68,1422.37,0.20,213.26,0.00,0.00
3,Python 3.4.10,fibonacci_oldVersions.py 507000,30.471512,1434,1686829897.437015,-,-,514,18.19,2823,1896,2.86,239099,0,13146,39848,18445,5346,13429,409,22681,402,15238,0.07,1.16,1.33,0.41,2.48,0.04,16.36,0.24,59.81,17.87,0.49,2.37,61.08,69,70,95.65,300,300,130.03,99.71,3.85,3.85,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,363.19,256.06,1.15,46.41,0.00,0.00
4,Python 3.4.10,fibonacci_oldVersions.py 507000,27.889238,1403,1686829925.464692,-,-,437,13.86,3156,1896,3.40,30527,0,2209,9403,8358,1844,4573,213,10403,187,10080,0.02,0.60,0.75,0.16,1.03,0.05,10.14,0.15,73.26,15.64,0.26,1.21,69.04,71,72,99.21,300,300,109.19,99.72,0.35,0.35,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.07,243.84,0.07,41.58,0.00,0.00
5,Python 3.4.10,fibonacci_oldVersions.py 507000,27.204746,1206,1686829952.782585,-,-,428,13.32,3210,1896,3.52,21409,0,719,3979,3601,830,2511,53,7561,142,8523,0.01,0.34,0.49,0.09,0.62,0.01,8.20,0.20,76.72,14.58,0.12,0.79,71.19,81,81,99.27,300,300,105.64,99.77,0.35,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.94,241.81,0.07,40.75,0.00,0.00
6,Python 3.4.10,fibonacci_oldVersions.py 507000,27.409837,1193,1686829980.237348,-,-,426,13.34,3192,1896,3.50,22218,0,880,5551,3665,562,1951,59,7789,152,9377,0.00,0.36,0.49,0.05,0.49,0.02,8.48,0.29,76.46,14.51,0.10,0.67,71.38,72,72,99.14,300,300,105.37,99.74,0.38,0.37,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326.95,242.91,0.08,40.98,0.00,0.00
7,Python 3.4.10,fibonacci_oldVersions.py 507000,27.171223,1192,1686830007.541236,-,-,426,13.26,3211,1896,3.53,21114,0,1567,8388,3770,642,1809,42,6558,105,9644,0.01,0.33,0.51,0.05,0.41,0.01,7.29,0.20,77.93,14.54,0.11,0.56,71.53,82,82,99.30,300,300,105.25,99.78,0.33,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.06,241.53,0.07,40.70,0.00,0.00
8,Python 3.4.10,fibonacci_oldVersions.py 507000,27.258111,1151,1686830034.840489,-,-,429,13.41,3202,1896,3.50,24866,0,879,7069,4524,884,2549,106,7582,149,9569,0.01,0.47,0.53,0.09,0.58,0.02,7.86,0.21,76.81,14.87,0.13,0.69,70.90,82,82,99.29,300,300,106.30,99.78,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.20,242.07,0.07,40.89,0.00,0.00
9,Python 3.4.10,fibonacci_oldVersions.py 507000,27.217130,1153,1686830062.104426,-,-,426,13.29,3207,1896,3.52,20659,0,366,4764,3336,545,1924,43,7311,95,9359,0.00,0.35,0.51,0.05,0.51,0.02,8.13,0.15,76.98,14.71,0.11,0.75,71.14,82,84,99.04,300,300,105.57,99.78,0.49,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.78,242.67,0.10,40.77,0.00,0.00
10,Python 3.4.10,fibonacci_oldVersions.py 507000,27.207873,1205,1686830089.359356,-,-,426,13.24,3219,1896,3.52,22129,0,762,4822,3184,461,1679,21,7448,89,8652,0.00,0.23,0.48,0.04,0.42,0.01,8.67,0.21,76.68,14.30,0.09,0.52,71.84,84,84,98.50,300,300,104.88,99.78,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.56,242.29,0.19,40.76,0.00,0.00
