test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.7.18,binarytrees.py 21,0.045343,1055,1686570509.133555,-,-,630,15.72,4000,1899,0.89,274,0,1,11,47,69,212,0,78,0,1,0.01,0.54,5.89,7.17,32.81,0.00,36.69,0.00,0.28,31.64,17.55,24.96,10.12,64,64,61.75,300,300,124.28,93.29,37.40,34.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.70,0.01,0.05,0.00,0.00
2,Python 2.7.18,binarytrees.py 21,0.044409,1042,1686570509.205446,-,-,599,14.82,4022,1905,0.95,268,0,0,8,47,70,219,0,74,0,0,0.00,0.85,2.73,5.15,32.99,0.00,42.61,0.00,0.00,28.31,14.13,38.12,4.61,62,63,58.55,300,300,122.88,92.71,39.42,35.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.69,0.01,0.05,0.00,0.00
3,Python 2.7.18,binarytrees.py 21,0.050785,1025,1686570509.294777,-,-,1573,41.28,3804,1899,0.68,483,0,5,1824,727,165,70,0,19,0,0,0.03,34.09,13.62,6.21,4.41,0.00,0.84,0.00,0.00,55.65,1.29,1.62,0.16,66,66,86.64,300,300,236.57,99.27,12.87,12.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,1.27,0.01,0.09,0.00,0.00
4,Python 2.7.18,binarytrees.py 21,0.062454,999,1686570509.439300,-,-,1568,54.91,2850,1900,0.64,759,0,23,2369,795,162,115,0,8,0,0,0.07,25.09,11.90,3.15,3.70,0.00,1.57,0.00,0.00,42.89,0.86,0.64,0.71,67,67,81.66,300,300,287.44,99.34,17.63,17.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.63,1.43,0.01,0.11,0.00,0.00
5,Python 2.7.18,binarytrees.py 21,0.043581,1127,1686570509.512305,-,-,553,13.68,4041,1897,1.01,253,0,0,10,38,76,177,0,98,0,2,0.00,1.43,1.87,6.62,25.22,0.00,49.17,0.00,1.15,25.99,17.34,28.44,14.55,65,65,78.02,300,300,110.68,93.06,19.55,17.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.63,0.01,0.03,0.00,0.00
6,Python 2.7.18,binarytrees.py 21,0.042529,1151,1686570509.585127,-,-,564,14.04,4010,1898,1.02,251,0,0,52,91,106,194,0,93,0,0,0.00,1.57,5.15,7.59,24.64,0.00,46.38,0.00,0.00,29.63,16.39,27.51,12.42,63,63,84.65,300,300,111.00,93.41,12.30,11.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.62,0.00,0.03,0.00,0.00
7,Python 2.7.18,binarytrees.py 21,0.042595,1155,1686570509.664222,-,-,533,13.29,4014,1894,1.04,254,0,0,15,40,76,188,0,79,0,0,0.00,2.55,2.26,7.30,26.51,0.00,47.35,0.00,0.00,29.22,17.28,29.56,10.66,62,63,79.82,300,300,107.91,93.44,17.32,16.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.60,0.01,0.03,0.00,0.00
8,Python 2.7.18,binarytrees.py 21,0.041942,1067,1686570509.735352,-,-,537,13.29,4035,1898,1.05,255,0,0,19,35,77,156,0,98,0,0,0.00,2.69,1.56,6.51,22.15,0.00,53.26,0.00,0.00,27.12,19.23,22.02,18.34,62,63,78.68,300,300,107.74,94.33,18.64,17.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.60,0.01,0.03,0.00,0.00
9,Python 2.7.18,binarytrees.py 21,0.042490,1084,1686570509.807590,-,-,536,13.32,4028,1896,1.04,255,0,0,15,61,70,125,0,113,0,6,0.00,1.97,3.37,4.82,17.89,0.00,57.08,0.00,0.90,28.51,15.34,18.69,24.15,66,67,80.02,300,300,107.91,94.00,18.11,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.60,0.01,0.03,0.00,0.00
10,Python 2.7.18,binarytrees.py 21,0.042256,1102,1686570509.878267,-,-,535,13.17,4056,1898,1.05,268,0,0,16,40,83,166,0,98,0,0,0.00,0.60,2.10,7.22,22.84,0.00,53.59,0.00,0.00,24.79,18.19,27.20,16.65,64,64,80.46,300,300,106.95,94.22,17.88,16.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.61,0.01,0.03,0.00,0.00
