test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
1,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.74,0.34,0.18,0.02,0.47,3.18,1.36,0.01,3.84,1.33,108.67346956,1498495786572,2.498,2033416277193,1.36,599976.65,5.521,1498685238475,2.498,770,1130693292398,14315132717,599990.25,5.521,2275.0,400462521667,2231280578,0.56%,0,332087001586,3539774,3539774,0,6917211750,2792574006,40.371,626644705972,6542616793,1.04%,400088247,156792271,39.19%,976384020,626772447349,18823131,0.00%,7236267,228665086,3159.99%,0,1016,9.992,1.7985600000000002,3.3972800000000007,0.19984000000000002,4.69624
2,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.74,0.34,0.17,0.02,0.47,3.16,1.34,0.01,3.27,1.03,124.365966159,1481236651143,1.944,1992510269199,1.34,761991.05,6.127,1481351954279,1.944,79,1438857882283,18216626659,761995.72,6.127,1715.0,390336079894,2286891619,0.59%,4,332023362654,3539696,3539696,0,6428750504,2546737797,39.615,619840537874,6346552366,1.02%,356302482,132475996,37.18%,645669467,619489390540,16167953,0.00%,5332319,228321145,4281.84%,0,227,7.776,1.32192,2.64384,0.15552,3.6547199999999997
3,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.74,0.34,0.17,0.02,0.47,3.16,1.35,0.01,3.59,1.03,123.146251185,1474054566210,1.943,1981496187828,1.34,758574.7,6.16,1474232403599,1.943,50,1432052508211,18128061420,758578.91,6.16,1857.0,387881007200,2234511086,0.58%,8,331970744027,3539747,3539747,0,6854333525,2611501365,38.1,617862466028,6923362218,1.12%,374077088,142007272,37.96%,603688751,617326991389,16415291,0.00%,4454932,226731027,5089.44%,0,362,7.772,1.3212400000000002,2.6424800000000004,0.15544,3.65284
4,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.75,0.34,0.17,0.02,0.47,3.15,1.34,0.01,3.14,1.03,124.324810391,1494266855490,1.947,2002782453584,1.34,767295.47,6.172,1494248345877,1.947,53,1448620301329,18340122742,767299.89,6.172,1815.0,393044409159,2407696215,0.61%,0,331812100104,3539817,3539817,0,6549910759,2556982076,39.038,621704966524,6079080327,0.98%,371858629,141223048,37.98%,760005331,621177604017,16713645,0.00%,8094196,225999139,2792.11%,0,192,7.788,1.3239600000000002,2.6479200000000005,0.15576,3.66036
5,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.75,0.34,0.17,0.02,0.47,3.16,1.34,0.01,3.43,1.03,123.951227687,1478257523094,1.936,1980909695031,1.34,763512.74,6.16,1478102424572,1.936,69,1441506905771,18245429663,763517.08,6.16,1758.0,387813464814,2234373699,0.58%,0,331904060665,3539778,3539778,0,6738509891,2538509675,37.672,617860750845,6631328997,1.07%,378403093,138962082,36.72%,744932420,617606212659,16905939,0.00%,4149005,232439054,5602.28%,0,176,7.744,1.31648,2.63296,0.15488,3.63968
6,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.75,0.33,0.17,0.02,0.47,3.15,1.34,0.01,3.38,1.03,126.521588821,1507513665289,1.948,2021060094977,1.34,773739.23,6.115,1507414538666,1.948,47,1460902521338,18493378651,773743.55,6.116,1855.0,397705702974,2414967221,0.61%,0,332072917484,3539747,3539747,0,6656682571,2563141699,38.505,625486314926,6678450463,1.07%,376937391,140855656,37.37%,612957941,624548593698,19350218,0.00%,4053461,224189806,5530.82%,0,354,7.792,1.32464,2.57136,0.15584,3.6622399999999997
7,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.74,0.34,0.17,0.02,0.47,3.16,1.34,0.01,3.2,1.03,123.751706721,1475084269762,1.94,1980652369788,1.34,760265.95,6.143,1474897434052,1.94,65,1434942205146,18166970855,760269.97,6.144,1768.0,387916032720,2188195828,0.56%,0,331861726423,3539760,3539760,0,6353328967,2562592252,40.335,617735604222,6194334080,1.00%,361287370,139778422,38.69%,600035622,618048902970,16708140,0.00%,2675802,223318560,8345.86%,0,209,7.76,1.3192000000000002,2.6384000000000003,0.1552,3.6471999999999998
8,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.74,0.34,0.17,0.02,0.47,3.15,1.35,0.01,3.37,1.03,123.50846861,1480826658965,1.94,1993157249481,1.35,763402.53,6.181,1481090582858,1.94,61,1441073583625,18244817057,763406.58,6.181,1774.0,390556517076,2127505920,0.54%,4,332107570981,3539771,3539771,0,6749454849,2558542509,37.907,619641231917,6517838023,1.05%,379650555,140082809,36.90%,693155695,619255184464,16356961,0.00%,2071832,227804789,10995.33%,0,210,7.76,1.3192000000000002,2.6384000000000003,0.1552,3.6471999999999998
9,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.74,0.34,0.17,0.02,0.47,3.16,1.35,0.01,3.29,1.03,124.024382943,1479565047026,1.944,1992319424046,1.35,761019.37,6.136,1479409482945,1.944,66,1436886375546,18191606384,761023.65,6.136,1755.0,390347836619,2181268337,0.56%,0,331998425241,3539777,3539777,0,6484954507,2578147550,39.756,620089295793,6395291223,1.03%,360617902,136263244,37.79%,627791890,619349659498,18057601,0.00%,3671025,226198225,6161.72%,0,79,7.776,1.32192,2.64384,0.15552,3.6547199999999997
10,2021-09-04,binaryTrees_21_original,3.6.15,binarytrees.py 21,1.0,0.74,0.34,0.17,0.02,0.47,3.15,1.35,0.01,3.46,1.03,124.713435466,1487987809982,1.941,2001550680072,1.34,766795.78,6.148,1487899159596,1.94,72,1447549402297,18326710150,766800.04,6.148,1784.0,392809805888,2167636990,0.55%,0,331812212008,3539761,3539761,0,6546374351,2544706303,38.872,621967896848,6748555624,1.09%,365483092,138547203,37.91%,618493036,621305469395,17563948,0.00%,2672507,225630581,8442.66%,0,187,7.764,1.3198800000000002,2.6397600000000003,0.15528,3.64908
1,2022-12-06,binaryTrees_21_original,3.7.16,binarytrees.py 21,1.0,0.73,0.34,0.17,0.02,0.47,3.17,1.36,0.01,5.21,1.32,100.512677822,1458824395679,2.486,1988284711547,1.36,586917.62,5.839,1459227372382,2.486,74,1106993578402,14014929316,586920.41,5.839,2264.0,380080872224,2168095366,0.57%,8,330669514007,3532405,3532405,0,6372550926,2498162347,39.202,643341890851,8111733126,1.26%,349746246,127324647,36.40%,475994919,642980951288,15415372,0.00%,6642459,249154040,3750.93%,0,189,9.944,1.6904800000000002,3.3809600000000004,0.19888000000000003,4.67368
