test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.5.10,binarytrees.py 21,63623214,0.99,1.25,0.22,0.29,0.08,0.11,5.20,1.29,0.14,2.16,2.14,63623214 ns,130460019,2.031 GHz,<not,(0.00%),64.22 msec,1.009,<not,(0.00%) ,34,<not,<not,64.27 msec,1.010,2277 C,<not,<not,(0.00%),<not,<not,8737,8737,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,Python 3.5.10,binarytrees.py 21,63844232,0.99,1.25,0.23,0.30,0.18,0.39,,,,,,63844232 ns,75812175,1.179 GHz,<not,(0.00%),64.27 msec,1.007,<not,(0.00%) ,37,<not,<not,64.32 msec,1.007,2227 C,<not,<not,(0.00%),<not,<not,8718,8718,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,Python 3.5.10,binarytrees.py 21,56495871,0.90,1.06,0.27,0.34,0.12,0.28,,,,,,56495871 ns,100279375,1.788 GHz,<not,(0.00%),56.07 msec,0.992,<not,(0.00%) ,13,<not,<not,56.12 msec,0.993,2346 C,<not,<not,(0.00%),<not,<not,8721,8721,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,Python 3.5.10,binarytrees.py 21,57117627,0.89,1.03,0.27,0.34,0.22,,,,,,,57117627 ns,168908540,2.965 GHz,<not,(0.00%),56.94 msec,0.997,<not,(0.00%) ,9,<not,<not,56.99 msec,0.998,2359 C,<not,<not,(0.00%),<not,<not,8736,8736,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,Python 3.5.10,binarytrees.py 21,111487040,0.92,1.13,0.25,0.31,0.09,0.47,2.45,0.67,0.74,1.64,1.53,111487040 ns,123690346,1.154 GHz,70121319,0.60,107.15 msec,0.961,98083353,0.915 GHz,25,<not,<not,107.25 msec,0.962,2229 C,<not,<not,(0.00%),<not,<not,8762,8762,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,Python 3.5.10,binarytrees.py 21,204689418,0.95,1.06,0.24,0.28,0.10,0.41,3.00,0.70,0.70,0.54,0.55,204689418 ns,86798174,0.441 GHz,61846650,0.65,196.63 msec,0.961,102171813,0.519 GHz,30,132494284,1495052,196.80 msec,0.961,2413 C,8628496,233850,2.71%,0,<not,8732,8732,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,Python 3.5.10,binarytrees.py 21,64528999,0.98,1.28,0.22,0.29,0.10,0.26,5.03,1.09,0.25,,,64528999 ns,118517172,1.822 GHz,<not,(0.00%),65.03 msec,1.008,<not,(0.00%) ,33,<not,<not,65.08 msec,1.009,2086 C,<not,<not,(0.00%),<not,<not,8730,8730,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,Python 3.5.10,binarytrees.py 21,64089708,1.00,1.27,0.23,0.29,0.10,0.15,5.02,1.08,0.25,,,64089708 ns,103588052,1.603 GHz,<not,(0.00%),64.59 msec,1.008,<not,(0.00%) ,36,<not,<not,64.65 msec,1.009,2107 C,<not,<not,(0.00%),<not,<not,8746,8746,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,Python 3.5.10,binarytrees.py 21,65231356,0.99,1.24,0.23,0.30,0.08,0.39,,,,,,65231356 ns,138952753,2.113 GHz,<not,(0.00%),65.74 msec,1.008,<not,(0.00%) ,39,<not,<not,65.81 msec,1.009,2059 C,<not,<not,(0.00%),<not,<not,8700,8700,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,Python 3.5.10,binarytrees.py 21,64673381,0.97,1.26,0.23,0.29,0.09,0.17,4.87,1.03,0.22,,,64673381 ns,112463523,1.728 GHz,<not,(0.00%),65.06 msec,1.006,<not,(0.00%) ,41,<not,<not,65.12 msec,1.007,2076 C,<not,<not,(0.00%),<not,<not,8759,8759,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
