test,release_date,path,version,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 44,minutes,seconds_hundredths
1,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996357,1029501,java,0.76,6996668416,237273088,18735104,475.0,1.4,20.0,6.0,0:00,0,4096,528039936,8192,55296,0.0,237273088,295,1,279,15,0,53.4,7.5,0.0,39.1,0.0,0.0,0.0,0.0,15794.9 MiB,4406.3 MiB,1900.7 MiB,9487.9 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13174.0 MiB,,0,00.76
1,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1,1693996358,1029501,java,8.54,6996668416,533409792,18862080,160.0,3.2,20.0,6.0,0:08,0,4096,1155645440,8192,129024,0.0,533409792,295,1,279,15,0,18.7,2.2,0.0,79.1,0.0,0.0,0.0,0.0,15794.9 MiB,4119.6 MiB,2187.2 MiB,9488.1 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12887.3 MiB,,0,08.54
1,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,2,1693996359,1029501,java,10.08,6996668416,731627520,18927616,106.2,4.4,20.0,6.0,0:10,0,4096,1143799808,8192,177152,0.0,731627520,295,1,279,15,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15794.9 MiB,3930.1 MiB,2376.7 MiB,9488.1 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12697.8 MiB,,0,10.08
1,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,3,1693996360,1029501,java,11.27,6996668416,755036160,18927616,106.2,4.6,20.0,6.0,0:11,0,4096,1074987008,8192,183296,0.0,755036160,295,1,279,15,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15794.9 MiB,3904.7 MiB,2410.0 MiB,9480.1 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12672.5 MiB,,0,11.27
2,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996361,1029548,java,0.78,6996668416,237481984,18792448,487.5,1.4,20.0,4.0,0:00,0,4096,528027648,8192,55296,0.0,237481984,295,1,279,15,0,54.0,8.8,0.0,37.2,0.0,0.0,0.0,0.0,15794.9 MiB,4394.0 MiB,1912.6 MiB,9488.2 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13161.9 MiB,,0,00.78
2,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1,1693996363,1029548,java,8.53,6996668416,532758528,18857984,156.2,3.2,20.0,4.0,0:08,0,4096,1155645440,8192,128000,0.0,532758528,295,1,279,15,0,16.9,3.1,0.0,80.0,0.0,0.0,0.0,0.0,15794.9 MiB,4111.2 MiB,2195.4 MiB,9488.2 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12879.1 MiB,,0,08.53
2,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,2,1693996364,1029548,java,10.05,6996668416,732622848,18989056,100.0,4.4,20.0,4.0,0:10,0,4096,1144328192,8192,177152,0.0,732893184,295,1,279,15,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15794.9 MiB,3922.8 MiB,2391.8 MiB,9480.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12690.7 MiB,,0,10.05
2,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,3,1693996365,1029548,java,11.26,6996668416,757886976,18989056,113.3,4.6,20.0,4.0,0:11,0,4096,1076563968,8192,184320,0.0,757886976,295,1,279,15,0,13.2,0.8,0.0,85.3,0.8,0.0,0.0,0.0,15794.9 MiB,3896.2 MiB,2418.4 MiB,9480.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12664.1 MiB,,0,11.26
3,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996366,1029592,java,0.78,6996668416,237170688,18776064,520.0,1.4,20.0,6.0,0:00,0,4096,528039936,8192,55296,0.0,237170688,295,1,279,15,0,55.0,6.2,0.0,38.8,0.0,0.0,0.0,0.0,15794.9 MiB,4393.4 MiB,1913.1 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13161.4 MiB,,0,00.78
3,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1,1693996367,1029592,java,8.48,6996668416,535678976,18903040,156.2,3.2,20.0,6.0,0:08,0,4096,1158795264,8192,129024,0.0,535678976,295,1,279,15,0,18.9,2.3,0.0,78.8,0.0,0.0,0.0,0.0,15794.9 MiB,4107.7 MiB,2198.9 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12875.6 MiB,,0,08.48
3,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,2,1693996369,1029592,java,10.01,6996668416,736256000,18903040,100.0,4.4,20.0,6.0,0:10,0,4096,1148039168,8192,178176,0.0,736256000,295,1,279,15,0,13.0,1.5,0.0,85.5,0.0,0.0,0.0,0.0,15794.9 MiB,3915.5 MiB,2391.1 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12683.4 MiB,,0,10.01
3,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,3,1693996370,1029592,java,11.2,6996668416,761446400,18903040,113.3,4.6,20.0,6.0,0:11,0,4096,1081327616,8192,184320,0.0,761446400,295,1,279,15,0,12.4,2.3,0.0,85.3,0.0,0.0,0.0,0.0,15794.9 MiB,3891.9 MiB,2422.7 MiB,9480.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12659.8 MiB,,0,11.20
4,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996372,1029642,java,0.79,6996668416,237363200,18792448,493.8,1.4,20.0,2.0,0:00,0,4096,528027648,8192,55296,0.0,237363200,295,1,279,15,0,56.0,6.0,0.0,38.1,0.0,0.0,0.0,0.0,15794.9 MiB,4384.2 MiB,1922.4 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13152.1 MiB,,0,00.79
4,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1,1693996373,1029642,java,8.48,6996668416,533831680,18857984,153.3,3.2,20.0,2.0,0:08,0,4096,1156161536,8192,129024,0.0,533831680,295,1,279,15,0,15.9,4.5,0.0,79.5,0.0,0.0,0.0,0.0,15794.9 MiB,4100.0 MiB,2206.6 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12867.9 MiB,,0,08.48
4,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,2,1693996374,1029642,java,10.02,6996668416,726962176,18989056,100.0,4.4,20.0,2.0,0:10,0,4096,1140625408,8192,176128,0.0,726962176,296,1,280,15,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,3914.6 MiB,2391.9 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12682.6 MiB,,0,10.02
4,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,3,1693996376,1029642,java,11.21,6996668416,750587904,18989056,100.0,4.5,20.0,2.0,0:11,0,4096,1074434048,8192,182272,0.0,750587904,296,1,280,15,0,13.8,0.0,0.0,86.2,0.0,0.0,0.0,0.0,15794.9 MiB,3892.0 MiB,2422.5 MiB,9480.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12660.0 MiB,,0,11.21
5,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996378,1029697,java,0.77,6996668416,237080576,18837504,481.2,1.4,20.0,4.0,0:00,0,4096,528027648,8192,55296,0.0,237080576,295,1,279,15,0,57.0,5.9,0.0,37.0,0.0,0.0,0.0,0.0,15794.9 MiB,4386.7 MiB,1919.9 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13154.6 MiB,,0,00.77
5,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1,1693996379,1029697,java,8.5,6996668416,534626304,18903040,150.0,3.2,20.0,4.0,0:08,0,4096,1157746688,8192,129024,0.0,534626304,296,1,280,15,0,18.3,2.3,0.0,79.4,0.0,0.0,0.0,0.0,15794.9 MiB,4098.5 MiB,2208.0 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12866.5 MiB,,0,08.50
5,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,2,1693996380,1029697,java,10.03,6996668416,733679616,18968576,100.0,4.4,20.0,4.0,0:10,0,4096,1145884672,8192,178176,0.0,733679616,296,1,280,15,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,3908.5 MiB,2398.0 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12676.5 MiB,,0,10.03
5,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,3,1693996381,1029697,java,11.23,6996668416,755687424,18968576,106.2,4.6,20.0,4.0,0:11,0,4096,1079697408,8192,183296,0.0,755687424,296,1,280,15,0,13.1,0.8,0.0,86.2,0.0,0.0,0.0,0.0,15794.9 MiB,3886.1 MiB,2428.5 MiB,9480.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12654.1 MiB,,0,11.23
6,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996384,1029748,java,0.78,6996668416,237355008,18817024,487.5,1.4,20.0,7.0,0:00,0,4096,528101376,8192,55296,0.0,237355008,295,1,279,15,0,56.3,7.4,0.0,36.3,0.0,0.0,0.0,0.0,15794.9 MiB,4387.6 MiB,1919.1 MiB,9488.1 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13155.6 MiB,,0,00.78
6,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1,1693996385,1029748,java,8.57,6996668416,534466560,19009536,160.0,3.2,20.0,7.0,0:08,0,4096,1156173824,8192,129024,0.0,534466560,296,1,280,15,0,19.1,1.5,0.0,79.4,0.0,0.0,0.0,0.0,15794.9 MiB,4103.2 MiB,2203.4 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12871.1 MiB,,0,08.57
6,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,2,1693996386,1029748,java,10.11,6996668416,723959808,19009536,100.0,4.4,20.0,7.0,0:10,0,4096,1144840192,8192,175104,0.0,723959808,296,2,279,15,0,14.4,0.8,0.0,84.8,0.0,0.0,0.0,0.0,15794.9 MiB,3921.3 MiB,2385.3 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12689.3 MiB,,0,10.11
6,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,3,1693996387,1029748,java,11.3,6996668416,744591360,19009536,100.0,4.5,20.0,7.0,0:11,0,4096,1074974720,12288,180224,0.0,744591360,296,1,280,15,0,12.2,2.3,0.0,85.5,0.0,0.0,0.0,0.0,15794.9 MiB,3902.6 MiB,2412.0 MiB,9480.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12670.6 MiB,,0,11.30
6,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,4,1693996389,1029748,java,12.85,6996668416,789291008,19009536,212.5,4.8,20.0,7.0,0:12,0,4096,1112272896,12288,194560,0.0,789291008,295,1,279,15,0,27.3,0.8,0.0,72.0,0.0,0.0,0.0,0.0,15794.9 MiB,3862.2 MiB,2452.3 MiB,9480.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12630.2 MiB,,0,12.85
7,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996390,1029803,java,0.74,6996668416,236126208,18587648,493.3,1.4,20.0,7.0,0:00,0,4096,527978496,8192,54272,0.0,236126208,295,1,279,15,0,53.7,8.2,0.0,38.1,0.0,0.0,0.0,0.0,15794.9 MiB,4387.6 MiB,1919.0 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13155.6 MiB,,0,00.74
7,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,1,1693996391,1029803,java,8.52,6996668416,533774336,18915328,150.0,3.2,20.0,7.0,0:08,0,4096,1155108864,8192,129024,0.0,533774336,296,1,280,15,0,17.9,3.0,0.0,79.1,0.0,0.0,0.0,0.0,15794.9 MiB,4101.8 MiB,2204.7 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12869.8 MiB,,0,08.52
7,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,2,1693996392,1029803,java,10.04,6996668416,725561344,18980864,106.7,4.4,20.0,7.0,0:10,0,4096,1138528256,8192,176128,0.0,725561344,296,1,280,15,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,3917.5 MiB,2396.9 MiB,9480.4 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12685.5 MiB,,0,10.04
7,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,3,1693996393,1029803,java,11.23,6996668416,746741760,18980864,106.7,4.5,20.0,7.0,0:11,0,4096,1077067776,8192,181248,0.0,746741760,296,1,280,15,0,12.3,1.5,0.0,86.2,0.0,0.0,0.0,0.0,15794.9 MiB,3896.9 MiB,2417.6 MiB,9480.4 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12664.9 MiB,,0,11.23
7,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,4,1693996394,1029803,java,12.82,0,0,0,118.8,0.0,2.0,7.0,0:12,0,0,0,8192,193536,0.0,0,295,1,278,15,1,19.1,3.7,0.0,77.2,0.0,0.0,0.0,0.0,15794.9 MiB,4137.2 MiB,2169.4 MiB,9488.2 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,12905.2 MiB,,0,12.82
8,2023-07-18,binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,binarytrees.java 21,0,1693996396,1029854,java,0.76,6996668416,237367296,18829312,475.0,1.4,20.0,3.0,0:00,0,4096,528039936,8192,55296,0.0,237367296,295,1,279,15,0,54.6,6.9,0.0,38.5,0.0,0.0,0.0,0.0,15794.9 MiB,4389.6 MiB,1917.0 MiB,9488.3 MiB,4096.0 MiB,3680.2 MiB,415.8 MiB,13157.6 MiB,,0,00.76
