test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
1,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,1.0,0.32,0.69,0.3,0.0,0.01,6.62,3.13,0.0,0.03,2.16,14.528716793,59205293948,4.075,185269223411,3.13,14527.54,1.0,59201769202,4.075,3,27451238231,347528356,14527.56,1.0,148.0,38480640428,899190,0.00%,0,26048672257,2449,2449,0,662815,86442,13.042,51728601023,560232,0.00%,36395,2778,7.63%,1255176,51746997620,108,0.00%,18865,8893,47.14%,0,0,16.3,4.89,11.247,0.0,0.163
2,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,1.0,0.32,0.68,0.29,0.0,0.02,6.56,3.11,0.0,0.03,2.16,14.616529166,59480805666,4.07,185372847598,3.12,14615.35,1.0,59499044227,4.071,10,27589828517,349210433,14615.37,1.0,130.0,38480211724,1082006,0.00%,0,25978204387,2445,2445,0,1340811,128831,9.608,51872676355,729558,0.00%,91477,4280,4.68%,3079616,51612104762,20196,0.00%,99210,12546,12.65%,0,0,16.28,4.7212,11.070400000000001,0.0,0.32560000000000006
3,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.69,0.31,0.0,0.01,6.61,3.11,0.0,0.03,2.13,14.802835682,59493362313,4.019,185604198306,3.12,14801.46,1.0,59470734565,4.018,11,27868867321,352806469,14801.48,1.0,149.0,38465393743,1054748,0.00%,0,25968204942,2451,2451,0,1404452,136461,9.716,51568329617,753312,0.00%,95805,7867,8.21%,1607448,51837711963,544,0.00%,63324,12850,20.29%,0,0,16.076,4.98356,11.09244,0.0,0.16076000000000001
4,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.69,0.3,0.0,0.01,6.62,3.12,0.0,0.03,2.0,15.825546175,59355612864,3.751,185704980013,3.13,15824.07,1.0,59363961682,3.751,12,29752134141,376584927,15824.11,1.0,112.0,38519382217,906116,0.00%,0,26005400539,2449,2449,0,4351943,1241858,28.536,51686637006,836940,0.00%,109543,5638,5.15%,2078826,51752799826,2531,0.00%,112633,18691,16.59%,0,0,15.004,4.5012,10.352759999999998,0.0,0.15004
5,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.69,0.3,0.0,0.01,6.6,3.1,0.0,0.03,2.12,14.8593593,59443079729,4.001,185936544191,3.13,14858.16,1.0,59450255456,4.001,10,27995275946,354407740,14858.18,1.0,126.0,38506194253,822555,0.00%,0,25984674762,2448,2448,0,1283632,89826,6.998,51672590580,747166,0.00%,91745,104532,113.94%,3078384,51768503755,18552,0.00%,57062,13945,24.44%,0,0,16.004,4.801200000000001,11.04276,0.0,0.16004000000000002
6,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.69,0.3,0.0,0.01,6.61,3.12,0.0,0.03,1.98,16.02267101,59354252839,3.705,185613620434,3.13,16020.31,1.0,59349101369,3.705,4,30020727286,379971538,16020.35,1.0,135.0,38500508888,1012004,0.00%,0,26031944630,2449,2449,0,1835801,180476,9.831,51714332414,985073,0.00%,137904,10851,7.87%,2297000,51724489061,209,0.00%,173839,33765,19.42%,0,0,14.82,4.446,10.2258,0.0,0.1482
7,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.69,0.3,0.0,0.01,6.62,3.13,0.0,0.03,1.98,15.986498032,59341210913,3.713,185489725668,3.13,15983.87,1.0,59330105298,3.712,9,29938384946,378952842,15983.91,1.0,164.0,38497878473,930469,0.00%,0,26040886570,2449,2449,0,1970447,224915,11.414,51725322688,998152,0.00%,146577,10463,7.14%,2291239,51730184764,17047,0.00%,227226,45707,20.12%,0,0,14.852,4.4556,10.247879999999999,0.0,0.14852
8,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.69,0.3,0.0,0.01,6.62,3.12,0.0,0.03,1.98,16.035616949,59371200641,3.703,185463740445,3.13,16033.96,1.0,59347003333,3.701,10,30023194601,380053478,16033.99,1.0,158.0,38495278148,999533,0.00%,0,26030563971,2449,2449,0,1668964,189010,11.325,51716062793,940075,0.00%,106416,7209,6.77%,2164966,51716215705,1507,0.00%,169534,22000,12.98%,0,0,14.812,4.4436,10.220279999999999,0.0,0.14812
9,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.68,0.31,0.0,0.01,6.62,3.12,0.0,0.03,2.1,15.051614637,59547624710,3.957,185672509171,3.12,15050.39,1.0,59491970718,3.953,11,28338961110,358710193,15050.41,1.0,147.0,38549797427,1044897,0.00%,0,26091022245,2449,2449,0,1289662,101362,7.86,51806805391,698888,0.00%,87364,4174,4.78%,1757466,51631770295,520,0.00%,74506,14684,19.71%,0,0,15.828,4.90668,10.76304,0.0,0.15828
10,2019-04-03,nbody_50000000_original,6.17.1,nbody_6_original.js 50000000,0.99,0.32,0.69,0.3,0.0,0.01,6.62,3.13,0.0,0.03,2.06,15.292794921,59315241754,3.879,185486323515,3.13,15291.55,1.0,59310064903,3.879,20,28833637551,365008588,15291.58,1.0,143.0,38504078624,926046,0.00%,0,26001651746,2449,2449,0,1023636,98925,9.664,51741936555,609394,0.00%,70920,7420,10.46%,1510444,51711967403,784,0.00%,57035,10101,17.71%,0,0,15.516,4.6548,10.70604,0.0,0.15516
