test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v0.10.48,nbody_6_original.js 50000000,24777399,0.91,0.79,0.37,0.33,0.14,0.12,5.63,1.24,0.47,,,24777399 ns,97891096,3.934 GHz,<not,(0.00%),24.87 msec,1.004,<not,(0.00%) ,0,<not,<not,24.89 msec,1.005,99 C,<not,<not,(0.00%),<not,<not,1683,1683,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v0.10.48,nbody_6_original.js 50000000,25036608,0.92,0.76,0.37,0.33,0.14,0.15,5.45,1.07,0.16,,,25036608 ns,93819951,3.737 GHz,<not,(0.00%),25.10 msec,1.002,<not,(0.00%) ,2,<not,<not,25.11 msec,1.003,98 C,<not,<not,(0.00%),<not,<not,1686,1686,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v0.10.48,nbody_6_original.js 50000000,25167285,0.90,0.77,0.37,0.33,0.14,0.11,5.53,1.17,0.21,,,25167285 ns,94752214,3.765 GHz,<not,(0.00%),25.16 msec,1.000,<not,(0.00%) ,0,<not,<not,25.18 msec,1.000,99 C,<not,<not,(0.00%),<not,<not,1682,1682,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v0.10.48,nbody_6_original.js 50000000,25501900,0.88,0.75,0.37,0.34,0.14,0.13,5.44,1.16,0.17,,,25501900 ns,95833547,3.764 GHz,<not,(0.00%),25.45 msec,0.998,<not,(0.00%) ,0,<not,<not,25.47 msec,0.999,94 C,<not,<not,(0.00%),<not,<not,1683,1683,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v0.10.48,nbody_6_original.js 50000000,25582016,0.91,0.78,0.37,0.34,0.14,0.11,5.71,1.27,0.38,,,25582016 ns,99389058,3.878 GHz,<not,(0.00%),25.62 msec,1.001,<not,(0.00%) ,0,<not,<not,25.64 msec,1.002,98 C,<not,<not,(0.00%),<not,<not,1686,1686,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v0.10.48,nbody_6_original.js 50000000,24906827,0.92,0.77,0.37,0.35,0.14,0.11,5.65,1.22,0.45,,,24906827 ns,97314625,3.897 GHz,<not,(0.00%),24.96 msec,1.002,<not,(0.00%) ,0,<not,<not,24.98 msec,1.003,94 C,<not,<not,(0.00%),<not,<not,1685,1685,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v0.10.48,nbody_6_original.js 50000000,24736245,0.93,0.74,0.38,0.34,0.14,0.13,5.70,1.22,0.48,,,24736245 ns,97548745,3.950 GHz,<not,(0.00%),24.69 msec,0.998,<not,(0.00%) ,0,<not,<not,24.70 msec,0.999,96 C,<not,<not,(0.00%),<not,<not,1681,1681,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v0.10.48,nbody_6_original.js 50000000,24611964,0.91,0.75,0.38,0.35,0.14,0.13,5.67,1.20,0.48,,,24611964 ns,95447060,3.865 GHz,<not,(0.00%),24.68 msec,1.003,<not,(0.00%) ,0,<not,<not,24.72 msec,1.004,94 C,<not,<not,(0.00%),<not,<not,1684,1684,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v0.10.48,nbody_6_original.js 50000000,24223487,0.92,0.73,0.38,0.35,0.14,0.13,5.80,1.21,0.63,,,24223487 ns,94187542,3.894 GHz,<not,(0.00%),24.18 msec,0.998,<not,(0.00%) ,0,<not,<not,24.20 msec,0.999,94 C,<not,<not,(0.00%),<not,<not,1684,1684,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v0.10.48,nbody_6_original.js 50000000,25479542,0.88,0.78,0.37,0.33,0.14,0.10,5.56,1.16,0.23,,,25479542 ns,94639139,3.720 GHz,<not,(0.00%),25.43 msec,0.998,<not,(0.00%) ,0,<not,<not,25.45 msec,0.999,91 C,<not,<not,(0.00%),<not,<not,1682,1682,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
