python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,nbody.py 50000,0.536383,1826.6,1686314694.080633,0.00,0.00,740.10,20.02,3737.70,1895.80,0.92,3011.20,0.00,28.60,2338.70,986.40,263.30,1390.40,0.00,1102.70,0.00,0.00,0.01,2.27,1.71,1.10,20.70,0.00,53.69,0.00,0.00,21.00,1.07,17.23,40.68,88.70,90.90,85.75,375.00,330.00,140.01,97.11,13.34,12.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,9.99,0.11,0.51,0.00,0.00
Python 2.7.18,nbody.py 50000,0.571856,1296,1686314700.568873,0.00,0.00,623.70,21.32,2988.10,1896.50,0.96,3182.70,0.00,23.70,1846.90,1012.20,336.30,1687.50,0.20,1124.10,0.00,0.00,0.01,2.36,2.02,1.44,22.73,0.01,50.11,0.00,0.00,21.47,1.45,18.42,37.34,78.70,79.60,89.84,420.00,300.00,146.82,99.22,9.69,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,6.01,0.10,0.53,0.00,0.00
Python 3.0.1,nbody.py 50000,0.780422,1366.6,1686314708.922946,0.00,0.00,610.40,21.18,2889.90,1896.00,0.83,4860.10,0.00,23.20,2004.50,1194.90,438.50,2239.30,0.50,1665.40,0.00,0.00,0.01,2.17,1.98,1.22,22.03,0.00,51.52,0.00,0.00,21.23,0.90,18.61,38.08,74.70,75.50,91.83,375.00,330.00,146.25,99.77,7.57,7.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.90,6.63,0.08,0.71,0.00,0.00
Python 3.4.10,nbody.py 50000,0.817719,2856.4,1686314717.821094,0.00,0.00,783.30,32.70,2584.90,1894.90,0.75,6630.60,0.00,34.60,2172.70,1752.30,833.40,2369.00,0.50,1215.00,0.00,0.00,0.01,2.82,3.06,2.27,20.72,0.00,38.47,0.00,0.00,22.21,1.45,15.86,27.78,72.60,73.10,76.74,358.30,315.00,192.16,99.87,22.27,22.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.34,6.67,0.21,1.03,0.00,0.00
Python 3.5.10,nbody.py 50000,0.657861,1363.7,1686314724.981094,0.00,0.00,558.60,19.30,2909.40,1896.80,0.92,3567.60,0.00,23.40,1622.40,1067.70,344.80,1845.00,0.40,1377.20,0.00,0.00,0.01,1.99,1.90,1.08,22.07,0.00,53.82,0.00,0.00,20.71,1.14,18.73,40.12,74.00,75.00,85.84,538.30,328.30,137.30,99.76,13.39,13.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.53,5.55,0.12,0.61,0.00,0.00
Python 3.6.15,nbody.py 50000,1.01796,3503.9,1686314736.022296,0.00,0.00,964.10,45.07,2402.50,1895.40,0.72,8555.80,0.00,62.30,2568.70,1899.20,754.80,1943.60,0.80,1049.50,0.00,0.00,0.01,2.67,2.73,1.65,15.59,0.00,32.33,0.00,0.00,19.03,0.83,11.52,23.55,71.60,72.20,85.40,490.00,300.00,235.78,99.74,13.82,13.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.55,8.13,0.19,1.35,0.00,0.00
Python 3.7.16,nbody.py 50000,0.661944,1405.1,1686314743.224143,0.00,0.00,656.80,23.71,2822.30,1896.00,0.89,4447.70,0.00,25.70,1563.60,1061.20,408.30,1849.40,0.20,1255.40,0.00,0.00,0.01,2.21,2.06,1.45,21.43,0.01,49.25,0.00,0.00,20.59,1.44,17.40,36.87,74.50,75.70,88.25,591.60,328.30,154.76,99.76,11.10,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,5.68,0.11,0.65,0.00,0.00
Python 3.8.16,nbody.py 50000,0.895352,1843.6,1686314752.995693,0.00,0.00,771.40,32.35,2593.60,1896.70,0.81,6837.70,0.00,38.00,1617.40,1364.70,675.00,2345.40,0.70,1351.20,0.00,0.00,0.01,2.10,2.45,1.72,20.23,0.00,41.25,0.00,0.00,20.65,1.25,15.88,29.87,72.40,73.00,80.47,421.70,315.00,188.43,99.81,18.73,18.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.15,7.27,0.19,1.03,0.00,0.00
Python 3.9.16,nbody.py 50000,0.764591,1360.7,1686314761.295655,0.00,0.00,644.70,23.58,2803.00,1896.00,0.86,4577.30,0.00,26.70,2267.40,1472.10,591.50,2230.10,0.70,1455.90,0.00,0.00,0.01,3.10,2.38,1.53,22.08,0.01,47.44,0.00,0.00,22.05,1.02,17.91,35.45,74.00,74.80,92.01,450.00,300.00,156.55,99.78,7.47,7.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68,6.38,0.10,0.73,0.00,0.00
Python 3.10.11,nbody.py 50000,0.870119,1601.3,1686314770.636598,0.00,0.00,752.70,30.29,2572.50,1897.00,0.73,6217.10,0.00,50.20,2470.60,1946.40,862.00,3197.20,0.40,1457.20,0.00,0.00,0.01,2.92,3.10,2.25,25.62,0.00,36.00,0.00,0.00,24.33,1.67,20.97,22.74,72.30,72.90,67.93,360.00,300.00,188.64,99.79,31.00,30.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.06,6.95,0.34,1.15,0.00,0.00
Python 3.11.3,nbody.py 50000,0.429555,1543.7,1686314775.453394,0.00,0.00,615.10,22.05,2808.70,1896.00,0.82,2485.90,0.00,20.60,1401.00,1073.90,443.50,1490.10,0.80,828.10,0.00,0.00,0.01,3.12,3.52,2.21,24.89,0.01,44.34,0.00,0.00,24.69,1.61,20.54,31.11,72.80,73.60,84.12,388.30,330.00,153.37,99.80,15.29,15.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.89,3.53,0.11,0.45,0.00,0.00
Python 3.12.0b1,nbody.py 50000,0.457732,1449.5,1686314780.575299,0.00,0.00,630.40,22.79,2778.30,1896.00,0.81,2919.30,0.00,14.50,1363.10,1103.50,520.60,1623.80,0.30,907.60,0.00,0.00,0.01,2.71,3.62,2.48,24.89,0.02,43.65,0.00,0.00,24.68,1.86,20.67,30.00,73.40,73.90,82.71,398.30,315.00,156.13,99.76,16.65,16.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24,3.82,0.11,0.49,0.00,0.00
