test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.7.18,fibonacci_oldVersions.py 507000,27.290840,1418,1686828810.333566,-,-,926,29.20,3173,1896,2.21,280262,0,14038,49347,86397,15728,37260,7226,52443,7492,35654,0.16,2.46,5.22,1.36,5.14,0.43,16.72,4.46,34.95,29.10,2.46,3.45,35.79,85,85,98.46,400,300,194.71,99.24,1.38,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,581.93,473.26,0.29,47.46,0.00,0.00
2,Python 2.7.18,fibonacci_oldVersions.py 507000,35.310328,1635,1686828845.780495,-,-,700,28.08,2491,1896,2.26,210908,0,11626,45819,85222,15475,37879,8249,56574,5857,35355,0.10,1.89,4.31,1.25,3.92,0.40,15.63,0.67,43.91,27.30,2.21,2.68,39.74,75,75,98.60,400,300,190.25,99.70,1.18,1.18,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432.64,296.32,0.27,54.29,0.00,0.00
3,Python 2.7.18,fibonacci_oldVersions.py 507000,40.362703,1850,1686828886.286001,-,-,916,43.27,2118,1896,1.79,403578,0,21703,49055,83425,14986,34787,7704,48232,6416,35490,0.18,1.69,3.54,0.97,3.13,0.31,11.37,0.55,35.19,21.25,1.42,2.07,31.99,69,69,98.28,300,300,234.79,99.75,1.57,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,481.95,326.86,0.57,61.30,0.00,0.00
4,Python 2.7.18,fibonacci_oldVersions.py 507000,61.783392,1976,1686828948.207391,-,-,1426,77.55,1839,1896,1.29,1319356,0,65601,75784,92289,16519,36182,11893,46952,17151,66510,0.40,1.60,2.33,0.58,1.84,0.27,5.17,0.45,10.16,12.16,0.40,1.00,8.88,66,66,97.61,300,300,345.93,99.77,2.39,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,738.17,497.60,1.79,92.68,0.00,0.00
5,Python 2.7.18,fibonacci_oldVersions.py 507000,69.005798,1767,1686829017.337751,-,-,1540,85.36,1804,1896,1.21,1725388,0,88998,60182,84672,13291,29659,13879,45491,23188,74846,0.49,1.14,1.80,0.34,1.13,0.25,3.45,0.41,6.03,8.40,0.10,0.45,5.69,65,65,97.60,300,300,368.68,99.76,2.40,2.40,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,824.28,557.32,2.06,102.59,0.00,0.00
6,Python 2.7.18,fibonacci_oldVersions.py 507000,43.859871,1590,1686829061.357174,-,-,1008,48.30,2086,1896,1.67,494070,0,31837,62695,106690,17793,43580,9443,59428,8562,41140,0.25,2.02,4.17,1.01,3.56,0.34,13.06,0.46,27.12,24.03,1.20,2.06,24.41,67,67,98.64,300,300,265.28,99.74,1.25,1.25,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,524.21,355.51,0.30,66.86,0.00,0.00
7,Python 2.7.18,fibonacci_oldVersions.py 507000,38.390237,1681,1686829099.902176,-,-,809,35.04,2309,1896,2.00,306816,0,20289,57593,107994,21235,49196,9828,65278,7708,40340,0.17,2.20,5.01,1.44,4.58,0.42,14.73,0.57,36.09,27.90,1.85,2.84,32.38,72,72,98.43,300,300,219.95,99.74,1.41,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,458.32,309.64,0.32,59.39,0.00,0.00
8,Python 2.7.18,fibonacci_oldVersions.py 507000,34.930658,1700,1686829134.985346,-,-,678,26.78,2532,1896,2.30,265967,0,11821,43478,84683,16295,38104,7715,55484,5751,35157,0.10,1.84,4.40,1.33,4.03,0.38,16.08,0.55,44.68,27.25,2.08,2.76,41.12,70,70,98.60,300,300,184.39,99.71,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417.88,283.07,0.24,53.89,0.00,0.00
9,Python 2.7.18,fibonacci_oldVersions.py 507000,34.581711,1676,1686829169.719034,-,-,669,26.42,2532,1896,2.34,177011,0,10356,38845,75217,13171,32535,6800,52079,5016,33414,0.09,1.64,3.89,1.09,3.55,0.33,16.22,0.58,46.34,26.41,1.89,2.54,42.74,70,71,98.45,300,300,182.70,99.73,1.35,1.35,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,412.38,278.27,0.29,52.97,0.00,0.00
10,Python 2.7.18,fibonacci_oldVersions.py 507000,33.086769,1541,1686829202.965009,-,-,611,23.15,2639,1896,2.52,141415,0,7980,33328,62067,11616,27300,6043,44892,4224,29854,0.07,1.54,3.49,0.99,2.98,0.31,14.03,0.54,53.01,25.56,2.06,2.13,47.10,71,73,99.42,300,300,166.87,99.70,0.38,0.38,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,394.73,267.95,0.08,50.44,0.00,0.00
