test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v5.12.0,nbody_6_original.js 50000000,29043745,0.94,0.89,0.31,0.38,0.14,0.11,5.35,1.05,0.05,2.45,2.13,29043745 ns,111813375,3.879 GHz,<not,(0.00%),28.82 msec,0.992,<not,(0.00%) ,2,<not,<not,28.83 msec,0.993,253 C,<not,<not,(0.00%),<not,<not,2265,2265,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v5.12.0,nbody_6_original.js 50000000,29441670,0.92,0.92,0.30,0.37,0.14,0.11,5.35,1.06,0.05,2.44,2.14,29441670 ns,112242276,3.843 GHz,<not,(0.00%),29.20 msec,0.992,<not,(0.00%) ,2,<not,<not,29.21 msec,0.992,235 C,<not,<not,(0.00%),<not,<not,2264,2264,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v5.12.0,nbody_6_original.js 50000000,28936530,0.90,0.91,0.30,0.37,0.14,0.11,5.36,1.06,0.05,2.44,2.14,28936530 ns,110946526,3.865 GHz,<not,(0.00%),28.71 msec,0.992,<not,(0.00%) ,2,<not,<not,28.71 msec,0.992,242 C,<not,<not,(0.00%),<not,<not,2264,2264,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v5.12.0,nbody_6_original.js 50000000,28773513,0.86,0.88,0.31,0.38,0.14,0.11,5.36,1.06,0.04,2.49,2.14,28773513 ns,111433602,3.898 GHz,<not,(0.00%),28.59 msec,0.993,<not,(0.00%) ,2,<not,<not,28.59 msec,0.994,228 C,<not,<not,(0.00%),<not,<not,2265,2265,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v5.12.0,nbody_6_original.js 50000000,29179732,0.98,0.89,0.31,0.39,0.14,0.14,5.35,1.08,0.17,2.90,2.15,29179732 ns,109235284,3.773 GHz,<not,(0.00%),28.95 msec,0.992,<not,(0.00%) ,3,<not,<not,28.96 msec,0.992,249 C,<not,<not,(0.00%),<not,<not,2264,2264,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v5.12.0,nbody_6_original.js 50000000,29650050,0.94,0.92,0.30,0.37,0.14,0.11,5.37,1.02,0.05,2.52,2.15,29650050 ns,113567559,3.861 GHz,<not,(0.00%),29.41 msec,0.992,<not,(0.00%) ,3,<not,<not,29.42 msec,0.992,246 C,<not,<not,(0.00%),<not,<not,2264,2264,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v5.12.0,nbody_6_original.js 50000000,30442219,0.90,0.89,0.30,0.38,0.13,0.14,5.34,1.05,0.04,2.47,2.15,30442219 ns,103967614,3.445 GHz,<not,(0.00%),30.18 msec,0.991,<not,(0.00%) ,1,<not,<not,30.18 msec,0.992,231 C,<not,<not,(0.00%),<not,<not,2263,2263,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v5.12.0,nbody_6_original.js 50000000,28743614,0.93,0.87,0.31,0.38,0.14,0.11,5.34,1.05,0.05,2.40,2.14,28743614 ns,110967031,3.881 GHz,<not,(0.00%),28.59 msec,0.995,<not,(0.00%) ,1,<not,<not,28.59 msec,0.995,242 C,<not,<not,(0.00%),<not,<not,2264,2264,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v5.12.0,nbody_6_original.js 50000000,28802154,0.97,0.89,0.31,0.38,0.14,0.15,5.33,1.04,0.04,2.50,2.14,28802154 ns,110890353,3.878 GHz,<not,(0.00%),28.59 msec,0.993,<not,(0.00%) ,1,<not,<not,28.60 msec,0.993,241 C,<not,<not,(0.00%),<not,<not,2264,2264,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v5.12.0,nbody_6_original.js 50000000,28596464,0.97,0.88,0.31,0.38,0.14,0.11,5.34,1.05,0.05,2.22,2.13,28596464 ns,110892501,3.899 GHz,<not,(0.00%),28.44 msec,0.995,<not,(0.00%) ,2,<not,<not,28.45 msec,0.995,230 C,<not,<not,(0.00%),<not,<not,2264,2264,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
