test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v3.3.1,nbody_6_original.js 50000000,46183148,0.97,0.94,0.31,0.40,0.14,0.08,5.68,1.31,0.06,3.16,2.16,46183148 ns,185226272,4.029 GHz,228686660,1.27,45.97 msec,0.995,185353150,4.032 GHz,2,85203030,1078519,45.98 msec,0.996,257 C,36822632,1122781,3.05%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v3.3.1,nbody_6_original.js 50000000,47425487,0.91,0.97,0.30,0.37,0.14,0.10,5.63,1.30,0.06,3.13,2.16,47425487 ns,184415246,3.913 GHz,227566454,1.27,47.13 msec,0.994,184472024,3.914 GHz,1,84997364,1075916,47.14 msec,0.994,251 C,35193652,1496649,4.25%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v3.3.1,nbody_6_original.js 50000000,47999549,0.98,1.01,0.29,0.36,0.14,0.11,5.68,1.21,0.07,2.95,2.14,47999549 ns,187961770,3.932 GHz,233880011,1.27,47.79 msec,0.996,187730845,3.928 GHz,1,86202384,1091169,47.80 msec,0.996,251 C,35046329,1587264,4.53%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v3.3.1,nbody_6_original.js 50000000,46152579,0.93,0.93,0.31,0.38,0.13,0.08,5.68,1.31,0.06,3.07,2.16,46152579 ns,181462707,3.947 GHz,223758030,1.25,45.97 msec,0.996,181240806,3.943 GHz,2,82842504,1048639,45.97 msec,0.996,265 C,34566812,1420496,4.11%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v3.3.1,nbody_6_original.js 50000000,45861769,0.90,0.91,0.31,0.40,0.13,0.08,5.68,1.31,0.06,3.05,2.16,45861769 ns,182817915,3.999 GHz,224718011,1.25,45.72 msec,0.997,183004480,4.003 GHz,3,84966303,1075539,45.71 msec,0.997,267 C,36522415,1110362,3.04%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v3.3.1,nbody_6_original.js 50000000,45531310,0.95,0.89,0.31,0.39,0.13,0.07,5.70,1.31,0.06,2.82,2.16,45531310 ns,180107446,3.974 GHz,221227753,1.23,45.31 msec,0.995,179784775,3.967 GHz,2,82470185,1043926,45.33 msec,0.996,266 C,34766156,1369172,3.94%,<not,<not,2327,2327,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v3.3.1,nbody_6_original.js 50000000,57144984,0.94,0.92,0.31,0.40,0.13,0.08,5.68,1.26,0.06,2.63,2.03,57144984 ns,214241796,3.761 GHz,164476076,0.74,56.96 msec,0.997,214240799,3.761 GHz,3,107081424,1355457,56.97 msec,0.997,201 C,26599977,1163589,4.37%,0,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v3.3.1,nbody_6_original.js 50000000,46675422,0.92,0.93,0.31,0.38,0.13,0.08,5.68,1.31,0.06,3.06,2.16,46675422 ns,181894366,3.911 GHz,222726095,1.25,46.50 msec,0.996,181772967,3.909 GHz,2,83208833,1053255,46.51 msec,0.996,251 C,34506724,1438549,4.17%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v3.3.1,nbody_6_original.js 50000000,46145106,0.91,0.94,0.31,0.38,0.13,0.08,5.68,1.32,0.06,2.93,2.16,46145106 ns,179136770,3.904 GHz,220928672,1.24,45.88 msec,0.994,178966511,3.901 GHz,2,81476894,1031327,45.89 msec,0.994,253 C,33781788,1396549,4.13%,<not,<not,2331,2331,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v3.3.1,nbody_6_original.js 50000000,47029243,0.92,0.94,0.31,0.38,0.13,0.08,5.68,1.31,0.06,3.06,2.15,47029243 ns,178158302,3.806 GHz,216968147,1.21,46.81 msec,0.995,176934783,3.779 GHz,2,83897603,1061994,46.82 msec,0.996,242 C,34295826,1519907,4.43%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
