python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,fibonacci.py 100000,0.529565,2440.2,1686762396.998686,0.00,0.00,650.70,17.21,3792.60,1894.50,1.64,1317.00,0.00,23.00,2029.30,1071.70,258.00,315.60,0.60,496.90,2.10,239.50,0.01,2.93,2.36,1.03,3.58,0.01,25.37,0.07,47.00,20.86,1.03,3.56,57.33,66.60,67.80,90.09,368.30,343.30,124.51,98.05,9.42,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.59,7.13,0.07,0.42,0.00,0.00
Python 2.7.18,fibonacci.py 100000,0.290661,2172.6,1686762400.413420,0.00,0.00,616.50,17.03,3637.20,1892.40,1.64,794.60,0.00,15.80,1024.70,483.80,116.20,197.00,0.20,284.70,0.40,118.30,0.01,3.11,2.00,1.10,4.42,0.00,30.31,0.07,41.59,20.68,2.10,4.71,55.48,63.90,64.30,96.63,396.60,396.60,125.49,98.29,2.94,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.64,3.84,0.01,0.27,0.00,0.00
Python 3.0.1,fibonacci.py 100000,0.485475,2122.8,1686762405.779155,0.00,0.00,611.40,16.01,3830.10,1895.50,1.60,998.00,0.00,13.70,1122.60,724.20,282.80,338.60,1.10,320.90,1.20,180.80,0.01,1.80,2.05,1.37,3.83,0.03,18.95,0.17,55.52,18.81,1.58,3.86,59.73,72.20,73.70,97.23,400.00,365.00,118.80,98.38,2.54,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.81,6.54,0.01,0.34,0.00,0.00
Python 3.4.10,fibonacci.py 100000,0.302204,1951.8,1686762409.337283,0.00,0.00,620.00,17.10,3638.90,1895.00,1.65,863.10,0.00,29.80,913.60,516.80,180.80,276.70,0.10,295.20,0.60,114.80,0.01,2.18,2.20,1.54,5.34,0.01,29.43,0.14,41.83,20.46,2.41,5.38,54.66,69.00,69.80,96.28,393.20,363.20,125.60,98.28,3.27,3.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,4.10,0.01,0.27,0.00,0.00
Python 3.5.10,fibonacci.py 100000,0.317206,2048.7,1686762413.372872,0.00,0.00,632.50,18.81,3400.70,1893.90,1.61,1244.40,0.00,40.10,1033.00,565.70,148.70,251.60,2.00,315.20,1.10,113.30,0.03,2.71,2.19,1.07,4.98,0.04,30.25,0.18,39.53,20.25,1.80,5.32,53.82,69.40,69.50,97.32,391.50,381.50,132.65,98.53,2.45,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,4.12,0.01,0.28,0.00,0.00
Python 3.6.15,fibonacci.py 100000,0.31135,2011.7,1686762417.003561,0.00,0.00,651.70,17.94,3641.10,1895.20,1.55,890.70,0.00,14.00,1060.50,582.80,296.90,403.10,0.00,301.10,1.10,117.60,0.01,3.32,3.07,2.46,6.17,0.00,28.10,0.06,38.56,22.74,2.64,4.78,51.91,71.40,72.30,96.05,396.60,366.60,128.55,98.26,3.64,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,4.37,0.01,0.29,0.00,0.00
Python 3.7.16,fibonacci.py 100000,0.29492,2482.6,1686762420.472824,0.00,0.00,619.60,17.05,3644.70,1893.80,1.60,836.60,0.00,11.30,927.90,530.70,240.50,369.50,0.30,331.00,1.20,114.80,0.01,3.58,2.91,2.13,6.74,0.02,33.04,0.17,33.96,22.58,2.42,5.97,51.98,71.70,72.80,95.53,396.60,326.60,124.53,97.92,3.83,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,4.11,0.01,0.29,0.00,0.00
Python 3.8.16,fibonacci.py 100000,0.303557,2478.4,1686762424.047265,0.00,0.00,662.10,18.90,3545.80,1893.80,1.52,1007.30,0.00,38.80,1097.70,598.40,226.40,375.80,2.20,408.50,1.70,119.00,0.02,4.04,3.23,1.68,7.27,0.03,35.82,0.13,28.54,24.36,1.81,6.74,48.19,72.80,74.00,87.74,330.00,310.00,136.77,98.11,11.45,11.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.21,4.22,0.04,0.35,0.00,0.00
Python 3.9.16,fibonacci.py 100000,0.303103,2883.6,1686762427.584739,0.00,0.00,658.40,18.47,3588.80,1890.10,1.51,1019.40,0.00,12.60,946.10,565.80,345.50,576.60,0.50,412.70,3.40,132.20,0.01,2.76,3.01,3.05,10.37,0.01,34.08,0.23,27.30,23.41,3.24,8.42,46.45,73.70,74.60,91.83,300.00,300.00,132.38,97.28,7.16,6.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.28,4.22,0.02,0.33,0.00,0.00
Python 3.10.11,fibonacci.py 100000,0.303994,2387.5,1686762431.384377,0.00,0.00,629.50,17.79,3564.50,1893.20,1.52,885.30,0.00,22.10,1279.30,678.30,212.70,283.80,0.50,298.60,1.50,123.20,0.01,3.65,3.05,1.71,5.36,0.00,28.57,0.32,39.18,22.24,1.70,5.09,53.17,75.80,76.60,96.00,300.00,300.00,129.22,98.40,3.51,3.46,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,4.17,0.01,0.28,0.00,0.00
