test,release_date,path,version,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 44,minutes,seconds_hundredths
1,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0,1701437778,221417,java,0.64,6996668416,233320448,18583552,393.8,1.4,20.0,0.0,0:00,0,0,528154624,0,53248,0.0,233320448,290,1,286,3,0,44.9,7.2,0.0,47.8,0.0,0.0,0.0,0.0,15794.9 MiB,4197.6 MiB,1339.2 MiB,10258.1 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13677.9 MiB,,0,00.64
1,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,1,1701437779,221417,java,9.24,7541927936,529813504,18710528,625.0,3.2,28.0,0.0,0:09,0,0,1125789696,0,128000,0.0,529813504,290,1,286,3,0,70.9,5.2,0.0,23.9,0.0,0.0,0.0,0.0,15794.9 MiB,3932.8 MiB,1603.8 MiB,10258.3 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13413.2 MiB,,0,09.24
1,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,2,1701437780,221417,java,18.81,7541927936,953540608,18710528,695.0,5.8,28.0,0.0,0:18,0,0,1354825728,0,231424,0.0,953540608,290,1,286,3,0,93.4,2.7,0.0,3.8,0.0,0.0,0.0,0.0,15794.9 MiB,3499.4 MiB,2044.0 MiB,10251.5 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,12979.8 MiB,,0,18.81
1,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,3,1701437781,221417,java,24.54,7541927936,1181116006,18776064,175.0,7.0,21.0,0.0,0:24,0,0,1528180736,0,281600,0.0,1181116006,290,1,286,3,0,23.1,1.5,0.0,75.4,0.0,0.0,0.0,0.0,15794.9 MiB,3305.0 MiB,2238.5 MiB,10251.3 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,12785.4 MiB,,0,24.54
2,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0,1701437782,221469,java,0.64,6996668416,233156608,18677760,400.0,1.4,20.0,1.0,0:00,0,0,528121856,0,53248,0.0,233156608,290,1,286,3,0,46.0,6.6,0.0,47.4,0.0,0.0,0.0,0.0,15794.9 MiB,4203.2 MiB,1333.4 MiB,10258.3 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13683.6 MiB,,0,00.64
2,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,1,1701437784,221469,java,9.22,7541927936,526106624,18808832,643.8,3.2,28.0,1.0,0:09,0,0,1126567936,0,126976,0.0,526106624,290,1,286,3,0,74.8,3.7,0.0,21.5,0.0,0.0,0.0,0.0,15794.9 MiB,3938.9 MiB,1597.6 MiB,10258.3 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13418.8 MiB,,0,09.22
2,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,2,1701437785,221469,java,19.29,7541927936,918913024,18808832,705.3,5.5,28.0,1.0,0:19,0,0,1304649728,0,223232,0.0,918913024,290,1,286,3,0,92.4,4.1,0.0,3.5,0.0,0.0,0.0,0.0,15794.9 MiB,3537.5 MiB,2005.9 MiB,10251.5 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13017.9 MiB,,0,19.29
2,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,3,1701437786,221469,java,24.58,0,0,0,162.5,0.0,2.0,1.0,0:24,0,0,0,0,267264,0.0,0,290,1,285,3,1,18.7,5.2,0.0,76.1,0.0,0.0,0.0,0.0,15794.9 MiB,3712.1 MiB,1824.6 MiB,10258.2 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13192.5 MiB,,0,24.58
3,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0,1701437787,221522,java,0.63,6996668416,232263680,18014208,387.5,1.4,20.0,4.0,0:00,0,0,528154624,0,53248,0.0,232263680,290,1,286,3,0,44.8,6.0,0.0,49.3,0.0,0.0,0.0,0.0,15794.9 MiB,4208.9 MiB,1327.7 MiB,10258.3 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13689.3 MiB,,0,00.63
3,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,1,1701437788,221522,java,9.31,7541927936,528883712,18665472,668.8,3.2,28.0,4.0,0:09,0,0,1123684352,0,128000,0.0,528883712,290,1,286,3,0,71.5,5.6,0.0,22.9,0.0,0.0,0.0,0.0,15794.9 MiB,3938.2 MiB,1598.4 MiB,10258.3 MiB,4096.0 MiB,3287.6 MiB,808.4 MiB,13418.6 MiB,,0,09.31
