test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend
1,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.49,0.57,0.0,0.02,0.41,5.89,2.06,0.0,0.0,2.16,30.088307801,122542278862,4.073,252473958021,2.06,30085.64,1.0,122528960017,4.073,3,56817200790,719255442,30085.67,1.0,10.0,21655863774,50137547,0.23%,0,62279660067,140,140,0,1698796,289364,17.033,104661639456,1366197,0.00%,88242,8229,9.33%,2852963,104690221175,279,0.00%,29730,22736,76.47%,0,0,490169115448,0.0,279396395805.36,9803382308.960001,200969337333.68
2,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.49,0.57,0.0,0.02,0.41,5.89,2.06,0.0,0.0,2.16,30.080792398,122597591226,4.076,252527334269,2.06,30078.21,1.0,122611776054,4.076,2,56844794139,719572624,30078.24,1.0,7.0,21659959599,50174001,0.23%,0,62281877136,141,141,0,1469067,253923,17.285,104675742476,1137644,0.00%,70391,6191,8.80%,2837612,104628865142,271,0.00%,27695,24952,90.10%,0,0,490390364904,0.0,279522507995.27997,9807807298.08,201060049610.63998
3,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,0.98,0.49,0.57,0.01,0.02,0.41,5.89,2.06,0.0,0.0,2.13,30.895313816,122725588550,3.973,252423600569,2.06,30890.99,1.0,122718931188,3.973,21,57642402363,729691842,30891.07,1.0,2.0,21647539100,50482443,0.23%,0,62276647668,141,141,0,4148023,250922,6.049,104714829281,1839629,0.00%,263293,11709,4.45%,4631315,104647665060,9290,0.00%,191088,45210,23.66%,0,0,490902354200,4909023542.0,279814341894.0,9818047084.0,201269965222.0
4,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.49,0.56,0.01,0.03,0.4,5.88,2.03,0.0,0.0,2.16,30.544879274,124633876713,4.081,252411781477,2.03,30542.61,1.0,124614420229,4.08,4,57768353951,731266454,30542.65,1.0,5.0,21653380395,98556047,0.46%,0,62374725645,144,144,0,2603611,127385,4.893,104748576892,1596199,0.00%,184570,9157,4.96%,4094631,104770769803,473,0.00%,28440,50758,178.47%,0,0,498535506852,4985355068.52,279179883837.12006,14956065205.56,199414202740.80002
5,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.49,0.57,0.0,0.02,0.41,5.89,2.06,0.0,0.0,2.16,30.091849188,122702804487,4.078,252515625637,2.06,30089.09,1.0,122677133337,4.077,5,56864294446,719807237,30089.12,1.0,5.0,21649851390,50206799,0.23%,0,62252636807,145,145,0,3436570,347486,10.111,104623988619,1688945,0.00%,229029,11665,5.09%,4457594,104630294598,536,0.00%,32927,49332,149.82%,0,0,490811217948,0.0,279762394230.36,9816224358.960001,201232599358.68
6,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.5,0.56,0.01,0.03,0.41,5.86,2.01,0.0,0.0,2.16,30.763923062,125451460185,4.078,252429609375,2.01,30761.01,1.0,125464539654,4.079,4,58174439988,736423493,30761.04,1.0,4.0,21653867560,102518662,0.47%,0,62252570383,144,144,0,1501524,112928,7.521,104701870747,1223769,0.00%,105997,5589,5.27%,2967074,104727784101,139,0.00%,15211,33608,220.95%,0,0,501805840740,5018058407.400001,281011270814.4,15054175222.199999,205740394703.4
7,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.49,0.57,0.01,0.02,0.41,5.89,2.06,0.0,0.0,2.08,31.135059517,122636903225,3.939,252440644765,2.06,31132.77,1.0,122647927581,3.94,3,58885382391,745427860,31132.82,1.0,5.0,21655483329,50259015,0.23%,0,62270178310,142,142,0,2983451,180317,6.044,104663051382,1653989,0.00%,201399,11884,5.90%,4490848,104749065992,364,0.00%,21645,54881,253.55%,0,0,490547612900,4905476129.0,279612139353.0,9810952258.0,201124521289.0
8,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,0.99,0.49,0.57,0.0,0.02,0.41,5.88,2.06,0.0,0.0,2.06,31.675817336,122663120861,3.873,252376151238,2.06,31672.72,1.0,122680418732,3.873,12,59494425898,753294337,31672.8,1.0,2.0,21663732077,50276152,0.23%,0,62337425312,144,144,0,2664937,185967,6.978,104745027279,1584131,0.00%,176150,7305,4.15%,3916918,104677816504,481,0.00%,108604,41256,37.99%,0,0,490652483444,0.0,279671915563.07996,9813049668.880001,201167518212.03998
9,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.49,0.57,0.0,0.02,0.41,5.89,2.06,0.0,0.0,2.07,31.381972181,122640412258,3.908,252554965137,2.06,31379.51,1.0,122658181670,3.909,3,59376438685,751607915,31379.58,1.0,5.0,21654517948,50173018,0.23%,0,62257624610,141,141,0,3052137,199724,6.544,104752680396,1658025,0.00%,214454,9705,4.53%,4333561,104530019678,488,0.00%,18977,47018,247.76%,0,0,490561649032,0.0,279620139948.24,9811232980.64,201130276103.12
10,2018-10-26,nbody_50000000_v2_original,g++-6,nbody_2_original.c 50000000,1.0,0.49,0.56,0.01,0.02,0.41,5.85,2.03,0.01,0.0,2.03,32.356165458,124371060180,3.844,252671990547,2.03,32353.87,1.0,124377943947,3.844,6,61234187559,775180472,32353.9,1.0,6.0,21696655928,50259766,0.23%,0,62422881407,143,143,0,2346280,101957,4.345,104908649919,1599618,0.00%,181458,5857,3.23%,3902400,104490702514,759,0.00%,29542,42818,144.94%,0,0,497484240720,4974842407.2,278591174803.2,9949684814.4,203968538695.19998
