test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v4.9.1,binaryTrees_1_original.js 21,54418420,0.96,0.93,0.30,0.40,0.14,0.11,5.81,1.38,0.06,3.37,2.16,54418420 ns,217572404,4.006 GHz,279260881,1.31,54.31 msec,0.998,217588833,4.006 GHz,0,100787196,1275782,54.31 msec,0.998,295 C,47005342,1732575,3.69%,67,<not,2551,2551,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v4.9.1,binaryTrees_1_original.js 21,54425293,0.93,0.94,0.30,0.40,0.14,0.11,5.78,1.38,0.06,3.38,2.16,54425293 ns,218542196,4.028 GHz,280269453,1.31,54.25 msec,0.997,218452781,4.026 GHz,3,101364187,1283090,54.26 msec,0.997,293 C,46803644,1753737,3.75%,65,<not,2550,2550,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v4.9.1,binaryTrees_1_original.js 21,56746528,0.85,0.91,0.31,0.39,0.14,0.11,5.08,1.22,0.06,3.17,2.08,56746528 ns,220586562,3.902 GHz,283753962,1.29,56.53 msec,0.996,224178702,3.965 GHz,3,103432249,1309268,56.54 msec,0.996,293 C,47712994,1934491,4.05%,64,<not,2551,2551,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v4.9.1,binaryTrees_1_original.js 21,54901126,0.92,0.91,0.31,0.39,0.14,0.11,5.77,1.37,0.06,3.32,2.15,54901126 ns,215069473,3.932 GHz,275593759,1.29,54.69 msec,0.996,214843024,3.928 GHz,2,100115156,1267280,54.70 msec,0.996,304 C,45863635,1836138,4.00%,70,<not,2550,2550,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v4.9.1,binaryTrees_1_original.js 21,55101138,0.86,0.92,0.30,0.40,0.14,0.11,5.77,1.38,0.06,3.40,2.16,55101138 ns,221376696,4.023 GHz,283339716,1.31,55.03 msec,0.999,220915068,4.014 GHz,2,102429309,1296573,55.04 msec,0.999,289 C,47221622,1758083,3.72%,62,<not,2550,2550,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v4.9.1,binaryTrees_1_original.js 21,53961150,0.84,0.91,0.31,0.40,0.14,0.11,5.85,1.39,0.06,3.36,2.16,53961150 ns,217965053,4.048 GHz,277485030,1.30,53.85 msec,0.998,218015073,4.049 GHz,2,100988291,1278332,53.84 msec,0.998,284 C,46581533,1734183,3.72%,72,<not,2551,2551,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v4.9.1,binaryTrees_1_original.js 21,54452371,0.88,0.92,0.31,0.39,0.14,0.11,5.83,1.38,0.06,3.31,2.16,54452371 ns,214709754,3.956 GHz,275311107,1.30,54.27 msec,0.997,214124092,3.945 GHz,3,99187151,1255533,54.28 msec,0.997,301 C,46149093,1819407,3.94%,76,<not,2550,2550,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v4.9.1,binaryTrees_1_original.js 21,54994511,0.87,0.90,0.31,0.39,0.14,0.13,5.78,1.38,0.06,3.32,2.16,54994511 ns,217301561,3.964 GHz,277161794,1.30,54.81 msec,0.997,216899634,3.957 GHz,3,100534400,1272582,54.83 msec,0.997,298 C,46127065,1844213,4.00%,70,<not,2550,2550,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v4.9.1,binaryTrees_1_original.js 21,172140969,0.98,1.21,0.22,0.25,0.10,0.24,5.13,1.15,0.02,1.54,1.30,172140969 ns,355445495,2.098 GHz,360473453,1.00,169.38 msec,0.984,314130094,1.855 GHz,3,311848772,3949955,169.40 msec,0.984,278 C,30830373,1166504,3.78%,12,30738693,2548,2548,0,5441281,862281,15.847,44667292,1779101,3.98%,386990,92570,23.92%,3219445,33404641,17087,0.05%,116737,155054,132.82%,0,0
10,v4.9.1,binaryTrees_1_original.js 21,54139507,0.96,0.92,0.31,0.40,0.14,0.11,5.84,1.39,0.06,3.34,2.16,54139507 ns,216900609,4.021 GHz,277505129,1.29,53.94 msec,0.996,216580262,4.015 GHz,3,100357575,1270349,53.95 msec,0.997,297 C,46246836,1724787,3.73%,71,<not,2548,2548,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
