version,release_date,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 32
g++-4.4,2012-03-13,nbody_2.c 5000000,0,1689937480,203852,nbody_2_g++-4.4,6496.0,1932.0,1760.0,100.0,0.0,316,2,309,5,0,14.2,0.8,0.0,85.0,0.0,0.0,0.0,0.0,15795.0 MiB,5413.6 MiB,2565.9 MiB,7815.5 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12330.0 MiB,
g++-4.4,2012-03-13,nbody_2.c 5000000,1,1689937481,203852,nbody_2_g++-4.4,6496.0,1932.0,1760.0,93.8,0.0,316,2,309,5,0,12.8,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15795.0 MiB,5413.2 MiB,2566.1 MiB,7815.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12329.5 MiB,
g++-4.4,2012-03-13,nbody_2.c 5000000,2,1689937482,203852,nbody_2_g++-4.4,6496.0,1932.0,1760.0,100.0,0.0,316,2,309,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5420.4 MiB,2566.9 MiB,7807.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12336.7 MiB,
g++-4.4,2012-03-13,nbody_2.c 5000000,3,1689937483,203852,nbody_2_g++-4.4,6496.0,1932.0,1760.0,93.8,0.0,316,2,309,5,0,14.1,0.8,0.0,85.2,0.0,0.0,0.0,0.0,15795.0 MiB,5420.1 MiB,2567.1 MiB,7807.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12336.5 MiB,
g++-4.4,2012-03-13,nbody_2.c 5000000,4,1689937484,203852,nbody_2_g++-4.4,6496.0,1932.0,1760.0,100.0,0.0,316,2,309,5,0,12.6,0.0,0.0,87.4,0.0,0.0,0.0,0.0,15795.0 MiB,5420.4 MiB,2566.8 MiB,7807.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12336.7 MiB,
g++-4.4,2012-03-13,nbody_2.c 5000000,5,1689937486,203852,nbody_2_g++-4.4,6496.0,1932.0,1760.0,93.8,0.0,316,2,309,5,0,12.5,1.6,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5420.1 MiB,2567.1 MiB,7807.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12336.5 MiB,
g++-4.4,2012-03-13,nbody_2.c 5000000,6,1689937487,203852,nbody_2_g++-4.4,6496.0,1932.0,1760.0,100.0,0.0,316,2,309,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5419.9 MiB,2567.3 MiB,7807.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12336.2 MiB,
g++-4.6,2013-04-12,nbody_2.c 5000000,0,1689937931,204430,nbody_2_g++-4.6,6496.0,1948.0,1776.0,100.0,0.0,318,2,311,5,0,14.3,1.6,0.0,84.1,0.0,0.0,0.0,0.0,15795.0 MiB,5417.2 MiB,2565.0 MiB,7812.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12336.5 MiB,
g++-4.6,2013-04-12,nbody_2.c 5000000,1,1689937932,204430,nbody_2_g++-4.6,6496.0,1948.0,1776.0,100.0,0.0,318,2,311,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5420.6 MiB,2569.3 MiB,7805.1 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12340.0 MiB,
g++-4.6,2013-04-12,nbody_2.c 5000000,2,1689937933,204430,nbody_2_g++-4.6,6496.0,1948.0,1776.0,93.8,0.0,318,2,311,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5418.9 MiB,2571.0 MiB,7805.1 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,12338.3 MiB,
