version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
g++-4.4 4.4.7,binaryTrees_2.c 21,1.00,0.38,0.66,0.15,0.03,0.16,7.10,2.59,0.01,2.07,1.91,18596954876 ns,66997895866,3.603 GHz,173259364773,2.58,18595.18 msec,1.000,67019710875,3.604 GHz,5,35104332150,444401711,18595.19 msec,1.000,37 C,37629290375,54156951,0.14%,0,30134621281,65663,65663,0,802420537,293848666,36.620,52026821171,616904060,1.19%,97696059,38741795,39.66%,4005737,51756770082,3638899,0.01%,118226,2162148,1828.83%,0,0
g++-4.6 4.6.4,binaryTrees_2.c 21,1.00,0.37,0.66,0.18,0.03,0.13,7.15,2.69,0.00,2.20,1.90,18007541770 ns,64644483294,3.591 GHz,174097765392,2.70,18000.96 msec,1.000,64712778946,3.595 GHz,2,33983451576,430193569,18000.96 msec,1.000,36 C,37961007958,53939690,0.14%,0,30352406946,65664,65664,0,793749824,305185398,38.449,51860700849,612257142,1.18%,95023966,38645114,40.67%,4631044,51551911059,3252867,0.01%,63657,559085,878.28%,0,0
g++-4.7 4.7.4,binaryTrees_2.c 21,1.00,0.37,0.66,0.18,0.03,0.12,7.18,2.70,0.01,2.15,1.89,18042128073 ns,64626900187,3.583 GHz,173823285665,2.69,18038.59 msec,1.000,64769511070,3.591 GHz,0,34046185803,431023551,18038.60 msec,1.000,36 C,37944795175,55898108,0.15%,0,30629957372,65663,65663,0,810119613,301951817,37.272,51928544975,604005073,1.16%,93955528,37879825,40.32%,4053486,51846306287,3294340,0.01%,37944,546738,1440.91%,0,0
g++-4.8 4.8.5,binaryTrees_2.c 21,1.00,0.37,0.66,0.18,0.03,0.13,7.14,2.67,0.00,2.17,1.89,18088325802 ns,64390607689,3.561 GHz,172764570737,2.67,18083.19 msec,1.000,64485340343,3.566 GHz,3,34134872140,432077222,18083.18 msec,1.000,37 C,37728421785,55330569,0.15%,0,30487949465,65665,65665,0,805723676,309510849,38.414,51775216160,612901760,1.18%,95521591,36437867,38.15%,4192323,51762332946,3239985,0.01%,54917,588153,1070.99%,0,0
g++-4.9 4.9.3,binaryTrees_2.c 21,1.00,0.37,0.67,0.17,0.03,0.13,7.25,2.73,0.00,2.18,1.89,17854274971 ns,63693421125,3.568 GHz,173407931430,2.72,17850.63 msec,1.000,63699834980,3.568 GHz,5,33695441274,426540967,17850.62 msec,1.000,37 C,37595456348,53606032,0.14%,0,29950532131,65664,65664,0,808081563,304588150,37.693,51665008899,613678788,1.19%,97227044,36376489,37.41%,4247373,51831579223,3102186,0.01%,59186,561771,949.16%,0,0
g++-5 5.5.0,binaryTrees_2.c 21,1.00,0.37,0.67,0.16,0.03,0.14,7.25,2.74,0.00,2.15,1.88,17979431578 ns,63860595655,3.552 GHz,174425568706,2.72,17977.20 msec,1.000,63894640043,3.554 GHz,4,33953642039,429786949,17977.21 msec,1.000,38 C,37856265264,62873758,0.17%,0,30374123669,65665,65665,0,819750716,302775981,36.935,52049672692,616205961,1.18%,95515443,36226172,37.93%,3872484,51894238215,4956478,0.01%,56702,548258,966.91%,0,0
g++-6 6.5.0,binaryTrees_2.c 21,1.00,0.37,0.67,0.17,0.03,0.11,7.12,2.70,0.00,2.16,1.90,18353490681 ns,65769012952,3.584 GHz,178367064957,2.72,18351.58 msec,1.000,65746769634,3.583 GHz,7,34620351862,438298503,18351.59 msec,1.000,38 C,38550096256,55162406,0.14%,0,30159616598,65666,65666,0,794979874,300521843,37.802,52220390744,609915158,1.17%,93580632,36640263,39.15%,3968173,52683763179,4279714,0.01%,85261,589362,691.24%,0,0
g++-7 7.5.0,binaryTrees_2.c 21,1.00,0.37,0.67,0.18,0.03,0.13,7.08,2.71,0.00,2.15,1.91,18307099901 ns,65827953057,3.596 GHz,177789713952,2.70,18304.49 msec,1.000,65887861188,3.600 GHz,2,34550815433,437407613,18304.50 msec,1.000,36 C,38865829799,55096327,0.14%,0,30289042312,65663,65663,0,820402864,319068821,38.892,52336148399,614931217,1.17%,95024435,35550005,37.41%,4133250,52431468954,4639198,0.01%,65939,558951,847.68%,0,0
g++-8 ,binaryTrees_2.c 21,1.00,0.37,0.67,0.18,0.03,0.13,7.12,2.71,0.00,2.18,1.90,18443103505 ns,66021133676,3.580 GHz,177475392814,2.68,18440.69 msec,1.000,66093095132,3.584 GHz,4,34810820511,440702142,18440.71 msec,1.000,35 C,38993322547,63763116,0.16%,0,30401566883,65664,65664,0,801106351,322026392,40.198,52228983298,623061394,1.19%,100880309,38708340,38.37%,4050149,52408802138,3365038,0.01%,61153,550134,899.60%,0,0
g++-9 9.5.0,binaryTrees_2.c 21,0.99,0.37,0.67,0.18,0.03,0.12,6.95,2.68,0.00,2.01,1.84,19334664567 ns,67048548001,3.468 GHz,180136768268,2.67,19332.07 msec,1.000,67237349138,3.478 GHz,5,36397227343,460784828,19332.08 msec,1.000,38 C,38918253540,55437420,0.14%,0,30845115540,65663,65663,0,831046993,341563444,41.100,52386793807,613196384,1.17%,97292510,41193658,42.34%,4354553,52174364710,4456520,0.01%,95140,557000,585.45%,0,0
