version,release_date,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 32
1.8.0_362,2023-04-18,binarytrees.java 21,0,1690643820,1194414,java,6832680,231964,18528,418.8,1.4,366,1,316,49,0,50.4,6.7,0.0,43.0,0.0,0.0,0.0,0.0,15795.0 MiB,6848.6 MiB,2214.5 MiB,6732.0 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12772.4 MiB,
1.8.0_362,2023-04-18,binarytrees.java 21,1,1690643821,1194414,java,7365160,590440,18588,650.0,3.7,366,1,316,49,0,74.2,8.1,0.0,17.7,0.0,0.0,0.0,0.0,15795.0 MiB,6503.3 MiB,2559.7 MiB,6732.0 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12427.1 MiB,
1.8.0_362,2023-04-18,binarytrees.java 21,2,1690643822,1194414,java,7365160,1000000,18652,462.5,6.8,366,1,316,49,0,57.5,3.0,0.0,38.8,0.7,0.0,0.0,0.0,15795.0 MiB,6001.0 MiB,3062.0 MiB,6732.0 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,11924.9 MiB,
9.0.4,2018-01-16,binarytrees.java 21,0,1690644209,1195473,java,7962284,167528,17488,362.5,1.0,357,1,307,49,0,42.0,6.1,0.0,51.9,0.0,0.0,0.0,0.0,15795.0 MiB,6972.2 MiB,2092.9 MiB,6729.9 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12898.0 MiB,
9.0.4,2018-01-16,binarytrees.java 21,1,1690644210,1195473,java,8494764,2100000,17680,781.2,13.6,357,1,307,49,0,96.2,1.5,0.0,2.3,0.0,0.0,0.0,0.0,15795.0 MiB,4980.8 MiB,4084.1 MiB,6730.1 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,10906.6 MiB,
10.0.2,2018-07-17,binarytrees.java 21,0,1690644596,1196574,java,7954164,190612,18196,387.5,1.2,357,1,307,49,0,47.4,5.3,0.0,47.4,0.0,0.0,0.0,0.0,15795.0 MiB,6934.5 MiB,2128.5 MiB,6732.0 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12862.4 MiB,
10.0.2,2018-07-17,binarytrees.java 21,1,1690644598,1196574,java,8486644,2100000,18196,705.9,13.7,357,1,307,49,0,93.2,2.0,0.0,4.8,0.0,0.0,0.0,0.0,15795.0 MiB,4940.2 MiB,4122.7 MiB,6732.1 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,10868.1 MiB,
11.0.19,2020-10-20,binarytrees.java 21,0,1690644982,1197486,java,7273160,289012,27504,394.1,1.8,358,1,308,49,0,48.1,9.2,0.0,42.7,0.0,0.0,0.0,0.0,15795.0 MiB,6830.4 MiB,2230.9 MiB,6733.7 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12760.1 MiB,
11.0.19,2020-10-20,binarytrees.java 21,1,1690644983,1197486,java,7805640,2300000,27824,493.8,14.8,358,1,308,49,0,63.5,1.5,0.0,35.0,0.0,0.0,0.0,0.0,15795.0 MiB,4764.7 MiB,4296.3 MiB,6734.0 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,10694.5 MiB,
12.0.2,2019-07-16,binarytrees.java 21,0,1690645367,1198429,java,7290468,280400,25860,331.2,1.7,357,1,307,49,0,36.6,9.9,0.0,53.4,0.0,0.0,0.0,0.0,15795.0 MiB,6849.6 MiB,2208.5 MiB,6736.8 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12782.4 MiB,
12.0.2,2019-07-16,binarytrees.java 21,1,1690645368,1198429,java,7822948,2200000,25996,475.0,14.2,357,1,307,49,0,62.5,2.2,0.0,35.3,0.0,0.0,0.0,0.0,15795.0 MiB,4864.9 MiB,4193.1 MiB,6737.0 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,10797.8 MiB,
13.0.2,2020-01-14,binarytrees.java 21,0,1690645752,1199350,java,7267920,300760,25372,350.0,1.9,357,1,307,49,0,39.7,7.6,0.0,52.7,0.0,0.0,0.0,0.0,15795.0 MiB,6814.4 MiB,2239.5 MiB,6741.2 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12751.6 MiB,
13.0.2,2020-01-14,binarytrees.java 21,1,1690645753,1199350,java,7800400,2000000,25564,500.0,13.2,357,1,307,49,0,68.8,1.4,0.0,29.9,0.0,0.0,0.0,0.0,15795.0 MiB,4995.5 MiB,4058.0 MiB,6741.5 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,10932.8 MiB,
14.0.2,2020-07-14,binarytrees.java 21,0,1690646137,1200269,java,7337392,330376,25160,413.3,2.0,357,1,307,49,0,41.3,7.9,0.0,50.8,0.0,0.0,0.0,0.0,15795.0 MiB,6758.9 MiB,2292.5 MiB,6743.5 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12698.4 MiB,
14.0.2,2020-07-14,binarytrees.java 21,1,1690646138,1200269,java,7869872,2000000,25596,456.2,13.2,357,1,307,49,0,56.0,1.5,0.0,42.5,0.0,0.0,0.0,0.0,15795.0 MiB,4983.1 MiB,4068.2 MiB,6743.7 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,10922.6 MiB,
15.0.2,2021-01-19,binarytrees.java 21,0,1690646523,1201916,java,7330808,317332,24448,413.3,2.0,358,1,308,49,0,39.0,8.2,0.0,52.7,0.0,0.0,0.0,0.0,15795.0 MiB,6798.9 MiB,2251.0 MiB,6745.1 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12740.1 MiB,
15.0.2,2021-01-19,binarytrees.java 21,1,1690646525,1201916,java,7863288,2300000,25024,487.5,14.8,358,1,308,49,0,60.4,3.7,0.0,35.8,0.0,0.0,0.0,0.0,15795.0 MiB,4771.6 MiB,4277.9 MiB,6745.4 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,10712.8 MiB,
16.0.2,2021-07-20,binarytrees.java 21,0,1690646908,1202826,java,7387560,307072,26648,331.2,1.9,356,1,306,49,0,38.3,3.9,0.0,57.8,0.0,0.0,0.0,0.0,15795.0 MiB,6760.9 MiB,2286.1 MiB,6747.9 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12704.9 MiB,
16.0.2,2021-07-20,binarytrees.java 21,1,1690646909,1202826,java,7920040,1700000,26900,452.9,10.9,357,1,307,49,0,62.3,2.1,0.0,35.6,0.0,0.0,0.0,0.0,15795.0 MiB,5333.1 MiB,3713.6 MiB,6748.3 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,11277.1 MiB,
17.0.7,2023-04-18,binarytrees.java 21,0,1690647292,1203762,java,7456008,308496,28144,368.8,1.9,357,1,307,49,0,41.1,7.8,0.0,51.2,0.0,0.0,0.0,0.0,15795.0 MiB,6830.5 MiB,2213.9 MiB,6750.6 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12776.9 MiB,
17.0.7,2023-04-18,binarytrees.java 21,1,1690647293,1203762,java,7988488,1700000,28480,462.5,10.9,357,1,307,49,0,59.3,0.7,0.0,40.0,0.0,0.0,0.0,0.0,15795.0 MiB,5403.9 MiB,3640.5 MiB,6750.5 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,11350.4 MiB,
18.0.2-ea,2022-07-19,binarytrees.java 21,0,1690647676,1204690,java,7455200,306756,28316,325.0,1.9,357,1,307,49,0,37.3,8.2,0.0,54.5,0.0,0.0,0.0,0.0,15795.0 MiB,6816.2 MiB,2224.5 MiB,6754.3 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12766.4 MiB,
18.0.2-ea,2022-07-19,binarytrees.java 21,1,1690647678,1204690,java,7987680,1700000,28384,500.0,10.8,357,1,307,49,0,63.0,2.9,0.0,34.1,0.0,0.0,0.0,0.0,15795.0 MiB,5401.9 MiB,3638.6 MiB,6754.5 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,11352.1 MiB,
19.0.2,2023-01-17,binarytrees.java 21,0,1690648061,1205613,java,7465516,306872,28376,329.4,1.9,357,1,307,49,0,38.5,7.4,0.0,54.1,0.0,0.0,0.0,0.0,15795.0 MiB,6829.7 MiB,2209.5 MiB,6755.8 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12781.6 MiB,
19.0.2,2023-01-17,binarytrees.java 21,1,1690648062,1205613,java,7997996,1600000,28476,462.5,10.7,357,1,307,49,0,59.7,0.7,0.0,39.6,0.0,0.0,0.0,0.0,15795.0 MiB,5440.5 MiB,3598.3 MiB,6756.2 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,11392.4 MiB,
20.0.2,2023-07-18,binarytrees.java 21,0,1690648445,1206549,java,7330708,303720,20560,362.5,1.9,357,1,307,49,0,39.7,11.0,0.0,49.3,0.0,0.0,0.0,0.0,15795.0 MiB,6798.0 MiB,2238.2 MiB,6758.7 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,12752.8 MiB,
20.0.2,2023-07-18,binarytrees.java 21,1,1690648446,1206549,java,7863188,1700000,20876,481.2,10.9,357,1,307,49,0,61.0,1.5,0.0,37.5,0.0,0.0,0.0,0.0,15795.0 MiB,5375.4 MiB,3660.9 MiB,6758.7 MiB,4096.0 MiB,1426.4 MiB,2669.6 MiB,11330.2 MiB,
