test,release_date,path,version,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 44
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,0,1695029768,2588742,nbody_2_g++-4.4,0:00.16,6647808,2064384,1884160,100.0,0.0,1.0,0.0,0:00,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,13.4,1.5,0.0,85.1,0.0,0.0,0.0,0.0,15794.9 MiB,3245.2 MiB,2046.6 MiB,10503.1 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13112.5 MiB,
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,1,1695029769,2588742,nbody_2_g++-4.4,0:01.34,6647808,2064384,1884160,100.0,0.0,1.0,0.0,0:01,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,3244.7 MiB,2046.8 MiB,10503.3 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13112.1 MiB,
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,2,1695029771,2588742,nbody_2_g++-4.4,0:02.51,6647808,2064384,1884160,100.0,0.0,1.0,0.0,0:02,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,3252.4 MiB,2047.0 MiB,10495.5 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13119.7 MiB,
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,3,1695029772,2588742,nbody_2_g++-4.4,0:03.68,6647808,2064384,1884160,100.0,0.0,1.0,0.0,0:03,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,13.1,0.8,0.0,86.2,0.0,0.0,0.0,0.0,15794.9 MiB,3252.6 MiB,2046.8 MiB,10495.5 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13120.0 MiB,
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,4,1695029773,2588742,nbody_2_g++-4.4,0:04.85,6647808,2064384,1884160,93.8,0.0,1.0,0.0,0:04,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,3252.6 MiB,2046.8 MiB,10495.5 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13120.0 MiB,
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,5,1695029774,2588742,nbody_2_g++-4.4,0:06.02,6647808,2064384,1884160,93.8,0.0,1.0,0.0,0:06,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,3252.4 MiB,2047.0 MiB,10495.5 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13119.7 MiB,
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,6,1695029775,2588742,nbody_2_g++-4.4,0:07.20,6647808,2064384,1884160,100.0,0.0,1.0,0.0,0:07,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,3252.8 MiB,2046.5 MiB,10495.5 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13120.2 MiB,
1,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,7,1695029776,2588742,nbody_2_g++-4.4,0:08.37,6647808,2064384,1884160,100.0,0.0,1.0,0.0,0:08,0,0,569344,0,208896,0.0,2064384,321,2,281,38,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15794.9 MiB,3252.6 MiB,2046.8 MiB,10495.5 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13120.0 MiB,
2,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,0,1695029778,2588791,nbody_2_g++-4.4,0:00.16,6647808,1961984,1785856,93.8,0.0,1.0,0.0,0:00,0,0,569344,0,212992,0.0,1961984,321,2,281,38,0,13.5,1.5,0.0,85.0,0.0,0.0,0.0,0.0,15794.9 MiB,3251.4 MiB,2040.1 MiB,10503.4 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13118.8 MiB,
2,2012-03-13,nbody_50000000_O3flag,g++-4.4,nbody_2.c 50000000,1,1695029779,2588791,nbody_2_g++-4.4,0:01.33,6647808,1961984,1785856,93.8,0.0,1.0,0.0,0:01,0,0,569344,0,212992,0.0,1961984,321,2,281,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,3251.9 MiB,2039.5 MiB,10503.5 MiB,4096.0 MiB,3628.7 MiB,467.2 MiB,13119.3 MiB,
