test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend
1,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.23,0.22,0.06,0.01,0.72,3.35,0.76,0.03,7.77,1.75,3.914593158,78393796135,3.173,59523281808,0.76,24705.2,6.311,78825919832,3.191,479,45086412043,572402638,24706.54,6.311,1189.0,10128317671,35508984,0.35%,4,11983525179,245205,245036,8,907967751,602432726,66.35,14791720419,453335369,3.06%,35403656,21854510,61.73%,39069509,14756651069,6798531,0.05%,342539,769495,224.64%,0,0,313575184540,18814511072.399998,68986540598.8,3135751845.4,225774132868.8
2,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.23,0.21,0.07,0.01,0.72,3.24,0.75,0.03,8.12,1.79,3.875435384,79650815144,3.233,60708580213,0.76,24638.24,6.358,80053595606,3.249,432,44761577030,565638853,24639.48,6.358,1081.0,10106450589,40258987,0.40%,0,12155445115,257251,257096,8,825900675,634370523,76.81,15218450647,463388130,3.04%,32220295,22894057,71.05%,11323891,15152544512,6252779,0.04%,60253,212074,351.97%,0,0,318603260576,22302228240.320004,66906684720.96,3186032605.76,229394347614.72
3,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.22,0.21,0.07,0.01,0.72,3.38,0.73,0.03,7.85,1.78,3.852879965,76828655715,3.169,57047747018,0.73,24239.95,6.291,77002935350,3.177,410,43187567723,548837572,24241.15,6.292,982.0,9652240228,36169227,0.37%,0,11612888956,249692,249529,8,804285204,618706853,76.926,14806338271,451820483,3.05%,33094413,22180387,67.02%,29116853,14919260667,5972085,0.04%,738268,826942,112.01%,0,227,307314622860,21512023600.2,64536070800.6,3073146228.6,221266528459.19998
4,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.21,0.22,0.08,0.01,0.71,3.29,0.76,0.03,8.26,1.78,3.932937498,80245929820,3.221,60763295554,0.76,24911.29,6.334,80311644940,3.224,424,45545359484,575731557,24912.47,6.334,862.0,9993515105,38179230,0.38%,0,12483123258,269575,269423,12,854903498,638498999,74.687,15266472488,449611250,2.95%,32034141,23076383,72.04%,14740255,15366761075,6199495,0.04%,55879,190920,341.67%,0,25,320983719280,25678697542.4,70616418241.6,3209837192.8,227898440688.8
5,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.06,0.26,0.09,0.01,0.65,3.32,0.96,0.03,7.21,1.31,4.23270109,64198327149,2.4,59971817742,0.94,26750.14,6.32,64513688349,2.412,456,49258990385,622422054,26751.64,6.32,1058.0,10034391632,39341192,0.39%,8,11851088664,266945,266779,8,962644628,627662226,65.202,14358083756,472804739,3.29%,28417113,15011641,52.83%,32618161,14291998510,6451199,0.05%,802986,656980,81.82%,0,28,256793308596,23111397773.64,66766260234.96,2567933085.96,166915650587.4
6,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.07,0.25,0.09,0.01,0.65,3.35,0.95,0.03,6.76,1.19,4.600711854,65840697564,2.187,62974751994,0.97,30103.02,6.543,66145484945,2.197,471,55671820032,703859660,30104.52,6.543,1072.0,10358141930,41765322,0.40%,0,12495153863,284405,284241,8,981335751,648143731,66.047,14950041058,492108794,3.29%,28358644,15012730,52.94%,29714811,14664925542,6319883,0.04%,732407,608441,83.07%,0,2,263362790256,23702651123.04,65840697564.0,2633627902.56,171185813666.4
7,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.07,0.25,0.09,0.01,0.65,3.4,0.95,0.03,6.43,1.2,4.597466815,64655152377,2.186,61199666779,0.95,29582.24,6.434,64878637142,2.193,438,54111265781,683455414,29583.87,6.435,1067.0,10217670390,41338734,0.40%,0,12313978594,269993,269819,12,935329042,638925913,68.31,14691443885,484327279,3.30%,27856543,15009029,53.88%,35523598,14634713543,6529332,0.04%,727825,712733,97.93%,0,173,258620609508,23275854855.719997,64655152377.0,2586206095.08,168103396180.2
8,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.05,0.25,0.07,0.01,0.67,3.49,0.96,0.03,6.69,1.21,4.516683566,64621270435,2.205,61203506666,0.95,29307.72,6.489,65045057531,2.219,425,53736680937,680691029,29309.27,6.489,1085.0,10476502734,44352768,0.42%,0,11961510202,276047,275886,8,909426255,600398247,66.019,14537175189,463914401,3.19%,30080763,17626461,58.60%,25457396,14716717215,6019594,0.04%,458541,779974,170.10%,0,6,258485081740,18093955721.800003,64621270435.0,2584850817.4,173185004765.80002
9,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.05,0.26,0.08,0.01,0.66,3.45,0.94,0.03,6.62,1.21,4.520773903,64136402358,2.199,59985044601,0.93,29163.05,6.451,64195994222,2.201,420,52841542662,668628512,29164.68,6.451,1077.0,10045539408,41574865,0.41%,4,11814984882,264631,264465,8,903107975,613892232,67.976,14651626941,474364705,3.24%,28802400,17534788,60.88%,18377385,14751336113,6303178,0.04%,329219,297934,90.50%,0,0,256545609432,20523648754.56,66701858452.32,2565456094.32,169320102225.12
10,2023-07-18,binaryTrees_21_v7_original,1.8.0_382,binarytrees.java 21,0.99,1.05,0.25,0.09,0.01,0.65,3.36,0.96,0.03,6.58,1.21,4.60203287,65940324116,2.199,61540175883,0.93,29983.39,6.515,66219200416,2.208,457,55142172176,694793359,29984.98,6.516,1061.0,10022342130,39879050,0.40%,0,11688523776,279331,279177,8,936522226,608752671,65.001,14652931710,479105643,3.27%,27729066,16103694,58.08%,25830422,14987267016,6383304,0.04%,670388,567381,84.63%,0,4,263761296464,23738516681.76,65940324116.0,2637612964.64,171444842701.6
1,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.94,0.28,0.07,0.01,0.64,3.86,1.07,0.07,9.69,1.72,2.983839462,52792491626,3.086,55458820816,1.06,17104.74,5.732,52964730759,3.096,240,30669439401,383385640,17106.04,5.733,1706.0,8991323612,23295328,0.26%,8,11446085456,583850,583800,8,865510870,569282553,65.774,15486372064,496661720,3.21%,32584129,16895659,51.85%,31442651,15052835051,10780279,0.07%,724534,960305,132.54%,0,0,211169966504,14781897655.28,59127590621.12,2111699665.04,135148778562.56
2,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.96,0.27,0.09,0.01,0.63,3.77,1.07,0.06,10.1,1.77,2.982194531,53509586612,3.139,57011413642,1.09,17047.91,5.717,54176176820,3.178,241,30533851915,384138016,17049.3,5.717,1523.0,9107330657,27765142,0.30%,0,11703049509,549008,548954,8,874402004,583850842,66.771,15200185540,476352250,3.13%,32168624,17671802,54.93%,29070226,14930874320,11001643,0.07%,506360,1017738,200.99%,0,4,214038346448,19263451180.32,57790353540.96001,2140383464.48,134844158262.24
3,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.92,0.29,0.08,0.01,0.63,3.88,1.1,0.07,10.07,1.71,2.975899239,52041837523,3.082,55924196412,1.1,16883.31,5.673,52469169419,3.108,220,30740329436,386510745,16884.37,5.674,1381.0,9134389279,24393247,0.27%,0,11945045949,565006,564956,8,822719225,579735589,70.466,14981067379,455354181,3.04%,33443729,18201644,54.42%,33679987,14472141590,11221865,0.08%,772412,706272,91.44%,0,0,208167350092,16653388007.36,60368531526.67999,2081673500.92,131145430557.96
4,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.94,0.28,0.09,0.01,0.63,3.72,1.06,0.07,9.9,1.74,2.97554216,52125286875,3.043,56090308334,1.07,17130.05,5.757,52453069044,3.062,278,30033777679,377451528,17131.36,5.757,1317.0,8992095761,26287996,0.29%,8,11601624618,546686,546636,8,862412613,578030846,67.025,15067078066,465617068,3.09%,33440436,18842834,56.35%,33731270,15122449399,9706315,0.06%,1058944,840363,79.36%,0,0,208501147500,18765103275.0,58380321300.00001,2085011475.0,131355722925.0
5,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.93,0.28,0.07,0.01,0.64,3.82,1.09,0.08,9.85,1.71,3.034471815,51967310327,3.03,56563820871,1.09,17150.27,5.652,52394072257,3.055,262,30625537482,386838908,17151.47,5.652,1370.0,9224176732,23344765,0.25%,0,12002801113,611542,611494,8,849439549,591574047,69.643,14956777928,469674869,3.14%,29716479,15339845,51.62%,34854566,14975252471,12767860,0.09%,925976,530586,57.30%,0,16,207869241308,14550846891.560001,58203387566.240005,2078692413.0800002,133036314437.12001
6,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.7,0.37,0.08,0.01,0.53,4.14,1.46,0.09,8.76,1.08,3.463046018,38185551478,1.902,54951017514,1.42,20072.28,5.796,38629307232,1.924,382,35652127748,448348602,20074.13,5.797,1528.0,8785527975,15759094,0.18%,4,11437258758,605133,605078,8,941124900,592107417,62.915,14762597482,488773641,3.31%,30212378,12038114,39.84%,61383726,14438910392,11693910,0.08%,1511369,929981,61.53%,0,4,152742205912,12219376472.960001,56514616187.44,1527422059.1200001,80953369133.36
7,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.68,0.38,0.09,0.01,0.53,3.98,1.44,0.1,9.05,1.09,3.446015284,38593208010,1.946,55247540001,1.45,19835.25,5.756,38588296718,1.945,274,35541166100,446857708,19836.65,5.756,1526.0,8677719113,19852832,0.23%,0,11407060526,606549,606504,8,873023667,566020860,64.835,14601481709,479806723,3.29%,28581581,11956697,41.83%,37644846,14730014185,12114107,0.08%,496814,318115,64.03%,0,3,154372832040,13893554883.6,58661676175.2,1543728320.4,81817600981.2
8,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.71,0.37,0.12,0.01,0.52,3.61,1.38,0.09,8.82,1.1,3.511987961,40736701650,1.967,56577476718,1.41,20706.2,5.896,40951460763,1.978,304,37314375005,469505362,20707.55,5.896,1542.0,8929258040,22231406,0.25%,0,11776478407,540238,540176,8,907517435,584105468,64.363,14904467668,486698894,3.27%,25985198,9600449,36.95%,31190247,15130568212,11134069,0.07%,1140504,648953,56.90%,0,0,162946806600,19553616792.0,60290318442.0,1629468066.0,84732339432.0
9,2018-01-16,binaryTrees_21_v7_original,9.0.4,binarytrees.java 21,0.99,0.71,0.37,0.09,0.01,0.53,3.93,1.41,0.09,9.03,1.1,3.516227936,40178780359,1.965,56486884553,1.42,20448.16,5.815,40310038466,1.971,304,36924808890,462168683,20449.35,5.816,1576.0,8744097201,22004287,0.25%,8,11340710958,630762,630709,8,879044083,570087505,64.853,14855579027,486455772,3.27%,27115236,11997550,44.25%,30056434,14815232106,12609066,0.09%,487311,532674,109.31%,0,4,160715121436,14464360929.24,59464594931.32,1607151214.3600001,85179014361.08
