python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,fibonacci.py 100000,0.0641568,1510.8,1686822158.290534,0.00,0.00,1627.90,52.72,3080.00,1897.10,0.70,795.70,0.00,33.00,1712.60,1264.80,284.40,162.60,1.20,7.60,0.00,0.00,0.10,16.62,18.45,6.71,5.87,0.02,0.17,0.00,0.00,44.13,2.00,1.13,0.01,62.70,63.10,87.99,300.00,300.00,292.81,99.56,10.60,10.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.13,0.01,0.11,0.00,0.00
Python 2.7.18,fibonacci.py 100000,0.0701026,1383.2,1686822159.525923,0.00,0.00,1409.80,48.53,2900.00,1899.20,0.69,760.10,0.00,24.70,2121.20,1468.90,263.80,129.40,0.30,18.60,0.00,0.00,0.07,19.27,18.29,5.42,7.17,0.01,2.02,0.00,0.00,45.23,1.31,4.27,0.66,61.90,62.30,91.09,300.00,300.00,276.77,99.12,8.27,8.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.99,0.01,0.11,0.00,0.00
Python 3.0.1,fibonacci.py 100000,0.0650912,1413.3,1686822160.654875,0.00,0.00,640.10,22.01,2900.00,1900.30,0.97,414.80,0.00,6.90,544.40,388.10,120.70,196.50,0.30,109.90,0.00,1.40,0.02,6.09,5.13,5.05,21.11,0.02,40.64,0.00,0.35,28.21,11.24,20.81,17.72,60.90,61.30,88.68,300.00,300.00,152.11,98.43,11.14,11.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.56,0.01,0.07,0.00,0.00
Python 3.4.10,fibonacci.py 100000,0.0579027,1956.4,1686822161.656627,0.00,0.00,621.20,18.96,3335.90,1887.10,0.98,351.90,0.00,2.90,404.90,191.20,105.80,205.60,0.00,104.70,0.00,1.40,0.01,5.88,4.41,5.14,22.35,0.00,42.54,0.00,0.52,29.37,12.14,22.23,17.30,65.30,66.10,85.97,300.00,300.00,136.45,97.66,12.46,12.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.62,0.01,0.06,0.00,0.00
Python 3.5.10,fibonacci.py 100000,0.0574364,1298.5,1686822162.618448,0.00,0.00,641.50,20.03,3435.20,1894.40,0.98,375.10,0.00,3.50,334.20,221.80,124.60,232.10,0.10,95.50,0.00,1.80,0.02,4.38,5.40,6.11,22.62,0.00,40.53,0.00,1.01,29.70,12.95,22.98,14.35,66.70,67.70,86.32,300.00,300.00,140.40,97.79,12.64,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.70,0.01,0.06,0.00,0.00
Python 3.6.15,fibonacci.py 100000,0.0536119,1135.3,1686822163.593741,0.00,0.00,673.60,18.59,3648.30,1898.30,0.99,350.00,0.00,3.00,144.80,225.60,169.60,253.40,0.00,85.40,0.00,2.30,0.01,3.05,6.03,8.20,25.02,0.00,37.60,0.00,1.71,30.42,13.25,22.95,14.78,70.60,71.60,87.63,300.00,300.00,136.71,98.17,11.59,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.74,0.01,0.05,0.00,0.00
Python 3.7.16,fibonacci.py 100000,0.305128,3010.8,1686822167.102108,0.00,0.00,638.80,19.20,3412.10,1890.90,1.64,1056.30,0.00,12.70,721.80,557.50,259.30,340.30,0.40,264.90,1.70,101.90,0.01,2.09,2.71,2.04,5.98,0.01,25.99,0.62,41.06,20.20,2.60,5.54,52.46,67.40,68.50,96.31,300.00,300.00,131.45,98.85,3.18,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,4.12,0.01,0.33,0.00,0.00
Python 3.8.16,fibonacci.py 100000,0.309214,3223.6,1686822170.669098,0.00,0.00,618.40,19.00,3372.80,1889.60,1.63,934.80,0.00,9.40,803.00,660.30,332.70,411.40,0.40,336.30,0.90,106.60,0.01,2.23,3.22,2.46,6.82,0.02,31.63,0.11,34.14,21.78,2.75,5.88,50.60,71.30,71.70,96.24,300.00,300.00,132.08,98.60,2.92,2.90,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.05,4.10,0.01,0.33,0.00,0.00
Python 3.9.16,fibonacci.py 100000,0.306302,4382.4,1686822174.224200,0.00,0.00,607.00,17.95,3427.20,1885.00,1.67,875.30,0.00,12.50,1066.10,543.70,124.80,238.70,0.40,325.10,2.10,90.40,0.01,3.00,2.16,1.04,5.50,0.00,33.57,0.40,35.85,20.38,1.71,6.00,53.95,71.90,72.20,95.74,300.00,300.00,127.50,98.48,2.91,2.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.96,4.01,0.01,0.33,0.00,0.00
Python 3.10.11,fibonacci.py 100000,0.310958,6164.9,1686822177.829274,0.00,0.00,575.70,16.09,3610.50,1882.20,1.66,761.20,0.00,9.30,973.70,487.80,102.90,188.20,0.70,320.20,1.10,117.50,0.01,2.60,2.12,0.86,4.14,0.02,31.09,0.12,42.27,19.84,1.89,4.91,57.27,72.50,73.70,95.38,300.00,300.00,118.47,97.91,2.81,2.78,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,4.03,0.01,0.32,0.00,0.00
Python 3.11.3,fibonacci.py 100000,0.295583,4568.5,1686822181.283924,0.00,0.00,582.90,17.32,3420.50,1889.10,1.69,827.60,0.00,53.20,990.40,474.00,101.70,193.70,1.20,282.70,1.50,94.30,0.01,2.87,1.64,0.88,4.61,0.03,30.61,0.20,41.49,19.26,1.97,5.08,56.37,73.40,75.20,95.59,300.00,300.00,123.98,97.93,3.03,3.01,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.75,3.79,0.01,0.32,0.00,0.00
Python 3.12.0b1,fibonacci.py 100000,0.301191,3401.8,1686822184.771388,0.00,0.00,589.00,17.28,3504.50,1892.80,1.68,794.30,0.00,5.90,727.30,536.50,248.70,306.70,0.00,257.30,1.70,118.50,0.00,2.17,2.52,1.82,5.54,0.00,25.66,0.27,44.55,20.04,2.37,5.23,55.08,74.10,75.00,95.52,300.00,300.00,124.01,98.40,3.22,3.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02,4.00,0.01,0.32,0.00,0.00
