path,version,release_date,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J,Avg_MHz,Busy%,IPC,IRQ,POLL,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,Totl%C0,Any%C0,GFX%C0,CPUGFX%,time_elapsed_sec,CPU_Utilization,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend,CPI,ILP,IPC_perf,cycles,freq_cycles_GHz,instructions,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,cycles,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,SWAP,CODE,DATA,nMaj,nDRT,USED
nbody_50000000_original,6.17.1,2019-04-03,14.9844835,267.87,230.32999999999998,8.995000000000001,0.09,503.0,12.625,3.08,21031.0,25.5,0.095,0.045,0.025,0.32,0.0,5.2,7.73,73.195,13.73,0.03,0.505,73.035,92.0,93.0,98.95,101.16,99.035,0.76,0.745,15.172204779000001,0.99,0.69,0.3,0.0,0.01,237453627010.0,71225919421.8,163799739977.75998,0.0,2374536270.1,0.32,6.62,3.12,59363406752.5,3.918,185546961987.0,0.0,0.03,2.08,59363406752.5,185546961987.0,3.13,15170.97,1.0,59356531525.5,3.916,10.0,28586299330.5,361859390.5,15170.994999999999,1.0,145.0,38499193680.5,965001.0,0.0,26017982255.0,2449.0,2449.0,0.0,1372631.5,132646.0,9.773499999999999,51720692740.5,750239.0,93775.0,7314.5,2121896.0,51727336912.5,1145.5,86858.0,14314.5,7.2,749957120.0,27463680.0,19693568.0,100.0,0.2,6.0,3.0,0.0,25296896.0,45113344.0,0.0,0.0,27463680.0
nbody_50000000_original,7.10.1,2017-07-11,153.417802,1834.145,1421.4250000000002,156.425,0.23,416.0,12.64,2.51,69990.5,47.5,0.02,0.015,0.005,0.07,0.0,2.16,0.07,85.005,12.965,0.01,0.12,74.25999999999999,77.0,77.0,99.33,101.155,99.79,0.24,0.24,153.93866039350002,1.0,0.59,0.36,0.02,0.03,2015001290016.0,725400464405.76,1188287955921.62,40300025800.32,60450038700.479996,0.39,5.85,2.54,503750322504.0,3.2735000000000003,1281228990025.5,0.0,2.71,1.73,503750322504.0,1281228990025.5,2.54,153921.735,1.0,503734092405.5,3.2729999999999997,9.0,291316907087.5,3687819717.5,153921.95500000002,1.0,176.0,333263743198.0,315293479.5,152.0,164299892845.0,6966.5,6966.5,0.0,13709454740.5,5978307440.0,43.577,417229026833.5,6533913973.5,170792384.0,36399728.0,177944019.5,417268424560.0,4258175.0,3431052.0,2418599.5,77.86,630960128.0,42684416.0,20799488.0,100.0,0.3,6.0,2.0,0.0,28278784.0,56700928.0,0.0,0.0,42684416.0
nbody_50000000_original,8.17.0,2019-12-17,4.258921,70.435,61.555,1.28,0.04,519.5,12.705,2.56,2665.0,1.5,0.07,0.05,0.04,0.27,0.0,4.46,0.12,82.095,13.33,0.04,0.35,73.575,80.5,82.0,98.92500000000001,101.69999999999999,99.61,0.985,0.955,4.251279997999999,1.0,0.58,0.07,0.0,0.34,69276328480.0,4849342993.6,40222425976.32,0.0,23553951683.2,0.38,5.19,2.59,17319082120.0,4.072,44942278427.5,0.0,0.09,2.16,17319082120.0,44942278427.5,2.5949999999999998,4252.955,1.0,17325537317.0,4.073,3.0,8033937352.0,101702730.5,4252.975,1.0,167.0,6777781008.5,537676.5,0.0,3033881096.0,3219.0,3219.0,0.0,237777.0,39869.5,17.309,10263368722.0,154691.0,16822.5,1219.0,415676.5,10262619594.0,187.0,3354.5,4265.0,1.92,884424704.0,33787904.0,23339008.0,100.0,0.2,6.0,4.0,0.0,28782592.0,47648768.0,0.0,0.0,33787904.0
nbody_50000000_original,9.11.2,2018-06-12,4.2432605,71.07499999999999,62.05500000000001,1.27,0.04,520.0,12.7,2.57,2561.5,3.0,0.06,0.06,0.055,0.25,0.0,4.54,0.08,81.89500000000001,13.23,0.07500000000000001,0.295,73.6,86.5,86.5,98.905,101.66,99.58,0.975,0.955,4.238921019999999,1.0,0.59,0.06,0.0,0.35,69077208534.0,4144632512.04,40715047214.0,0.0,24152994110.0,0.38,5.22,2.6,17269302133.5,4.072,44909197019.0,0.0,0.08,2.16,17269302133.5,44909197019.0,2.6,4240.8150000000005,1.0,17249866477.0,4.0715,4.0,8001325747.5,101299632.0,4240.835,1.0,173.5,6781617833.5,671773.0,0.0,3036564078.0,3456.0,3456.0,0.0,358606.0,53794.0,17.776,10272716354.5,163634.5,20144.0,1174.0,451817.5,10267180371.5,143.5,3773.0,5855.5,1.92,884977664.0,35076096.0,23777280.0,100.0,0.2,6.0,5.0,0.0,28946432.0,48037888.0,0.0,0.0,35076096.0
nbody_50000000_original,10.24.1,2021-04-06,4.337324000000001,71.16,62.015,1.29,0.04,520.0,12.705,2.3449999999999998,2682.0,2.0,0.10500000000000001,0.07,0.04,0.26,0.0,4.82,0.16999999999999998,81.715,13.455,0.055,0.355,73.41499999999999,85.0,85.0,98.935,101.705,99.515,0.97,0.95,4.292898353,1.0,0.53,0.04,0.0,0.42,69960461052.0,2756158435.6000004,37341014695.64,0.0,29383393641.84,0.42,5.13,2.38,17490115263.0,4.0715,41912181240.5,0.0,0.07,2.16,17490115263.0,41912181240.5,2.3899999999999997,4294.865,1.0,17490706150.5,4.072,4.0,8108694762.5,102664294.5,4294.915000000001,1.0,197.5,5573638152.0,734460.5,0.0,3085521712.5,3282.0,3281.5,0.5,541532.5,113380.5,23.72,10309981444.0,214913.0,33870.5,2673.5,575706.0,10315312114.5,269.0,4771.5,4865.0,1.92,561876992.0,36108288.0,26523648.0,100.0,0.2,7.0,2.0,0.0,33873920.0,52518912.0,0.0,0.0,36108288.0
nbody_50000000_original,11.15.0,2019-04-30,4.201347999999999,69.175,60.28,1.26,0.04,521.0,12.72,2.415,2606.0,1.5,0.135,0.07500000000000001,0.06,0.265,0.0,4.615,0.1,82.005,13.385,0.08,0.3,73.525,82.0,84.0,98.945,101.775,99.57,0.965,0.94,4.1574945705,1.0,0.555,0.03,0.0,0.41,67752678190.0,2037216969.3600001,37711655411.3,0.0,27778598057.9,0.4,5.215,2.47,16938169547.5,4.0705,41915742501.0,0.0,0.07,2.16,16938169547.5,41915742501.0,2.48,4159.344999999999,1.0,16935721212.0,4.071,4.5,7852258347.5,99394947.5,4159.375,1.0,219.0,5566479958.5,951643.0,4.0,3089641520.0,2991.0,2991.0,0.0,234280.0,46001.0,23.4585,10318423408.5,157250.0,18860.5,2417.5,416901.5,10326908162.5,134.0,5947.5,4271.5,1.92,562786304.0,35055616.0,26601472.0,100.0,0.2,7.0,3.0,0.0,34381824.0,52912128.0,0.0,0.0,35055616.0
nbody_50000000_original,12.22.12,2022-04-05,4.1374580000000005,65.85,57.12,1.24,0.04,520.5,12.71,2.47,2520.5,1.5,0.12000000000000001,0.08,0.045,0.3,0.0,4.755,0.195,81.68,13.315000000000001,0.055,0.37,73.56,80.5,81.0,98.965,101.5,99.575,0.99,0.97,4.1114974035,1.0,0.55,0.02,0.01,0.43,66881619498.0,1337632389.96,36784890723.9,668369803.76,28739901561.68,0.4,5.22,2.51,16720404874.5,4.0645,42204358850.5,0.0,0.04,2.16,16720404874.5,42204358850.5,2.52,4114.335,1.001,16721059498.5,4.0649999999999995,5.0,7749366678.5,98099437.5,4114.365,1.001,203.5,5232368119.5,24782.0,0.0,3074133974.0,2772.0,2770.5,0.0,271649.5,34382.5,13.836,10690626337.5,156922.5,19603.0,1167.5,435829.5,10684993348.5,104.0,3846.0,3863.0,1.92,568985600.0,37423104.0,29028352.0,100.0,0.2,7.0,4.0,0.0,40587264.0,53209088.0,0.0,0.0,37423104.0
nbody_50000000_original,13.14.0,2020-04-29,4.1607825,67.205,58.3,1.24,0.04,520.0,12.705,2.48,2515.0,4.0,0.13,0.08499999999999999,0.06,0.24,0.0,4.4,0.09,82.1,13.344999999999999,0.13,0.28,73.5,83.0,83.5,98.94999999999999,101.655,99.525,0.905,0.88,4.168704675,1.0,0.56,0.02,0.0,0.42,67872404124.0,1354468613.72,37905802654.72,0.0,28508374014.12,0.4,5.3,2.52,16968101031.0,4.066000000000001,42899625178.0,0.0,0.04,2.16,16968101031.0,42899625178.0,2.53,4171.145,1.001,16965401414.5,4.07,4.0,7866726406.5,99588478.0,4171.17,1.001,204.5,5287578159.0,228816.0,0.0,3427559588.0,2743.0,2742.0,1.0,498067.0,71279.0,12.943999999999999,10853602776.5,199024.5,18569.5,1686.5,484379.5,10849403774.0,78.5,4416.0,6077.5,1.92,593651712.0,36745216.0,28334080.0,100.0,0.2,7.0,5.0,0.0,65282048.0,53209088.0,0.0,0.0,36745216.0
nbody_50000000_original,14.21.3,2023-02-16,5.133569,85.165,74.43,1.52,0.04,520.0,12.7,2.53,3033.5,9.5,0.16,0.08,0.045,0.25,0.0,3.97,0.09,82.65,13.34,0.045,0.29000000000000004,73.58500000000001,84.0,84.0,99.005,101.355,99.60499999999999,0.9,0.88,5.1185287079999995,1.0,0.58,0.04,0.0,0.38,83351387448.0,3323776510.48,48359113797.56,0.0,31673527230.239998,0.39,5.59,2.5549999999999997,20837846862.0,4.0725,53745994724.5,0.0,0.06,2.16,20837846862.0,53745994724.5,2.575,5120.855,1.0,20837045314.5,4.0735,4.0,9665173829.5,122365282.0,5120.885,1.0005,208.5,4987869775.5,33266.0,0.0,4885796772.0,2940.5,2940.5,0.0,500766.5,46023.0,13.5565,20745880541.0,225453.0,33344.0,2443.5,620712.5,20760529279.5,151.0,4046.0,8418.5,2.5149999999999997,595347456.0,38985728.0,30017536.0,100.0,0.2,7.0,3.0,0.0,66723840.0,53612544.0,0.0,0.0,38985728.0
nbody_50000000_original,15.14.0,2021-04-06,5.162144,87.56,76.59,1.54,0.04,520.0,12.7,2.505,2998.0,4.5,0.15,0.055,0.04,0.29,0.0,4.220000000000001,0.095,82.47,13.39,0.065,0.39,73.45500000000001,86.5,86.5,98.955,101.66499999999999,99.56,0.945,0.92,5.183685059,1.0,0.58,0.05,0.0,0.37,83816044436.0,4186995403.8,48569146684.08,0.0,31011936441.32,0.39,5.535,2.56,20954011109.0,4.071,53599881684.0,0.0,0.03,2.16,20954011109.0,53599881684.0,2.56,5185.6,1.0,20956603306.5,4.0695,5.5,9772743354.5,123721879.5,5185.625,1.0,205.0,4978688336.5,155318.5,0.0,4835194518.0,2877.0,2876.0,0.0,318579.5,41762.0,13.447,20749390576.5,225788.5,25403.0,2544.5,578163.0,20710373511.5,411.0,5793.0,4901.5,2.51,592986112.0,37545984.0,29474816.0,100.0,0.2,7.0,5.0,0.0,66609152.0,51367936.0,0.0,0.0,37545984.0
