,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
time_elapsed_sec,0.9997228389678544,0.990070863691067,0.983593744455421,0.9690701425714958,
Pkg_J,0.9889402018286684,,0.9990425709982901,0.9701070744990422,
Cor_J,0.9821926225412021,0.9990425709982901,,0.9629049149373273,
RAM_J,0.9669889151032743,0.9701070744990422,0.9629049149373273,,
instructions,0.9566046395588637,0.9623147400814525,0.9576124733823891,0.9694955609906895,
branches,0.9538586547205058,0.9639739133366956,0.9612157318699871,0.961094688269389,
L1_dcache_loads,0.9530044277593529,0.9604445862032277,0.9571697529367182,0.9566043301309034,
dTLB_loads,0.9529641592800613,0.9604360725371612,0.9571699706212782,0.9565265045581627,
SlotsRetired,0.9519114904327887,0.9540554174446044,0.948180277817827,0.9659818341775723,
FetchBubbles,0.9453383451093096,0.9585699887312538,0.9569902699866994,0.950890564844426,
mem_stores,0.9399508862467022,0.9442214821036815,0.9382389722798603,0.9709967326397965,
cpu_cycles,0.8857704691226589,0.8905526718297585,0.8842491428367496,0.9266185219109316,
TotalSlots,0.8856851353885891,0.8904853240768399,0.884184441117255,0.9265630230531289,
SlotsIssued+RecoveryBubbles,0.8781060056298067,0.8712788142131471,0.8624959548416554,0.8910832464839369,0.8317888231278415
L1_dcache_load_misses,0.867849357162402,0.878571664119229,0.8721716893716035,0.9378604948813705,
cache_references,0.8559986875691524,0.8685237062692781,0.8622214511094766,0.9346745974924473,
cache_misses,0.8395430650269565,0.852370483467865,0.8457260050591019,0.9305648599763843,
branch_misses,0.7989498387118995,0.8178698366312183,0.8160660555842025,0.8323329500811133,
bus_cycles,0.7797302364633754,0.7803728017013241,0.7715129981813789,0.8480663338648962,
ref_cycles,0.7796877562370785,0.7803357547949522,0.7714732267813598,0.8480651175820502,
cpu_clock_msec,0.7753124603459973,0.7765407947562153,0.7677755303350428,0.8453005648692296,
task_clock_msec,0.7752128406251865,0.7764422332239325,0.7676767866396661,0.8452206180701753,
time,0.7394541222203325,0.748187790014026,0.7409960783286154,0.8256359221343087,
GFX%C0,-0.7174315361799048,-0.7407469813987744,-0.7417478522461072,-0.7458208679568633,
time_elapsed,,0.9889402018286684,0.9821926225412021,0.9669889151032743,
Frontend_Bound,,0.7001791783013752,0.7063779773994864,,
CPUGFX%,,-0.7086937273250258,-0.7117206498570687,-0.703677001781947,
minor_faults,,,,,0.9173453748419491
page_faults,,,,,0.9173453701745491
Bad_Speculation,,,,,0.8866974395861207
Kernel_Utilization,,,,,0.8535047480004047
LLC_load_misses,,,,,0.8283094056480622
LLC_loads,,,,,0.8152726789272771
iTLB_load_misses,,,,,0.7697291731793239
percent_cache_misses,,,,,0.759104107539357
percent_mem,,,,,0.7492268003298058
USED,,,,,0.7478345399904355
res,,,,,0.7478173932972444
dTLB_load_misses,,,,,0.7374250667959782
DATA,,,,,0.723023001768067
