,time_elapsed_sec
instructions,0.9566040408109201
branches,0.9563024472533765
dTLB_loads,0.9548283972359943
L1_dcache_loads,0.9547264228452569
SlotsRetired,0.950211022691385
FetchBubbles,0.9489268979540998
mem_stores,0.9388319138253055
TotalSlots,0.8816575741087216
cpu_cycles,0.8816236071698037
L1_dcache_load_misses,0.8672583018621641
SlotsIssued+RecoveryBubbles,0.8574597344625261
cache_references,0.857351817061762
cache_misses,0.8402751638948738
branch_misses,0.7999650989349704
bus_cycles,0.7875219444478238
ref_cycles,0.7873795598164636
cpu_clock_msec,0.7829700673384635
task_clock_msec,0.7828717532458336
