test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
1,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,1.0,0.39,0.6,0.21,0.02,0.17,6.62,2.56,0.02,2.76,2.16,13.991909521,57026005318,4.076,147720431089,2.59,13990.09,1.0,57030220178,4.076,1,26438056546,334681467,13990.09,1.0,17.0,33145226721,40083935,0.12%,0,22821752602,65665,65665,0,810114809,301578413,37.227,41167127241,602605314,1.46%,107768686,43284646,40.16%,3010202,41350550330,3494471,0.01%,2097769,1192750,56.86%,0,0,16.304,3.4238399999999998,9.782399999999999,0.32608,2.77168
2,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,1.0,0.39,0.6,0.2,0.02,0.18,6.63,2.59,0.01,2.77,2.16,13.918896253,56738193591,4.077,146394738912,2.58,13917.41,1.0,56731061433,4.076,2,26299097342,332931590,13917.42,1.0,13.0,33209842286,39600097,0.12%,0,22719898771,65663,65663,0,768962480,298435115,38.81,41542068794,610038659,1.47%,104015892,46034880,44.26%,3487376,41163561684,3339589,0.01%,1983765,353432,17.82%,0,0,16.308,3.2616,9.784799999999999,0.32616,2.93544
3,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,1.0,0.39,0.6,0.2,0.02,0.17,6.63,2.62,0.0,2.79,2.16,13.845395007,56444948438,4.077,146409396134,2.59,13844.09,1.0,56455600901,4.078,4,26175256736,331330737,13844.1,1.0,10.0,33188060533,39944154,0.12%,0,22739866156,65663,65663,0,787915176,294560591,37.385,41423244434,610139706,1.47%,104561221,46624435,44.59%,2989487,41117739187,3523707,0.01%,1034496,218459,21.12%,0,0,16.308,3.2616,9.784799999999999,0.32616,2.7723600000000004
4,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,0.99,0.39,0.6,0.2,0.02,0.16,6.64,2.6,0.01,2.65,2.06,14.601886563,56528632428,3.872,146379190669,2.59,14598.97,1.0,56522801989,3.872,14,27372122191,346602313,14599.02,1.0,5.0,33131569894,41412545,0.12%,0,22795126916,65664,65664,0,772792752,295714556,38.266,41516877974,612467901,1.48%,104816775,46373016,44.24%,3250659,41035875126,3413486,0.01%,3326880,888076,26.69%,0,0,15.488,3.0976,9.2928,0.30976,2.47808
5,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,0.99,0.39,0.6,0.2,0.02,0.18,6.62,2.57,0.01,2.76,2.15,14.000397339,56832435810,4.06,147257602788,2.59,13998.77,1.0,56826744727,4.059,12,26377381241,333928640,13998.79,1.0,8.0,33096732415,39897274,0.12%,0,22588859770,65664,65664,0,871448304,298952199,34.305,41253752418,605810365,1.47%,115197427,44856093,38.94%,3257582,41628308566,3304017,0.01%,3154805,296903,9.41%,0,0,16.24,3.2479999999999998,9.743999999999998,0.3248,2.9231999999999996
6,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,0.99,0.38,0.61,0.2,0.02,0.19,6.64,2.62,0.01,2.74,2.13,14.015593423,56323377891,4.019,146534159566,2.6,14013.96,1.0,56301171059,4.018,7,26382218047,334044478,14013.95,1.0,8.0,33326330523,37220742,0.11%,0,22798960688,65664,65664,0,795963299,286362517,35.977,41201550357,618873209,1.50%,106692130,44883337,42.07%,3247426,41109701930,3263325,0.01%,3400892,112701,3.31%,0,0,16.076,3.2152000000000003,9.80636,0.32152000000000003,3.05444
7,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,0.99,0.39,0.59,0.2,0.02,0.18,6.63,2.58,0.0,2.69,2.13,14.248338352,57142630732,4.011,147078496568,2.57,14246.74,1.0,57153431244,4.012,9,26840717315,339741823,14246.75,1.0,8.0,33198249336,38174016,0.11%,0,22722248767,65666,65666,0,795526416,310420430,39.021,41361911140,609128806,1.47%,104476315,44248431,42.35%,3550830,41281741703,3458424,0.01%,4192592,207433,4.95%,0,0,16.044,3.2088,9.465959999999999,0.32088,2.88792
8,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,0.99,0.39,0.6,0.2,0.02,0.18,6.63,2.6,0.01,2.62,2.03,14.83048006,56559456280,3.815,146425924795,2.59,14827.18,1.0,56537255584,3.813,10,27822778888,352302546,14827.22,1.0,3.0,33367662771,38635429,0.12%,0,22760358138,65663,65663,0,791076071,293778694,37.137,41328714203,613687219,1.48%,107229372,47020971,43.85%,3606588,41230054213,3471047,0.01%,1697067,1031316,60.77%,0,0,15.26,3.052,9.155999999999999,0.3052,2.7468
9,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,0.99,0.39,0.6,0.2,0.02,0.18,6.63,2.59,0.01,2.62,2.03,14.866715239,56648580011,3.812,147020997256,2.59,14862.41,1.0,56638227343,3.811,4,27901427492,353172316,14862.46,1.0,3.0,33186172855,35806926,0.11%,0,22690107583,65664,65664,0,839188621,301141679,35.885,41435485869,601316279,1.45%,109872676,42986843,39.12%,3545446,41392362204,3335419,0.01%,5883640,539894,9.18%,0,0,15.248,3.0496,9.1488,0.30496,2.74464
10,2012-03-13,binaryTrees_v2_21_original_O3flag,g++-4.4,binaryTrees_2.c 21,1.0,0.38,0.62,0.2,0.02,0.17,6.64,2.66,0.0,2.46,1.86,15.807907506,55568417410,3.516,147128824994,2.65,15806.33,1.0,55547959422,3.514,3,29848520840,377877739,15806.35,1.0,19.0,33190280616,38367960,0.12%,0,22662724881,65664,65664,0,764548440,294921442,38.575,41172387257,611949831,1.49%,100195834,39232908,39.16%,2900539,41286910289,3438008,0.01%,2667432,109044,4.09%,0,0,14.064,2.8128,8.71968,0.28128000000000003,2.39088
