test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.7.18,nbody.py 50000,0.434419,1408,1686118678.818542,-,-,716,18.01,3981,1895,1.42,2299,0,25,3883,993,108,762,0,698,0,0,0.01,4.28,1.27,0.59,19.70,0.00,55.94,0.00,0.00,19.23,0.47,14.33,47.96,73,76,94.15,450,300,127.23,98.04,5.39,5.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.42,7.44,0.03,0.26,0.00,0.00
2,Python 2.7.18,nbody.py 50000,0.430255,1181,1686118679.284008,-,-,712,17.87,3982,1896,1.45,2261,0,18,3398,1124,136,825,0,705,0,0,0.01,3.84,1.77,0.51,19.28,0.00,56.55,0.00,0.00,19.99,0.39,13.89,47.86,74,77,94.36,450,300,128.15,98.01,4.97,4.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,7.47,0.02,0.25,0.00,0.00
3,Python 2.7.18,nbody.py 50000,0.451252,1079,1686118679.785165,-,-,742,18.66,3974,1897,1.39,2536,0,14,3572,1156,166,888,0,737,0,0,0.01,3.99,1.86,0.60,19.49,0.00,55.20,0.00,0.00,20.60,0.16,15.69,44.88,76,76,92.41,450,300,132.18,97.90,7.28,7.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.15,8.01,0.04,0.29,0.00,0.00
4,Python 2.7.18,nbody.py 50000,0.434436,1187,1686118680.270624,-,-,729,18.31,3981,1896,1.42,2310,0,19,3907,1071,105,780,0,703,0,0,0.01,4.60,1.87,0.33,17.51,0.00,57.23,0.00,0.00,20.67,0.19,12.89,47.94,79,81,92.07,450,300,129.57,98.08,7.21,7.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,7.66,0.03,0.28,0.00,0.00
5,Python 2.7.18,nbody.py 50000,0.443163,1178,1686118680.778151,-,-,693,17.36,3993,1896,1.47,2318,0,37,3479,1193,151,839,1,730,0,0,0.02,4.09,1.93,0.72,18.50,0.01,57.25,0.00,0.00,19.93,0.46,13.71,48.53,77,77,96.35,450,450,123.55,98.08,3.60,3.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,7.58,0.02,0.25,0.00,0.00
6,Python 2.7.18,nbody.py 50000,0.434396,1492,1686118681.262917,-,-,699,17.54,3985,1895,1.46,2251,0,15,3379,1168,124,773,0,674,0,0,0.01,4.10,1.89,0.41,19.23,0.00,56.61,0.00,0.00,20.02,0.19,13.98,48.27,77,81,95.30,450,300,126.13,98.00,4.29,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.59,7.56,0.02,0.25,0.00,0.00
7,Python 2.7.18,nbody.py 50000,0.425519,1063,1686118681.737538,-,-,621,15.43,4022,1896,1.62,2086,0,9,464,878,491,1041,0,733,0,0,0.00,1.47,3.02,2.25,20.53,0.00,57.01,0.00,0.00,20.74,1.21,14.95,47.68,79,82,95.65,450,300,117.82,97.82,4.00,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.09,7.09,0.02,0.22,0.00,0.00
8,Python 2.7.18,nbody.py 50000,0.473303,1111,1686118682.239434,-,-,787,25.89,3041,1896,1.34,2544,0,23,1198,2033,1141,1383,0,588,0,0,0.01,2.02,5.00,5.24,18.71,0.00,42.78,0.00,0.00,23.40,3.39,11.73,35.60,78,78,95.08,450,300,159.84,97.68,4.51,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.51,8.35,0.02,0.29,0.00,0.00
9,Python 2.7.18,nbody.py 50000,0.431019,1088,1686118682.705181,-,-,717,18.03,3979,1896,1.45,2235,0,11,2023,1490,241,822,0,717,0,0,0.01,2.87,2.80,0.92,18.53,0.00,56.65,0.00,0.00,20.65,0.38,12.96,47.99,81,81,94.43,450,300,129.18,97.94,5.27,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.63,7.63,0.03,0.25,0.00,0.00
10,Python 2.7.18,nbody.py 50000,0.434518,1271,1686118683.200111,-,-,731,18.37,3979,1896,1.42,2326,0,12,3518,1239,109,848,2,703,0,0,0.01,3.76,2.23,0.92,19.37,0.04,55.12,0.00,0.00,20.16,0.68,14.56,46.22,81,81,94.13,450,300,129.69,97.92,5.25,5.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.85,7.76,0.03,0.26,0.00,0.00
