test,release_date,path,version,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 44,minutes,seconds_hundredths
1,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989279,1000940,java,0.77,6996668416,237088768,18952192,475.0,1.4,20,4,0:00,0,0,528121856,0,55296,0,237088768,295,1,279,15,0,57.8,5.2,0.0,37.0,0.0,0.0,0.0,0.0,15794.9 MiB,4566.4 MiB,1911.6 MiB,9316.8 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13163.8 MiB,,0,00.77
1,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,1,1693989280,1000940,java,9.61,7541927936,638410752,18952192,718.8,3.9,28,4,0:09,0,0,1210748928,0,154624,0,638410752,295,1,279,15,0,81.5,6.7,0.0,11.9,0.0,0.0,0.0,0.0,15794.9 MiB,4179.6 MiB,2298.2 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12777.0 MiB,,0,09.61
1,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,2,1693989281,1000940,java,17.65,7541927936,1073741824,18952192,456.2,6.5,24,4,0:17,0,0,1463422976,0,262144,0,1073741824,295,1,279,15,0,55.4,2.2,0.0,42.4,0.0,0.0,0.0,0.0,15794.9 MiB,3757.3 MiB,2720.5 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12354.7 MiB,,0,17.65
2,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989283,1000988,java,0.76,6996668416,236834816,18378752,475.0,1.4,20,7,0:00,0,0,528076800,0,55296,0,236834816,296,1,280,15,0,56.7,4.5,0.0,38.8,0.0,0.0,0.0,0.0,15794.9 MiB,4564.2 MiB,1913.6 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13161.6 MiB,,0,00.76
2,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,1,1693989284,1000988,java,9.58,7541927936,682123264,19095552,706.2,4.1,28,7,0:09,0,0,1251319808,0,164864,0,682123264,297,1,281,15,0,83.3,7.6,0.0,9.1,0.0,0.0,0.0,0.0,15794.9 MiB,4155.7 MiB,2322.1 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12753.1 MiB,,0,09.58
2,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,2,1693989285,1000988,java,17.68,7541927936,1181116006,19226624,412.5,7.1,24,7,0:17,0,0,1562832896,0,284672,0,1181116006,297,1,281,15,0,51.1,1.5,0.0,47.4,0.0,0.0,0.0,0.0,15794.9 MiB,3670.1 MiB,2815.6 MiB,9309.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12267.6 MiB,,0,17.68
3,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989286,1001035,java,0.79,6996668416,237735936,19042304,493.8,1.4,20,7,0:00,0,0,528072704,0,55296,0,237735936,297,1,281,15,0,57.6,4.3,0.0,38.1,0.0,0.0,0.0,0.0,15794.9 MiB,4561.5 MiB,1916.3 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13159.0 MiB,,0,00.79
3,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,1,1693989287,1001035,java,9.58,7541927936,632348672,19173376,706.2,3.8,28,7,0:09,0,0,1201262592,0,153600,0,632348672,297,1,281,15,0,79.3,6.7,0.0,14.1,0.0,0.0,0.0,0.0,15794.9 MiB,4180.8 MiB,2297.0 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12778.3 MiB,,0,09.58
3,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,2,1693989289,1001035,java,17.85,7541927936,1181116006,19173376,443.8,7.0,24,7,0:17,0,0,1528008704,0,282624,0,1181116006,297,1,281,15,0,55.8,2.2,0.0,42.0,0.0,0.0,0.0,0.0,15794.9 MiB,3680.0 MiB,2797.8 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12277.5 MiB,,0,17.85
4,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989290,1001081,java,0.76,6996668416,236990464,18563072,475.0,1.4,20,2,0:00,0,0,527990784,0,55296,0,236990464,297,1,281,15,0,53.7,8.2,0.0,38.1,0.0,0.0,0.0,0.0,15794.9 MiB,4567.0 MiB,1910.7 MiB,9317.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13164.5 MiB,,0,00.76
4,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,1,1693989291,1001081,java,9.58,7541927936,666075136,18886656,718.8,4.0,28,2,0:09,0,0,1234485248,0,160768,0,666345472,298,1,282,15,0,81.2,9.8,0.0,9.0,0.0,0.0,0.0,0.0,15794.9 MiB,4160.0 MiB,2316.9 MiB,9318.0 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12758.3 MiB,,0,09.58
4,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,2,1693989292,1001081,java,17.67,7541927936,1181116006,19017728,506.2,7.3,24,2,0:17,0,0,1583296512,0,293888,0,1181116006,298,1,282,15,0,60.9,3.6,0.0,35.5,0.0,0.0,0.0,0.0,15794.9 MiB,3632.4 MiB,2844.4 MiB,9318.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12230.7 MiB,,0,17.67
5,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989293,1001132,java,0.78,6996668416,237453312,18735104,481.2,1.4,20,3,0:00,0,0,528072704,0,55296,0,237453312,298,1,282,15,0,56.3,5.9,0.0,37.0,0.0,0.0,0.7,0.0,15794.9 MiB,4561.0 MiB,1915.8 MiB,9318.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13159.4 MiB,,0,00.78
5,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,1,1693989295,1001132,java,9.82,7541927936,691564544,18796544,752.9,4.2,28,3,0:09,0,0,1225928704,13312,167936,0,691564544,297,1,281,15,0,83.4,7.6,0.0,9.0,0.0,0.0,0.0,0.0,15794.9 MiB,4167.5 MiB,2309.3 MiB,9318.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12765.9 MiB,,0,09.82
5,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,2,1693989296,1001132,java,18.12,7541927936,1181116006,18862080,437.5,7.0,24,3,0:18,0,0,1554247680,13312,282624,0,1181116006,297,1,281,15,0,56.4,2.1,0.0,41.4,0.0,0.0,0.0,0.0,15794.9 MiB,3677.3 MiB,2807.5 MiB,9310.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12275.7 MiB,,0,18.12
6,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989297,1001179,java,0.77,6996668416,237289472,18874368,506.7,1.4,20,6,0:00,0,0,528089088,0,55296,0,237289472,298,1,282,15,0,53.7,7.5,0.0,38.8,0.0,0.0,0.0,0.0,15794.9 MiB,4563.3 MiB,1913.5 MiB,9318.0 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13161.7 MiB,,0,00.77
6,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,1,1693989298,1001179,java,9.51,7541927936,644288512,19001344,712.5,3.9,28,6,0:09,0,0,1180884992,0,156672,0,644288512,298,1,282,15,0,81.2,7.2,0.0,11.6,0.0,0.0,0.0,0.0,15794.9 MiB,4189.5 MiB,2287.3 MiB,9318.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12787.9 MiB,,0,09.51
6,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,2,1693989299,1001179,java,17.83,7541927936,1181116006,19066880,447.1,6.9,24,6,0:17,0,0,1532846080,0,279552,0,1181116006,297,1,281,15,0,58.2,3.5,0.0,38.3,0.0,0.0,0.0,0.0,15794.9 MiB,3691.2 MiB,2785.6 MiB,9318.1 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12289.6 MiB,,0,17.83
7,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989301,1001225,java,0.76,6996668416,237318144,18808832,475.0,1.4,20,1,0:00,0,0,528154624,0,55296,0,237318144,297,1,281,15,0,54.1,7.5,0.0,38.3,0.0,0.0,0.0,0.0,15794.9 MiB,4565.5 MiB,1911.3 MiB,9318.0 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13163.9 MiB,,0,00.76
7,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,1,1693989302,1001225,java,9.42,7541927936,624795648,18935808,718.8,3.8,28,1,0:09,0,0,1183522816,0,150528,0,624795648,297,1,281,15,0,79.4,7.6,0.0,13.0,0.0,0.0,0.0,0.0,15794.9 MiB,4249.5 MiB,2227.3 MiB,9318.0 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12847.9 MiB,,0,09.42
7,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,2,1693989303,1001225,java,17.86,7541927936,1073741824,19001344,481.2,6.6,24,1,0:17,0,0,1482424320,0,266240,0,1073741824,298,1,282,15,0,60.3,2.1,0.0,37.6,0.0,0.0,0.0,0.0,15794.9 MiB,3750.7 MiB,2734.0 MiB,9310.2 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,12349.1 MiB,,0,17.86
8,2023-07-18,binaryTrees_21_with_Multithreading,1.8.0_382,binarytrees.java 21,0,1693989304,1001282,java,0.78,6996668416,237350912,18735104,481.2,1.4,20,1,0:00,0,0,528109568,0,55296,0,237350912,298,1,282,15,0,55.8,5.8,0.0,38.4,0.0,0.0,0.0,0.0,15794.9 MiB,4571.1 MiB,1905.8 MiB,9318.0 MiB,4096.0 MiB,3680.0 MiB,416.0 MiB,13169.5 MiB,,0,00.78
