test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v1.8.4,nbody_6_original.js 50000000,48582872,0.96,0.92,0.31,0.43,0.14,0.08,5.66,1.32,0.07,3.33,2.16,48582872 ns,195559862,4.030 GHz,236422415,1.24,48.52 msec,0.999,194583945,4.010 GHz,2,89346200,1130964,48.52 msec,0.999,314 C,36760231,1422360,3.87%,0,<not,2541,2541,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v1.8.4,nbody_6_original.js 50000000,49090538,0.96,0.93,0.30,0.41,0.14,0.08,5.67,1.30,0.08,3.19,2.16,49090538 ns,191755541,3.921 GHz,232110343,1.22,48.90 msec,0.996,190865250,3.903 GHz,3,87849443,1112018,48.91 msec,0.996,322 C,35360226,1605542,4.54%,0,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v1.8.4,nbody_6_original.js 50000000,48985413,0.92,0.93,0.30,0.41,0.14,0.09,5.67,1.30,0.08,3.18,2.16,48985413 ns,191794365,3.929 GHz,232412615,1.22,48.82 msec,0.997,191008804,3.913 GHz,3,88013697,1114097,48.82 msec,0.997,320 C,35542630,1615434,4.55%,0,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v1.8.4,nbody_6_original.js 50000000,52429845,0.89,0.92,0.31,0.43,0.14,0.08,4.72,1.06,0.08,2.91,2.01,52429845 ns,194323092,3.717 GHz,234104295,1.15,52.27 msec,0.997,201401617,3.853 GHz,3,97073658,1228780,52.28 msec,0.997,315 C,42510032,1645299,3.87%,40,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v1.8.4,nbody_6_original.js 50000000,49681033,0.96,0.93,0.30,0.41,0.14,0.09,5.68,1.31,0.08,3.19,2.15,49681033 ns,189786874,3.835 GHz,228359624,1.20,49.48 msec,0.996,188443107,3.808 GHz,2,89697418,1135410,49.49 msec,0.996,314 C,35859033,1574586,4.39%,37,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v1.8.4,nbody_6_original.js 50000000,48908041,0.92,0.92,0.30,0.41,0.14,0.09,5.67,1.31,0.08,3.20,2.16,48908041 ns,191464711,3.925 GHz,231942434,1.22,48.77 msec,0.997,190511672,3.906 GHz,3,87505423,1107663,48.79 msec,0.997,301 C,35275055,1609146,4.56%,0,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v1.8.4,nbody_6_original.js 50000000,48684467,0.94,0.92,0.30,0.41,0.14,0.08,5.63,1.31,0.08,3.28,2.16,48684467 ns,191535499,3.954 GHz,230454133,1.22,48.44 msec,0.995,190063647,3.923 GHz,1,86930140,1100381,48.45 msec,0.995,318 C,35242705,1585620,4.50%,0,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v1.8.4,nbody_6_original.js 50000000,49292421,0.97,0.94,0.30,0.42,0.15,0.08,5.69,1.32,0.07,3.26,2.15,49292421 ns,195467031,3.978 GHz,234604016,1.23,49.13 msec,0.997,195055065,3.970 GHz,2,90235384,1142220,49.14 msec,0.997,314 C,36683170,1397604,3.81%,22,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v1.8.4,nbody_6_original.js 50000000,49079551,0.92,0.94,0.30,0.41,0.14,0.08,5.67,1.31,0.07,3.19,2.16,49079551 ns,191972031,3.923 GHz,234361767,1.24,48.93 msec,0.997,191688892,3.918 GHz,2,88608320,1121624,48.93 msec,0.997,313 C,35720639,1620191,4.54%,0,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v1.8.4,nbody_6_original.js 50000000,50307931,0.92,0.93,0.30,0.40,0.14,0.09,5.68,1.29,0.08,3.06,2.14,50307931 ns,191507377,3.817 GHz,228989562,1.20,50.16 msec,0.997,189957379,3.786 GHz,4,90533619,1145995,50.17 msec,0.997,291 C,36565725,1583062,4.33%,58,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
