,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
Pkg_J,0.9937503196326242,,0.9997797206240869,0.8640659886545874,
Cor_J,0.9914177161226486,0.9997797206240869,,0.8568366655475063,
CPU%c7,0.9135063790306177,0.9094311472696202,0.9099603673278326,,
CPU%c1,0.9104141371948681,0.9099451195956294,0.9113063064896623,,
C10%,0.9094027350560897,0.9022602507296646,0.9023420298835791,,
IPC,0.878908798158787,0.8753130420280205,0.8763227708198301,,
RAM_J,0.8746687352341784,0.8640659886545874,0.8568366655475063,,
GFX%rc6,0.7373222145386092,0.7135725372708522,0.7057143509026254,0.7892148057321097,
GFX%C0,-0.8408805012274203,-0.8163589732073557,-0.8104324280147327,-0.7624728021739597,
CPUGFX%,-0.8423327672104458,-0.8182100955797144,-0.8123657621576682,-0.7627047390130861,
Avg_MHz,-0.9065540361751137,-0.8902476828876935,-0.8884165460216731,,
Busy%,-0.9134414138443075,-0.9099321804599827,-0.9105871760138382,,
Totl%C0,-0.9137290329471465,-0.9100518429101581,-0.9106472659119587,,
time_elapsed,,0.9937503196326242,0.9914177161226486,0.8746687352341784,
C8%,,0.7248984779748556,0.7336194782145566,,
CPU%c6,,0.7214847264727061,0.7293943395788214,,
IRQ,,,,0.7094155407632974,
