,time_elapsed_sec
instructions,0.9904628239224846
dTLB_loads,0.9903141468636888
L1_dcache_loads,0.9903075300922384
branches,0.98031515784908
mem_stores,0.9770138862764558
branch_misses,0.9517281294572292
freq_cycles_GHz,0.8928897555485027
freq_cpu_cycles_GHz,0.8928709264538427
Turbo_Utilization,0.8922741070054578
Retiring,0.873439848427754
IPC_perf,0.8694846990089157
insn_per_cycle,0.8693959057448613
ILP,0.8452818361532219
cpu_cycles,0.787988387494985
cycles,0.7879695883029124
Bad_Speculation,0.7836414985018737
Frontend_Bound,0.7472591691221474
dTLB_load_misses,-0.7202515372034459
L1_dcache_load_misses,-0.7482021799301838
page_faults,-0.8464811893649654
LLC_loads,-0.8580486336643484
cache_references,-0.8605799445899511
L1D_Cache_Fill_BW,-0.8659586935444108
LLC_load_misses,-0.8808532683884979
CPI,-0.8837499749795762
cache_misses,-0.8866808653076679
no_cpus,-0.9107976366373695
no_cpus_task_clock,-0.9107977803029107
Kernel_Utilization,-0.912743214730687
Backend_Bound,-0.9454055533001005
