,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
Pkg_J,0.9867090854711402,,0.9992390498854491,0.7359096180251068,
Cor_J,0.9809846421982501,0.9992390498854491,,0.714644112002757,
RAM_J,0.752399569002729,0.7359096180251068,0.714644112002757,,
GFX%C0,-0.7276474394858372,-0.703889900018829,,,
CPUGFX%,-0.7281642904638764,-0.7052204378532576,,,
time_elapsed,,0.9867090854711402,0.9809846421982501,0.752399569002729,
