,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
time_elapsed_sec,0.9997200110860639,0.9989846934179144,0.9986522380489398,0.8713407702136396,
Pkg_J,0.9992757857774776,,0.9999370538628864,0.8673710844064033,
Cor_J,0.998977107559997,0.9999370538628864,,0.8622657169497111,
time,0.9936983058893719,0.9932849780483805,0.9940004841632092,0.8112339818777425,
dTLB_loads,0.9922312740148608,0.9923514954833722,0.991799894536246,0.8779950022817979,
L1_dcache_loads,0.9922211723715759,0.9923428822513938,0.9917895544052098,0.8780915976261737,
instructions,0.9918439299500579,0.9922429018374904,0.9911664724337572,0.9124674778356243,
branches,0.9815491556150643,0.9831780959329103,0.9819013758345636,0.9268434687449676,
mem_stores,0.977948576172696,0.979042056146064,0.9777723121833424,0.9110156168235884,
branch_misses,0.9532016104740862,0.958096523998537,0.9582174927324544,0.8635298984011118,
Turbo_Utilization,0.9245846556961579,0.9223877114172032,0.9241194094647707,,
freq_cpu_cycles_GHz,0.924249290786866,0.92202038877712,0.9237626557572596,,
freq_cycles_GHz,0.9242394061129818,0.9220042333223449,0.9237439993300279,,
percent_cpu,0.9163047238703468,0.9130919426855898,0.9146500029260897,,
CPU%c7,0.9142079505751799,0.9111326819064811,0.9128583694383285,,
CPU%c1,0.9134669606398317,0.9111842543902137,0.9132644880402129,,
C10%,0.9097001111698065,0.9060714100097487,0.907780022986832,,
IPC,0.877358133479497,0.8754151941336249,0.8777271338726891,,
Retiring,0.8746573554657038,0.8725712631757911,0.8747135236545444,,
CPU%c6,0.8720787433715941,0.8818895562959181,0.885273975688269,,
IPC_perf,0.8707713580656065,0.8689606779075042,0.8713208226176246,,
insn_per_cycle,0.8703405663604148,0.8685203904045117,0.8708894497578983,,
RAM_J,0.8701573052241984,0.8673710844064033,0.8622657169497111,,
POLL,0.8522165310557337,0.8586082114720688,0.8593387294587479,0.7555816672593012,
ILP,0.845883256408857,0.8456094555372062,0.8482772201181868,,
C8%,0.8424662564322257,0.8512130762872147,0.8550932218822713,,
PkgTmp,0.8266228798990402,0.8371695990814059,0.8398349796013964,,
CoreTmp,0.8263829408749865,0.8369007640987389,0.8396518232639877,,
Bad_Speculation,0.7956941817212899,0.7968081528762695,0.8005094712011264,,
cycles,0.7838927521915507,0.782920456699732,0.7773136438401191,0.976344247782055,
cpu_cycles,0.7838925097960937,0.782920236406649,0.7773136046739229,0.9763398008770658,
GFX%rc6,0.755122154550815,0.746193333363807,0.7408475789817686,0.8338289198956687,
Frontend_Bound,0.7460780702639126,0.7404011336473565,0.7366303947293057,0.82226919469476,
L1_dcache_load_misses,-0.7536168116183461,-0.7559740851669341,-0.7621459248140698,,
shr,-0.7979464006639817,-0.8004795677345597,-0.7975843528459071,-0.8353423530418905,
page_faults,-0.8487489604769268,-0.8459169209455502,-0.8493623008221827,,
GFX%C0,-0.8547790006670288,-0.8455989599995573,-0.842975486069418,-0.7780499204863074,
CPUGFX%,-0.855359351840878,-0.8461954273414894,-0.8435894327942222,-0.777757008313158,
LLC_loads,-0.8624082209825098,-0.8608915061140309,-0.8646492027004024,,
dTLB_load_misses,-0.8635742666819896,-0.8567386906036638,-0.8568092165742673,,
cache_references,-0.8641637016997675,-0.8630320064688959,-0.8667666882961853,,
L1D_Cache_Fill_BW,-0.8678350249446125,-0.8674047829211398,-0.871292436785401,,
LLC_load_misses,-0.8844245123701732,-0.8806506048193968,-0.8833437171912751,,
CPI,-0.8848461514862259,-0.8832655870918203,-0.8859248609232514,,
cache_misses,-0.8905859372224375,-0.8876995488443319,-0.8902761367530722,,
cpu_thermal_margin_C,-0.9058980619252398,-0.9043714377085733,-0.9055510448011341,,
Avg_MHz,-0.9133349006458082,-0.9099882991084618,-0.9116011103920485,,
no_cpus,-0.9141611944082535,-0.9112158138900552,-0.9130020302034904,,
no_cpus_task_clock,-0.9141618540711792,-0.9112164192299664,-0.9130025664798674,,
Busy%,-0.9143143465593428,-0.9113545264695729,-0.9131264347431546,,
Totl%C0,-0.9145699292866434,-0.9115655274158039,-0.9132984791628885,,
Kernel_Utilization,-0.9163047238703463,-0.9130919426855898,-0.9146500029260897,,
nTH,-0.9163047238703466,-0.9130919426855897,-0.9146500029260898,,
Backend_Bound,-0.9475920898184517,-0.944934969424294,-0.9462244437708769,-0.7111439157058022,
time_elapsed,,0.9992757857774776,0.998977107559997,0.8701573052241984,
IRQ,,0.7018549872656866,,0.8517988512145851,
Any%C0,,-0.7152814874617442,-0.717465322398178,,
iTLB_loads,,,,-0.7135988011879343,
C1E%,,,,-0.7512418929471477,
